회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출원가(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),매출원가(*)(IFRS연결)(천원),당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),영업이익(개별),영업이익(연결),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원)
(주)HJ중공업,97230,13-Dec,1927307000,1900927000,2529341000,2464368000,-212716000,-190193000,-109107000,-69574000,1804609000,1638998000,5839633000,6683379000
(주)HJ중공업,97230,14-Dec,1799016000,1798250000,2520325000,2537259000,-225739000,-299811000,-106249000,-144988000,1761886000,1573076000,5469810000,6470284000
(주)HJ중공업,97230,15-Dec,2041347000,1972358000,3115473000,3004437000,-260118000,-260925000,-97810000,-79370000,1377529000,1368589000,4638381000,5914637000
(주)HJ중공업,97230,16-Dec,1928591000,1776465000,2813271000,2753545000,-334429000,-334446000,49319000,-79319000,904150000,895183000,3921561000,5256464000
(주)HJ중공업,97230,17-Dec,1737428000,1545012000,2452314000,2431066000,-299028000,-277978000,86683000,-116693000,563410000,577198000,3312303000,4206655000
(주)HJ중공업,97230,18-Dec,1750954000,1551132000,1697869000,1557089000,-963474000,-1283647000,-66005000,61676000,-398930000,-708186000,2388369000,2733620000
(주)HJ중공업,97230,19-Dec,1609530000,1439132000,1628751000,1451267000,-73654000,306169000,77055000,83839000,247272000,244994000,2465650000,2470222000
(주)MH에탄올,23150,11-Dec,43206995,32715976,44785159,37258514,3351943,-4357312,6908187,603259,56161251,42667338,135927085,134206851
(주)MH에탄올,23150,12-Dec,45488675,35478357,59768175,49030452,2571700,287369,6518758,5451733,58712944,39678259,139200817,134385813
(주)MH에탄올,23150,13-Dec,46298516,33247791,62199887,54316861,-11627211,7028234,9650240,3009741,47119925,45885523,122520742,129697936
(주)MH에탄올,23150,14-Dec,48983781,37109977,48983781,37109977,4618332,-203193,8746818,8744851,52507884,52788681,85253876,85534839
(주)MH에탄올,23150,15-Dec,50386203,36425005,50386203,36425005,7744832,7778593,11094172,11092013,57569789,57884347,78691328,78996052
(주)MH에탄올,23150,16-Dec,48897025,33962392,48897025,33962392,8134873,8144684,11876872,11874476,63257513,63581883,72025138,72339673
(주)MH에탄올,23150,17-Dec,48270464,34577247,51977132,37225576,5903108,4308068,10452914,8116710,64698932,106837344,107437079,500180086
(주)MH에탄올,23150,18-Dec,46943080,34331318,72795863,53524709,6553371,-12033428,9028515,1228204,68471529,91585473,109656889,440177523
(주)MH에탄올,23150,19-Dec,46992295,35415661,80879342,54219181,-5004935,-7552043,7828586,7829103,59477642,79389077,101058662,451474451
(주)SH에너지화학,2360,11-Dec,172752632,160574493,173209351,160789710,3164441,1800972,4987642,4165988,64498684,65242326,102383199,104710740
(주)SH에너지화학,2360,12-Dec,191907628,178516652,193950102,178829327,1079738,210854,2874584,2183184,64888612,64881202,102492810,103690070
(주)SH에너지화학,2360,13-Dec,229783541,213397080,231912218,213952261,4841817,4606872,7203175,6424227,69781889,69599141,109984767,110488951
(주)SH에너지화학,2360,14-Dec,226971465,196829927,230912587,197661842,15569914,16733050,20274503,21271908,83404299,84237197,109098264,110741407
(주)SH에너지화학,2360,15-Dec,213882181,179081363,216441364,179135051,12639344,12590617,22899623,22950176,90740136,91646221,114048206,115520726
(주)SH에너지화학,2360,16-Dec,214380015,179726464,218397677,179759098,17574101,18028878,23600206,24101160,103083032,104088887,122956894,124488724
(주)SH에너지화학,2360,17-Dec,184672638,161711689,188114822,161824273,8905104,9879057,13189274,14181937,105717970,107693472,123261552,125312154
(주)SH에너지화학,2360,18-Dec,180753289,169058462,183598766,171330094,2766802,2033570,2811557,2100670,104065473,105390892,120895795,122434685
(주)SH에너지화학,2360,19-Dec,138161816,131861388,140852575,134184400,-3151629,-3090151,-2363194,-3131129,97386214,98999976,121126250,123415832
