,회사명,거래소코드,회계년도,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,차입금비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,단기차입금_대_총차입금비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율
145,(주)경농,2100,16-Dec,1.45,9.13,-3.18,0.37,2.98,-3.58,33.64,3.12,3.86,2.88,4.49,2,0.64,1.76,9.18,1.6,7.93,1.14,1.46,1.29,138.91,35.77,8.46,74.44,23.97,2.24,1.51,3.99,57.33,41.82,12.52,48.63,82.11,91.17,61.07,42.67,74.25,265.08,13.62,0,0,0,39.56,15.03,23.65
146,(주)경농,2100,17-Dec,4.66,5.31,4.73,3.3,3.31,55.69,32.77,4.88,5.83,2.57,4.09,3.07,0.63,1.75,8.98,1.51,7.14,1.1,1.47,1.29,135,36.12,10.61,74.8,23.68,11.07,7.7,20,57.21,41.39,13.02,48.66,76.99,91.03,63.01,42.79,73.24,282.52,12.62,0,0,0,41.06,16.59,26.98
147,(주)경농,2100,18-Dec,6.37,1.7,4,1.06,3.42,-45.49,34.21,2.29,3.08,4.26,6.95,1.41,0.61,1.77,8.96,1.5,7.93,1.08,1.42,1.28,132.49,38.2,9.58,77.34,23.67,8.48,6.21,15.62,56.39,41.98,13.72,47.58,102.56,94.56,63.69,43.61,71.16,290.22,11.67,0,0,0,40.68,16.22,27.25
148,(주)경농,2100,19-Dec,3.81,-2.24,8.85,10.54,0.56,-18.01,32.71,1.76,2.47,2.39,3.82,1.1,0.62,1.79,9.02,1.61,8.73,1.13,1.4,1.28,150.9,41.85,9.67,83.71,25.48,2.84,2.11,5.07,54.43,46.81,13.83,49.89,91.84,73.83,60.73,45.57,72.27,214.24,16.83,175.89,5.14,820.99,40.26,15.09,24.6
149,(주)경동나비엔,9450,11-Dec,10.31,8.79,9.25,30.81,4.66,20.56,26.29,2.77,5.8,4.95,3.64,3.77,1.36,6.36,11.2,3.44,8.82,2.08,3.94,2.75,158.59,84.15,40.2,56.57,5.96,19.97,5.56,120.97,63.87,9.34,26.11,49.2,75.63,46.16,48.58,36.13,46.94,127.04,18.18,91.87,7.53,320.99,63.67,23.05,17.78
150,(주)경동나비엔,9450,12-Dec,13.87,16.2,12.24,-2.07,4.68,-2.36,25.44,2.42,5.41,4.95,3.67,3.26,1.35,6.3,11.47,3.39,7.78,2.2,3.46,2.76,145.1,85.68,40.75,70.42,8.3,17.42,5.69,86.71,58.68,14.15,28.64,48.5,62.1,25.8,56.97,41.32,40.95,131.75,15.07,86.52,6.32,324.78,67.24,22.83,18.05
151,(주)경동나비엔,9450,13-Dec,18.37,53.62,-7.79,20.49,6.55,20.9,28.49,2.69,6.19,6.05,4.78,3.4,1.27,6.31,11.62,2.72,7.76,2.28,2.84,2.96,89.68,41.69,11.26,89.44,13.66,14.5,5.86,50.12,52.79,25.87,17.57,37.78,71.91,70.83,79.81,47.21,53.51,0,-4.35,108.9,5.66,417.56,70.54,22.33,19.13
152,(주)경동나비엔,9450,14-Dec,13.21,3.55,19.33,16.45,1.4,-17.41,26.84,2.19,4.92,3.56,3.14,2.48,1.13,5.53,11.39,2.29,8.18,2.27,2.26,2.92,85.84,41.02,10.51,111.38,26.19,1.81,0.89,3.63,47.31,55.37,19.03,39.82,71.67,81.44,98.05,52.69,52.22,0,-6.57,171.19,19.74,433.93,44.16,20.16,18.88
153,(주)경동나비엔,9450,15-Dec,0.11,2.16,-1.06,4.38,8.48,80.96,31.24,3.27,8.48,6.03,4.73,4.17,1.27,6,13.15,2.65,8.57,2.59,2.51,3.22,89.35,40.12,10.2,95.11,17.16,7.77,2.97,22.06,51.25,33.49,17.68,39.36,59.76,76.88,85.95,48.75,55.09,0,-4.69,168.29,24.45,407.59,56.57,26.79,21.03
154,(주)경동나비엔,9450,16-Dec,6.88,4.42,10.85,3.22,15.78,122.2,34.45,6.42,16.79,11.02,7.86,9.01,1.4,6.58,13.21,2.92,7.83,2.62,3.01,3.5,98.83,48.13,12.57,79.99,7.75,27.5,9.01,157.65,55.56,13.95,19.88,40.82,58.93,67.02,74.34,44.44,51.3,0,-0.48,150.18,23.96,381.61,72.7,33.01,24.32
155,(주)경동나비엔,9450,17-Dec,17.21,8.95,31.62,22.64,8.66,-28.44,34.85,3.95,10.73,10.23,6.98,5.79,1.47,6.83,10.8,3.22,7.79,2.76,3.12,3.37,105.03,54.82,13.08,96.37,11.97,16.47,5.95,67.56,50.92,23.5,23.93,45.84,84.13,70.88,85.71,49.08,47.8,998.43,2.19,0,0,0,71.53,29.39,21.62
156,(주)경동나비엔,9450,18-Dec,15.86,12.18,24.3,35.95,9.11,-6.3,32.87,3.41,9.23,7.51,5.61,4.55,1.34,5.58,8.47,3.09,8.58,2.71,2.64,2.81,104.32,49.78,9.54,108.35,20.43,0.96,0.4,2.44,48,42.57,23.47,49.18,121.72,84.76,98.22,52,52.28,1263.1,2.04,0,0,0,74.02,28.21,22.65
