,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결
134,(주)갤럭시아에스엠,11420,Dec-14,-931106,-255270,11111111.11,11111111.11
135,(주)갤럭시아에스엠,11420,Dec-15,2575902,1863773,11111111.11,11111111.11
136,(주)갤럭시아에스엠,11420,Dec-16,-1562620,-1562620,-160.66,-183.84
137,(주)갤럭시아에스엠,11420,Dec-17,-5899738,-5899738,11111111.11,11111111.11
138,(주)갤럭시아에스엠,11420,Dec-18,-15678085,-16003255,11111111.11,11111111.11
139,(주)갤럭시아에스엠,11420,Dec-19,-1375316,-1375316,11111111.11,11111111.11
140,(주)경농,2100,Dec-11,3154155,509664,11111111.11,11111111.11
141,(주)경농,2100,Dec-12,6590012,10310339,108.93,1922.97
142,(주)경농,2100,Dec-13,13751960,13950249,108.68,35.3
143,(주)경농,2100,Dec-14,9271741,7099305,-32.58,-49.11
144,(주)경농,2100,Dec-15,6488880,6980392,-30.01,-1.67
145,(주)경농,2100,Dec-16,5770891,6365805,-11.06,-8.8
146,(주)경농,2100,Dec-17,11539079,10079442,99.95,58.34
147,(주)경농,2100,Dec-18,9613575,4878426,-16.69,-51.6
148,(주)경농,2100,Dec-19,7061857,4014664,-26.54,-17.71
149,(주)경동나비엔,9450,Dec-11,9445090,9467023,33.75,135.81
150,(주)경동나비엔,9450,Dec-12,9214927,9169965,-2.44,-3.14
151,(주)경동나비엔,9450,Dec-13,9251575,11129597,0.4,21.37
152,(주)경동나비엔,9450,Dec-14,9082312,9380054,-1.83,-15.72
153,(주)경동나비엔,9450,Dec-15,19320742,16752000,112.73,78.59
154,(주)경동나비엔,9450,Dec-16,28636194,37469924,48.21,123.67
155,(주)경동나비엔,9450,Dec-17,16291264,27019124,-43.11,-27.89
156,(주)경동나비엔,9450,Dec-18,22818064,24748538,40.06,-8.4
157,(주)경동나비엔,9450,Dec-19,20474157,27852090,-10.27,12.54
158,(주)경동도시가스,267290,Dec-17,17678888,17798556,-13.65,-36.1
159,(주)경동도시가스,267290,Dec-18,33981432,34164798,92.21,91.95
160,(주)경동도시가스,267290,Dec-19,24355132,24638348,-28.33,-27.88
161,(주)경동인베스트,12320,Dec-11,50053289,30327559,105.51,23.09
162,(주)경동인베스트,12320,Dec-12,56917580,42879202,13.71,41.39
163,(주)경동인베스트,12320,Dec-13,46253877,49841905,-18.74,16.24
164,(주)경동인베스트,12320,Dec-14,44839494,75930406,-3.06,52.34
165,(주)경동인베스트,12320,Dec-15,-6095609,-21251390,-113.59,-127.99
166,(주)경동인베스트,12320,Dec-16,16356641,19132415,11111111.11,11111111.11
167,(주)경동인베스트,12320,Dec-17,7248447,51930860,-55.68,171.43
168,(주)경동인베스트,12320,Dec-18,1574966,29827973,-78.27,-42.56
169,(주)경동인베스트,12320,Dec-19,-917643,8856009,-158.26,-70.31
170,(주)경방,50,Dec-11,-1822388,-1131177,11111111.11,-112.77
171,(주)경방,50,Dec-12,-7074187,-7910168,11111111.11,11111111.11
172,(주)경방,50,Dec-13,15103835,14574395,11111111.11,11111111.11
173,(주)경방,50,Dec-14,14235818,11488471,-5.75,-21.17
174,(주)경방,50,Dec-15,21604723,16692163,51.76,45.29
175,(주)경방,50,Dec-16,30977743,29474988,43.38,76.58
176,(주)경방,50,Dec-17,25679379,25315361,-17.1,-14.11
177,(주)경방,50,Dec-18,29198252,20189241,13.7,-20.25
178,(주)경방,50,Dec-19,22223943,43621631,-23.89,116.06
179,(주)경보제약,214390,Dec-15,26109623,11111111.11,17.48,-74.53
180,(주)경보제약,214390,Dec-16,12705930,11111111.11,-51.34,0
181,(주)경보제약,214390,Dec-17,17963310,11111111.11,41.38,0
182,(주)경보제약,214390,Dec-18,13116049,11111111.11,-26.98,0
183,(주)경보제약,214390,Dec-19,5285239,11111111.11,-59.7,0
184,(주)경인양행,12610,Dec-11,2788642,2886360,-47.24,-74.02
185,(주)경인양행,12610,Dec-12,4475441,2093491,60.49,-27.47
186,(주)경인양행,12610,Dec-13,12327177,10215710,175.44,387.97
187,(주)경인양행,12610,Dec-14,9090269,10148247,-26.26,-0.66
188,(주)경인양행,12610,Dec-15,107330,3670895,-98.82,-63.83
189,(주)경인양행,12610,Dec-16,3724987,6837522,3370.59,86.26
190,(주)경인양행,12610,Dec-17,531273,4779249,-85.74,-30.1
191,(주)경인양행,12610,Dec-18,7419717,13801882,1296.59,188.79
192,(주)경인양행,12610,Dec-19,4797711,16372880,-35.34,18.63
193,(주)고려시멘트,198440,Dec-14,11111111.11,11111111.11,131.59,-32.14
194,(주)고려시멘트,198440,Dec-15,11111111.11,11111111.11,0,0
195,(주)고려시멘트,198440,Dec-16,11111111.11,11111111.11,0,0
196,(주)고려시멘트,198440,Dec-17,1003761,11111111.11,-90.97,0
197,(주)고려시멘트,198440,Dec-18,4645869,11111111.11,362.85,0
198,(주)고려시멘트,198440,Dec-19,3396444,11111111.11,-26.89,0
199,(주)고영테크놀러지,98460,Dec-11,16580579,15634438,388.17,40.71
