,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
10467,55.04,1254789.63,0.0
10468,-221.43,-221.43,0.0
10469,0.0,11111111.11,0.0
10470,0.0,11111111.11,0.0
10471,1254789.63,11111111.11,11111111.11
10472,65.02,97.56,65.02
10473,-5.76,-19.63,-5.76
10474,-91.84,-40.99,-91.84
10475,-781.41,-43.85,-781.41
10476,174.82,174.82,11111111.11
10477,54.32,-23.54,54.32
10478,30.17,9.52,30.17
10479,54.86,69.57,54.86
10480,33.69,11111111.11,33.69
10481,0.0,11111111.11,0.0
10482,0.0,11111111.11,0.0
10483,150.71,150.71,0.0
10484,112.61,112.61,0.0
10485,32.94,32.94,0.0
10486,2.67,2.67,0.0
10487,-9.07,-9.07,0.0
10488,8.5,8.5,0.0
10489,57.27,11111111.11,0.0
10490,-6.01,28.63,-6.01
10491,-31.53,5.61,-31.53
10492,-14.96,-21.4,-14.96
10493,-52.99,-79.5,-52.99
10494,36.42,-36.43,36.42
10495,44.24,-150.51,44.24
10496,24.99,11111111.11,24.99
