,회사명,거래소코드,회계년도,합계(IFRS)(천원),합계(IFRS연결)(천원),0,1
128,(주)강원에너지,114190,Dec-17,47117020,48303010,-12.33,-12.32
129,(주)강원에너지,114190,Dec-18,49286354,50203707,4.6,3.93
130,(주)강원에너지,114190,Dec-19,22904034,21124556,-53.53,-57.92
131,(주)갤럭시아에스엠,11420,Dec-11,24539613,25274017,7.14,19.64
132,(주)갤럭시아에스엠,11420,Dec-12,25153401,25907252,2.5,2.51
133,(주)갤럭시아에스엠,11420,Dec-13,22472626,21493102,-10.66,-17.04
134,(주)갤럭시아에스엠,11420,Dec-14,23402468,23205508,4.14,7.97
135,(주)갤럭시아에스엠,11420,Dec-15,50665218,49739042,116.5,114.34
136,(주)갤럭시아에스엠,11420,Dec-16,44846832,44846832,-11.48,-9.84
137,(주)갤럭시아에스엠,11420,Dec-17,40494336,40494336,-9.71,-9.71
138,(주)갤럭시아에스엠,11420,Dec-18,26797332,26472162,-33.82,-34.63
139,(주)갤럭시아에스엠,11420,Dec-19,21798750,21798750,-18.65,-17.65
140,(주)경농,2100,Dec-11,146016982,142986220,569.84,555.94
141,(주)경농,2100,Dec-12,151500247,151738994,3.76,6.12
142,(주)경농,2100,Dec-13,162696463,163157511,7.39,7.53
143,(주)경농,2100,Dec-14,168998955,168915900,3.87,3.53
144,(주)경농,2100,Dec-15,173056378,174667648,2.4,3.41
145,(주)경농,2100,Dec-16,176722752,183969132,2.12,5.33
146,(주)경농,2100,Dec-17,182959158,192152985,3.53,4.45
147,(주)경농,2100,Dec-18,187066687,201453891,2.25,4.84
148,(주)경농,2100,Dec-19,190892614,201885272,2.05,0.21
149,(주)경동나비엔,9450,Dec-11,143268094,168114574,-24.95,-16.73
150,(주)경동나비엔,9450,Dec-12,152201349,175875394,6.24,4.62
151,(주)경동나비엔,9450,Dec-13,161494784,187280988,6.11,6.49
152,(주)경동나비엔,9450,Dec-14,167984480,190021880,4.02,1.46
153,(주)경동나비엔,9450,Dec-15,185208256,206076609,10.25,8.45
154,(주)경동나비엔,9450,Dec-16,210193123,238762190,13.49,15.86
155,(주)경동나비엔,9450,Dec-17,222028494,256506497,5.63,7.43
156,(주)경동나비엔,9450,Dec-18,240355951,280103616,8.25,9.2
