회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)골드앤에스,035290,2019/12,1285069,11380624,1285069,11380624,7642733,7642733
(주)골드퍼시픽,038530,2011/12,11177420,11177420,,,11236925,
(주)골드퍼시픽,038530,2012/12,11590263,11177420,,,10491048,
(주)골드퍼시픽,038530,2013/12,12853464,11590263,12853464,11590263,6488691,7167832
(주)골드퍼시픽,038530,2014/12,17553735,12853463,17553735,12853464,4855121,16486257
(주)골드퍼시픽,038530,2015/12,26516141,17553735,26516141,17553735,6121489,18635305
(주)골드퍼시픽,038530,2016/12,29256758,26516141,,,9588100,
(주)골드퍼시픽,038530,2017/12,3327857,29256758,,,5031439,
(주)골드퍼시픽,038530,2018/12,8568172,3327857,8568172,3327857,5580994,5708281
(주)골드퍼시픽,038530,2019/12,16929480,8568172,,,11323125,
(주)골프존,215000,2015/12,3137708,0,3137708,0,184085342,201560389
(주)골프존,215000,2016/12,3137708,3137708,3137708,3137708,196864993,216964342
(주)골프존,215000,2017/12,3137708,3137708,3137708,3137708,171859065,200105321
(주)골프존,215000,2018/12,3137708,3137708,3137708,3137708,191571105,198705194
(주)골프존,215000,2019/12,3137708,3137708,3137708,3137708,239051647,247018099
(주)골프존뉴딘홀딩스,121440,2011/12,6141512,5141512,6141512,5141512,209788389,215793737
(주)골프존뉴딘홀딩스,121440,2012/12,6141512,6141512,6141512,6141512,276341690,289629366
(주)골프존뉴딘홀딩스,121440,2013/12,18424535,6141512,18424535,6141512,340005073,365126358
(주)골프존뉴딘홀딩스,121440,2014/12,18424535,18424535,18424535,18424535,387066126,429589619
(주)골프존뉴딘홀딩스,121440,2015/12,21418409,18424535,21418409,18424535,29389093,164536448
(주)골프존뉴딘홀딩스,121440,2016/12,21418409,21418409,21418409,21418409,27652102,243275475
(주)골프존뉴딘홀딩스,121440,2017/12,21418409,21418409,21418409,21418409,23499543,213756902
(주)골프존뉴딘홀딩스,121440,2018/12,21418409,21418409,21418409,21418409,16100354,223036801
(주)골프존뉴딘홀딩스,121440,2019/12,21418409,21418409,21418409,21418409,26897482,228935651
(주)광림,014200,2011/12,15208965,15208965,,,106495363,
(주)광림,014200,2012/12,19119243,15208965,,,85322569,
(주)광림,014200,2013/12,19119243,19119243,,,103442134,
(주)광림,014200,2014/12,19119243,19119243,19119243,19119243,92553612,231446314
(주)광림,014200,2015/12,19119243,19119243,,,237222890,
(주)광림,014200,2016/12,24249243,19119243,24249243,19119243,87302967,87302967
(주)광림,014200,2017/12,24249243,24249243,24249243,24249243,99421336,135191558
(주)광림,014200,2018/12,24812095,24249243,24812095,24249243,75493055,136595300
(주)광림,014200,2019/12,26461117,24812095,26461117,24812095,93241157,145864184
(주)광명전기,017040,2011/12,21668808,18706723,21668808,18706723,57967857,92382628
(주)광명전기,017040,2012/12,21668808,21668808,21668808,21668808,79318302,117216514
