회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출원가(*)(IFRS)(천원),매출원가(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원)
(주)MH에탄올,23150,16-Dec,48897025,48897025,72025138,72339673,33962392,33962392,5538540,5538540,9965259,9965259,37390792,37390804,2436885,2437050,63257513,63581883,18955978,19709368,7640583,7640748,8767625,8757790
(주)MH에탄올,23150,17-Dec,48270464,51977132,107437079,500180086,34577247,37225576,5502545,5608722,10589508,10887252,39418503,389268406,2770779,29288643,64698932,106837344,18235352,84767703,15540676,189894170,42738147,393342742
(주)MH에탄올,23150,18-Dec,46943080,72795863,109656889,440177523,34331318,53524709,6430326,6538026,10266287,10529867,40585694,390589052,2394387,9419273,68471529,91585473,18385099,29576016,13740951,141080352,41185360,348592051
(주)MH에탄올,23150,19-Dec,46992295,80879342,101058662,451474451,35415661,54219181,8081383,8173323,9124637,9499084,41121323,402623574,2793239,17489419,59477642,79389077,18130225,32814839,14251549,282350933,41581021,372085374
(주)SH에너지화학,2360,11-Dec,172752632,173209351,102383199,104710740,160574493,160789710,11114123,11114123,28469011,29083550,33115306,33220422,3638874,4872700,64498684,65242326,47641848,50355479,32842749,34076575,37884515,39468414
(주)SH에너지화학,2360,12-Dec,191907628,193950102,102492810,103690070,178516652,178829327,14210523,14210523,29170923,30307562,32608108,32784916,4011178,4786774,64888612,64881202,48762275,50509179,28724217,29499813,37604198,38808867
(주)SH에너지화학,2360,13-Dec,229783541,231912218,109984767,110488951,213397080,213952261,11944305,11944305,33105701,33797271,31944570,32065097,6363469,6528298,69781889,69599141,57773554,59051785,34930123,35131167,40202877,40889810
(주)SH에너지화학,2360,14-Dec,226971465,230912587,109098264,110741407,196829927,197661842,13898172,13898172,32478430,33429222,31070401,31132703,5088648,5348444,83404299,84237197,55486941,60325646,20421353,20681148,25693965,26504210
(주)SH에너지화학,2360,15-Dec,213882181,216441364,114048206,115520726,179081363,179135051,11416122,11899473,31405845,32536497,32654731,32660706,4367729,4574055,90740136,91646221,63737267,68213722,16794017,17080931,23308070,23874505
(주)SH에너지화학,2360,16-Dec,214380015,218397677,122956894,124488724,179726464,179759098,10801243,11572141,44371296,44363775,31792327,31796198,4549203,4771893,103083032,104088887,79584275,84222915,12205868,12512423,19873862,20399837
