회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(비교)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),당기순이익(손실)(비교)(IFRS연결)(천원)
(주)골프존뉴딘홀딩스,121440,2014/12,63571492,63571492,79234486,79234486
(주)골프존뉴딘홀딩스,121440,2015/12,890006593,890006593,871101274,871101274
(주)골프존뉴딘홀딩스,121440,2016/12,-20255655,-20255655,2876449,2876449
(주)골프존뉴딘홀딩스,121440,2017/12,-21778628,-20921250,-21585123,-21585123
(주)골프존뉴딘홀딩스,121440,2018/12,-7653686,-7653686,-7527390,-7527390
(주)골프존뉴딘홀딩스,121440,2019/12,-30341791,-29589256,-34848135,-34095600
(주)광림,014200,2011/12,2583332,2583332,,
(주)광림,014200,2012/12,586385,586385,,
(주)광림,014200,2013/12,1630750,1630750,,1630750
(주)광림,014200,2014/12,1137559,-237860,-237860,
(주)광림,014200,2015/12,9223597,3286700,,9223597
(주)광림,014200,2016/12,437352,437352,-1896521,-1896521
(주)광림,014200,2017/12,86196134,86196134,-23602051,-23602051
(주)광림,014200,2018/12,-58294056,-58294056,-28445678,-28445678
(주)광림,014200,2019/12,-68290742,24489126,-14006972,-6019563
(주)광명전기,017040,2011/12,-75153,-75153,-1825104,-1825104
(주)광명전기,017040,2012/12,-1564026,-1564026,407617,407617
(주)광명전기,017040,2013/12,5301060,5301060,6473480,6473480
(주)광명전기,017040,2014/12,6978508,6978508,9107331,9107331
(주)광명전기,017040,2015/12,3442541,3442541,8891002,8891002
(주)광명전기,017040,2016/12,15612709,15612709,11593891,11593891
(주)광명전기,017040,2017/12,-1349854,-1349854,-2043260,-2043260
(주)광명전기,017040,2018/12,3182514,3182514,2718092,2718092
(주)광명전기,017040,2019/12,6470387,6470387,7118200,7118200
(주)광무,029480,2011/12,-51537196,-54011628,-50127229,-52601661
(주)광무,029480,2012/12,-15113066,-15113066,-10689029,-10689029
(주)광무,029480,2013/12,-33154332,-28721377,-28721377,
(주)광무,029480,2014/12,-859721,-859721,,
(주)광무,029480,2015/12,-2727754,-2727754,,
(주)광무,029480,2016/12,95615,95615,,
(주)광무,029480,2017/12,-3352682,-3352682,,-3352682
(주)광무,029480,2018/12,-4875184,-4875184,-5120760,-5120760
(주)광무,029480,2019/12,-6275093,-6275093,-6421201,-6421201
(주)광주신세계,037710,2011/12,52281979,52281979,,
(주)광주신세계,037710,2012/12,53769536,53769536,,
(주)광주신세계,037710,2013/12,48569715,48569715,,
(주)광주신세계,037710,2014/12,42236355,42236355,,
(주)광주신세계,037710,2015/12,45901413,45901413,,
(주)광주신세계,037710,2016/12,45554028,45554028,,
(주)광주신세계,037710,2017/12,47846191,47846191,,
(주)광주신세계,037710,2018/12,45093180,45093180,,
(주)광주신세계,037710,2019/12,47668959,47668959,,
(주)구영테크,053270,2011/12,985788,985788,-647883,-647883
(주)구영테크,053270,2012/12,1250176,1250176,1633009,1633009
(주)구영테크,053270,2013/12,1137402,1137402,2179847,2179847
(주)구영테크,053270,2014/12,1326679,1326679,2236588,2236588
(주)구영테크,053270,2015/12,3196300,3196300,4158785,4158785
(주)구영테크,053270,2016/12,3920237,3920237,2542450,2542450
(주)구영테크,053270,2017/12,1239184,1239184,1357296,1357296
(주)구영테크,053270,2018/12,3912117,3912117,5920905,5920905
(주)구영테크,053270,2019/12,1558141,1558141,3387486,3387486
(주)국동,005320,2011/12,-12930687,-12930687,-7212195,-7212195
(주)국동,005320,2012/12,262553,262553,5142066,5142066
(주)국동,005320,2013/12,2373991,2373991,4009323,4009323
(주)국동,005320,2014/12,4692501,4692501,8898694,8898694
(주)국동,005320,2015/12,5321778,5321778,5235608,5235608
(주)국동,005320,2016/12,4379974,4379974,6208749,6208749
(주)국동,005320,2017/12,-6593433,-6593433,-8967738,-8967738
(주)국동,005320,2018/12,1351547,1351547,2111761,2111761
(주)국동,005320,2019/12,-6989987,-6989987,-4523376,-4523376
(주)국보,001140,2011/12,-176708,-176708,-37903,-37903
(주)국보,001140,2012/12,-1916073,-1916073,-874559,
(주)국보,001140,2013/12,-3766842,-3766842,-3846673,-3846673
(주)국보,001140,2014/12,-6633427,-6633427,-6999514,-6999514
(주)국보,001140,2015/12,-3679630,-3679630,-4043773,-4043773
(주)국보,001140,2016/12,-5034348,-5034348,-4187272,-4187272
(주)국보,001140,2017/12,-2761653,-2761653,-2889794,-2889794
(주)국보,001140,2018/12,-4038217,-4038217,-3999572,-3999572
(주)국보,001140,2019/12,-9851123,-9851123,-6676274,-6676274
(주)국보디자인,066620,2011/12,6607794,6607794,6055732,6055732
(주)국보디자인,066620,2012/12,8631842,8044196,8281324,7693678
(주)국보디자인,066620,2013/12,9417821,9417821,10935895,10935895
(주)국보디자인,066620,2014/12,7901285,7901285,10942079,10942079
(주)국보디자인,066620,2015/12,6947669,6947669,10768050,10768050
(주)국보디자인,066620,2016/12,11905078,11905078,10738135,10738135
(주)국보디자인,066620,2017/12,14149734,14149734,13340935,13340935
(주)국보디자인,066620,2018/12,14098992,14098992,13872876,13872876
(주)국보디자인,066620,2019/12,9509021,9509021,15942956,15942956
(주)국순당,043650,2011/12,5640710,5640710,5264054,5264054
(주)국순당,043650,2012/12,5122888,5185337,6185532,6247982
(주)국순당,043650,2013/12,2346882,2346882,5742772,5742772
(주)국순당,043650,2014/12,1997559,1997559,3463226,3463226
(주)국순당,043650,2015/12,-4854598,-4854598,-3529405,-3529405
(주)국순당,043650,2016/12,-2212642,-2212642,-2760688,-2760688
(주)국순당,043650,2017/12,9847390,9847390,9687855,9394895
(주)국순당,043650,2018/12,15171022,15171022,-2977369,-2977369
(주)국순당,043650,2019/12,571892,4317792,-8269903,-254418
(주)국영지앤엠,006050,2011/12,-1752706,-1752706,,
(주)국영지앤엠,006050,2012/12,4832440,4832440,,
(주)국영지앤엠,006050,2013/12,953338,953338,,
(주)국영지앤엠,006050,2014/12,395531,395531,,
(주)국영지앤엠,006050,2015/12,-533927,-533927,,
