,회사명,거래소코드,회계년도,기말자본금(*)(IFRS)(천원),기초자본금(IFRS)(천원),기말자본금(*)(IFRS연결)(천원),기초자본금(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원),0,1,2,3
68,(주)SNT에너지,100840,Dec-16,3542306,3542306,11111111.11,11111111.11,254089906,11111111.11,0,1254789.63,-2.31,
69,(주)SNT에너지,100840,Dec-17,3542306,3542306,11111111.11,11111111.11,184091945,11111111.11,0,1254789.63,-27.55,
70,(주)SNT에너지,100840,Dec-18,3648575,3542306,11111111.11,11111111.11,139516396,11111111.11,3,1254789.63,-24.21,
71,(주)SNT에너지,100840,Dec-19,3753356,3648575,3753356,3648575,202822913,213326726,5.96,1254789.63,45.38,
72,(주)SNT홀딩스,36530,Dec-11,7661712,7661712,7661712,7661712,2257851,1663846065,109.99,109.99,-98.89,679.95
73,(주)SNT홀딩스,36530,Dec-12,7661712,7661712,7661712,7661712,8718270,1668749904,0,0,286.13,0.29
74,(주)SNT홀딩스,36530,Dec-13,7661712,7661712,7661712,7661712,8826810,1576368464,0,0,1.24,-5.54
75,(주)SNT홀딩스,36530,Dec-14,7661712,7661712,7661712,7661712,7701882,1552374806,0,0,-12.74,-1.52
76,(주)SNT홀딩스,36530,Dec-15,7885038,7661712,7885038,7661712,8475099,1612746929,2.91,2.91,10.04,3.89
77,(주)SNT홀딩스,36530,Dec-16,8115053,7885038,8115053,7885038,9818190,1537700275,5.92,5.92,15.85,-4.65
78,(주)SNT홀딩스,36530,Dec-17,8115053,8115053,8115053,8115053,7417869,1508152132,2.92,2.92,-24.45,-1.92
79,(주)SNT홀딩스,36530,Dec-18,8351943,8115053,8351943,8115053,7292112,1401307482,2.92,2.92,-1.7,-7.08
80,(주)SNT홀딩스,36530,Dec-19,8351943,8351943,8351943,8351943,11015928,1512114565,2.92,2.92,51.07,7.91
81,(주)STX,11810,Dec-11,150000000,125000000,150000000,125000000,4173397000,5967701000,1695.99,1695.99,37785.12,294.66
82,(주)STX,11810,Dec-12,151128000,150000000,151128000,150000000,4116767000,6159850000,20.9,20.9,-1.36,3.22
83,(주)STX,11810,Dec-13,153838000,151128000,153838000,151128000,1895063000,2449401000,2.56,2.56,-53.97,-60.24
84,(주)STX,11810,Dec-14,74756000,153838000,74756000,153838000,1291351000,1634606000,-50.53,-50.53,-31.86,-33.27
85,(주)STX,11810,Dec-15,74842000,74756000,74842000,74756000,1362127000,1630827000,-51.35,-51.35,5.48,-0.23
86,(주)STX,11810,Dec-16,118473000,74842000,118473000,74842000,1465561000,1720153000,58.48,58.48,7.59,5.48
87,(주)STX,11810,Dec-17,47834000,118330000,47834000,118473000,1595494000,1803878000,-36.09,-36.09,8.87,4.87
88,(주)STX,11810,Dec-18,49317000,47834000,49317000,47834000,1329890000,1502985000,-58.32,-58.37,-16.65,-16.68
89,(주)STX,11810,Dec-19,49317000,49317000,49317000,49317000,1237876000,1471164000,3.1,3.1,-6.92,-2.12
90,(주)TCC스틸,2710,Dec-11,16000000,15000000,16000000,15000000,456928069,514424043,-67.56,-67.56,-63.09,-65.03
91,(주)TCC스틸,2710,Dec-12,17000000,16000000,17000000,17000000,440568155,501337475,13.33,13.33,-3.58,-2.54
92,(주)TCC스틸,2710,Dec-13,18000000,17000000,18000000,17000000,419483813,500832754,12.5,5.88,-4.79,-0.1
93,(주)TCC스틸,2710,Dec-14,19000000,18000000,19000000,18000000,401323585,518995240,11.76,11.76,-4.33,3.63
