회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원)
(주)SNT홀딩스,036530,2019/12,417172874,2236679025,59663,871104106,31735933,1266526398,416939604,1625933047
(주)STX,011810,2011/12,3302248000,5234175000,72801000,818420000,993206000,1430457000,1164648000,1915942000
(주)STX,011810,2012/12,3226878000,5067029000,69598000,1044547000,856988000,1484305000,1123534000,1506639000
(주)STX,011810,2013/12,1086567000,1342520000,62152000,215510000,640293000,793607000,-522090000,-509663000
(주)STX,011810,2014/12,1070433000,1255002000,57120000,108080000,728283000,893610000,54894000,93662000
(주)STX,011810,2015/12,1057543000,1267224000,53714000,101700000,663016000,902119000,72316000,72342000
(주)STX,011810,2016/12,627686000,707709000,30798000,73715000,441306000,486347000,-328883000,-330596000
(주)STX,011810,2017/12,520393000,627542000,29631000,70760000,349891000,475786000,44710000,42560000
(주)STX,011810,2018/12,446758000,554061000,28464000,74249000,297842000,422861000,62213000,64028000
(주)STX,011810,2019/12,462734000,560107000,43245000,90288000,292473000,386401000,50616000,56291000
(주)TCC스틸,002710,2011/12,407743559,454329510,75283350,84444856,163515113,183481284,205616971,225441968
(주)TCC스틸,002710,2012/12,438642951,547013976,71554979,143845835,168674581,218440703,209755733,225998781
(주)TCC스틸,002710,2013/12,444204925,543708595,71255687,156557380,150092488,220034732,210086242,205738102
(주)TCC스틸,002710,2014/12,461297588,551000563,68743151,151621286,141191905,233224033,210093654,189038004
(주)TCC스틸,002710,2015/12,330651742,376394571,50635593,71859909,202116240,240184174,76555951,86012476
(주)TCC스틸,002710,2016/12,250878191,282914735,43730610,64693517,97007914,120777516,92623510,103337634
(주)TCC스틸,002710,2017/12,248896237,278692540,45541678,58943990,101914014,120243911,89627045,100915803
(주)TCC스틸,002710,2018/12,268135677,304781579,43204124,55878504,128625665,152165969,98351707,112246210
(주)TCC스틸,002710,2019/12,270265082,314210087,47129444,59322335,121879909,148991647,97501452,116843135
(주)가비아,079940,2011/12,37295822,64954440,7163470,22149161,9245779,28837190,24298687,48665742
(주)가비아,079940,2012/12,51795749,85244515,23749485,37833915,9613034,31997486,31165211,58945247
(주)가비아,079940,2013/12,52151784,91231294,22732962,37047584,10360239,37411881,34822978,68600227
(주)가비아,079940,2014/12,55984243,98544072,22313113,37099200,14916105,41920706,38147677,75509702
(주)가비아,079940,2015/12,57657418,105081568,22210592,36916970,17436488,52239105,42470259,84096148
(주)가비아,079940,2016/12,61160981,125796754,22429866,43221838,12237594,60241586,45413712,95951841
(주)가비아,079940,2017/12,64986436,133382584,22362004,45452326,15116578,66113388,47662984,99896520
(주)가비아,079940,2018/12,69315988,151440505,24425180,49107084,18388749,78058272,49832912,114187490
(주)가비아,079940,2019/12,82964911,199916131,39724951,85359914,13602872,86880807,54084066,134959139
(주)강스템바이오텍,217730,2015/12,24982626,,2980005,,18896590,,21237036,
(주)강스템바이오텍,217730,2016/12,47441769,,4039297,,37966496,,22976911,
(주)강스템바이오텍,217730,2017/12,44508729,47198979,12480829,13229478,24316617,25246012,24668128,24482163
(주)강스템바이오텍,217730,2018/12,66184838,73194018,14220013,15140205,44071609,48992790,47944961,47581374
(주)강스템바이오텍,217730,2019/12,98625925,113643697,22738650,31219524,50136013,55408095,70845209,68719236
(주)강원랜드,035250,2011/12,2730283806,2711401782,1302068954,1312308962,1116717650,1163791156,2278202202,2257362696
(주)강원랜드,035250,2012/12,2915385756,2906655321,1334113267,1357670542,1117338850,1165450728,2383160603,2372026990
(주)강원랜드,035250,2013/12,3105430200,3102036846,1327018456,1385719165,1032979185,1080401909,2523962938,2517696496
(주)강원랜드,035250,2014/12,3380461682,3375127289,1284798892,1387584592,1349601870,1371825587,2716175018,2705357485
(주)강원랜드,035250,2015/12,3688060027,3690791830,1253601276,1353560925,1736167993,1750420316,2997442337,2997755205
(주)강원랜드,035250,2016/12,3975979890,3978987574,1254129261,1315715882,1799026863,1809513458,3252738063,3252727459
(주)강원랜드,035250,2017/12,4182527382,4185657487,1253403658,1297980610,2155754572,2164296051,3500789656,3501235933
