,회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),0,1,2,3
110,(주)강스템바이오텍,217730,Dec-17,24316617,25246012,1725225,1725225,-35.95,,196.02,
111,(주)강스템바이오텍,217730,Dec-18,44071609,48992790,501972,1918575,81.24,94.06,-70.9,11.21
112,(주)강스템바이오텍,217730,Dec-19,50136013,55408095,34319,266393,13.76,13.09,-93.16,-86.12
113,(주)강원랜드,35250,Dec-11,1116717650,1163791156,2245975,2245975,2127.38,2000.4,6444.41,743.11
114,(주)강원랜드,35250,Dec-12,1117338850,1165450728,1200611,1200611,0.06,0.14,-46.54,-46.54
115,(주)강원랜드,35250,Dec-13,1032979185,1080401909,1493306,1493306,-7.55,-7.3,24.38,24.38
116,(주)강원랜드,35250,Dec-14,1349601870,1371825587,1204918,1204918,30.65,26.97,-19.31,-19.31
117,(주)강원랜드,35250,Dec-15,1736167993,1750420316,1621646,1621646,28.64,27.6,34.59,34.59
118,(주)강원랜드,35250,Dec-16,1799026863,1809513458,1309513,1309513,3.62,3.38,-19.25,-19.25
119,(주)강원랜드,35250,Dec-17,2155754572,2164296051,1299617,1299617,19.83,19.61,-0.76,-0.76
120,(주)강원랜드,35250,Dec-18,1749493012,1759033105,1143581,1148805,-18.85,-18.72,-12.01,-11.6
121,(주)강원랜드,35250,Dec-19,1868365557,1878191161,3631307,3636529,6.79,6.77,217.54,216.55
122,(주)강원에너지,114190,Nov-11,47950975,11111111.11,3989692,11111111.11,-97.43,-99.41,9.87,205.54
123,(주)강원에너지,114190,Dec-12,80491240,11111111.11,3808870,11111111.11,67.86,,-4.53,
124,(주)강원에너지,114190,Dec-13,61556228,11111111.11,2086978,11111111.11,-23.52,,-45.21,
125,(주)강원에너지,114190,Dec-14,48800730,11111111.11,1736909,11111111.11,-20.72,,-16.77,
126,(주)강원에너지,114190,Dec-15,58744703,62927388,1233999,1233999,20.38,,-28.95,
127,(주)강원에너지,114190,Dec-16,49882033,53716336,335220,335220,-15.09,-14.64,-72.83,-72.83
128,(주)강원에너지,114190,Dec-17,66557788,68068421,361382,361382,33.43,26.72,7.8,7.8
129,(주)강원에너지,114190,Dec-18,70097814,70556730,543737,543737,5.32,3.66,50.46,50.46
130,(주)강원에너지,114190,Dec-19,30346449,30544232,118784,118784,-56.71,-56.71,-78.15,-78.15
131,(주)갤럭시아에스엠,11420,Dec-11,17322791,24658098,0,20209,-42.92,-19.27,-100,-82.99
132,(주)갤럭시아에스엠,11420,Dec-12,21665386,24752609,0,37487,25.07,0.38,,85.5
133,(주)갤럭시아에스엠,11420,Dec-13,15680160,19899780,0,126351,-27.63,-19.61,,237.05
134,(주)갤럭시아에스엠,11420,Dec-14,21910144,26742964,404356,508736,39.73,34.39,inf,302.64
135,(주)갤럭시아에스엠,11420,Dec-15,40480215,44426010,0,11280,84.76,66.12,-100,-97.78
136,(주)갤럭시아에스엠,11420,Dec-16,33508731,37929417,0,0,-17.22,-14.62,,-100
137,(주)갤럭시아에스엠,11420,Dec-17,25522603,28750883,0,0,-23.83,-24.2,,
138,(주)갤럭시아에스엠,11420,Dec-18,14317048,14251248,0,0,-43.9,-50.43,,
139,(주)갤럭시아에스엠,11420,Dec-19,13644588,13644588,0,0,-4.7,-4.26,,
140,(주)경농,2100,Dec-11,85897543,94363834,70007203,70194121,529.54,591.58,inf,inf
141,(주)경농,2100,Dec-12,88973571,142516976,69708618,102583675,3.58,51.03,-0.43,46.14
142,(주)경농,2100,Dec-13,90491612,129526582,70268926,98860077,1.71,-9.11,0.8,-3.63
143,(주)경농,2100,Dec-14,92163573,139646908,69968941,98308244,1.85,7.81,-0.43,-0.56
144,(주)경농,2100,Dec-15,110823037,161184139,84302523,115444315,20.25,15.42,20.49,17.43
145,(주)경농,2100,Dec-16,113338004,156061222,89356248,115876266,2.27,-3.18,5.99,0.37
146,(주)경농,2100,Dec-17,114661596,163437464,91796107,119704437,1.17,4.73,2.73,3.3
147,(주)경농,2100,Dec-18,124295854,169982099,91526504,120967753,8.4,4,-0.29,1.06
148,(주)경농,2100,Dec-19,138697201,185020093,101542875,133714688,11.59,8.85,10.94,10.54
149,(주)경동나비엔,9450,Dec-11,109967953,129512842,41637076,60788326,-20.71,-30,-59,-54.54
150,(주)경동나비엔,9450,Dec-12,123218302,145371681,33893618,59527947,12.05,12.24,-18.6,-2.07
151,(주)경동나비엔,9450,Dec-13,104914630,134043087,37417214,71724409,-14.85,-7.79,10.4,20.49
152,(주)경동나비엔,9450,Dec-14,134136648,159947056,40963230,83525372,27.85,19.33,9.48,16.45
153,(주)경동나비엔,9450,Dec-15,129837058,158254944,39239496,87185691,-3.21,-1.06,-4.21,4.38
154,(주)경동나비엔,9450,Dec-16,145915928,175420277,41128987,89997026,12.38,10.85,4.82,3.22
155,(주)경동나비엔,9450,Dec-17,175839342,230894567,57016736,110374505,20.51,31.62,38.63,22.64
156,(주)경동나비엔,9450,Dec-18,209454208,287001959,74930222,150049770,19.12,24.3,31.42,35.95
157,(주)경동나비엔,9450,Dec-19,214093729,274279157,66299991,138114361,2.22,-4.43,-11.52,-7.95
