회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),기타(영업)수익(*)(IFRS),기타(영업)수익(*)(IFRS연결),판매비와 관리비(물류원가 등 포함)(*)(IFRS),판매비와 관리비(물류원가 등 포함)(*)(IFRS연결)
(주)경동인베스트,012320,2011/12,1806174764,1847666903,1697470671,1739469751,3232095,6609282,54876510,65635356
(주)경동인베스트,012320,2012/12,2403814656,2502642394,2292736954,2381579037,0,0,59575728,71166413
(주)경동인베스트,012320,2013/12,2664100017,2788264380,2552976223,2659198011,0,0,64435388,78526083
(주)경동인베스트,012320,2014/12,2399450987,2603059058,2293899450,2470957525,0,0,67714190,84168488
(주)경동인베스트,012320,2015/12,1352478311,1604168482,1263722829,1520436435,0,0,70357549,97030233
(주)경동인베스트,012320,2016/12,1021002691,1181902637,924418543,1064804018,0,0,73040855,88431091
(주)경동인베스트,012320,2017/12,612436,195069859,0,140724518,0,0,2869295,17964879
(주)경동인베스트,012320,2018/12,7460898,228644016,3635575,171130400,0,0,3987138,18301003
(주)경동인베스트,012320,2019/12,8641051,271765025,3929209,223338232,0,0,4807448,26467287
(주)경동인베스트,012320,2020/12,7700621,310532988,2596565,267702055,0,0,4636649,22169647
(주)경방,000050,2010/12,277727642,339355972,222076044,233166690,5953421,8122428,7277952,61656033
(주)경방,000050,2011/12,275746943,348136369,246411496,258814443,6448939,7861801,6758633,67262415
(주)경방,000050,2012/12,265409209,333620804,250600103,260837041,0,0,6568491,65529821
(주)경방,000050,2013/12,264782077,347189559,223418883,251468225,0,0,5461080,59689595
(주)경방,000050,2014/12,256979444,329036023,209067504,238357806,0,0,15816417,60060060
(주)경방,000050,2015/12,307744480,357628146,209467360,255868653,0,0,59647194,62797982
(주)경방,000050,2016/12,313876822,377445013,210095763,268352680,0,0,61204284,65655764
(주)경방,000050,2017/12,288103985,360788750,188372022,253442168,0,0,60320796,65037350
(주)경방,000050,2018/12,279085217,351438926,177815403,244043108,0,0,62297979,66416067
(주)경방,000050,2019/12,253552382,343892085,151563044,244396020,0,0,63022915,67475534
(주)경방,000050,2020/12,226061886,329224741,129916804,232398638,0,0,70775739,74972106
(주)경보제약,214390,2015/12,178032632,,129475387,,0,,22924910,
(주)경보제약,214390,2016/12,186726170,,142622767,,0,,28509177,
(주)경보제약,214390,2017/12,191661374,,137038683,,0,,30036042,
(주)경보제약,214390,2018/12,201343596,,152082417,,0,,31994604,
(주)경보제약,214390,2019/12,191706189,,150990036,,0,,34522080,
(주)경보제약,214390,2020/12,215285095,,162820355,,0,,43803308,
(주)경인양행,012610,2010/12,149007816,267600679,129714312,227505749,0,0,18592720,29714410
(주)경인양행,012610,2011/12,128707611,233095049,109831813,198818643,0,0,16999541,27923263
(주)경인양행,012610,2012/12,141304459,218604655,120613769,190167857,0,0,17683856,24795532
(주)경인양행,012610,2013/12,183106757,260808400,147883856,217483383,0,0,23144838,32179075
(주)경인양행,012610,2014/12,190395047,277181095,153646031,228191361,0,0,25778430,34896569
(주)경인양행,012610,2015/12,175006703,263163677,148385606,220123025,0,0,26546410,36322519
(주)경인양행,012610,2016/12,179267850,274873817,150776725,228042128,0,0,26292972,36254507
(주)경인양행,012610,2017/12,193975818,299987729,164845854,252841704,0,0,28970760,39781229
(주)경인양행,012610,2018/12,222659442,331102011,169805543,255365574,0,0,40878853,56045269
(주)경인양행,012610,2019/12,245244968,358802386,188265694,274054354,0,0,42802896,61192976
(주)경인양행,012610,2020/12,214380449,329312078,173340842,260748524,0,0,46476293,65193707
(주)고려시멘트,198440,2014/12,,,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,,,
(주)고려시멘트,198440,2017/12,87660276,,75974602,,0,,8668053,
(주)고려시멘트,198440,2018/12,85775723,,73108112,,0,,8830048,
(주)고려시멘트,198440,2019/12,70921781,,65599490,,0,,5781918,
(주)고려시멘트,198440,2020/12,70182711,,62037927,,0,,3864038,
(주)고바이오랩,348150,2020/12,4591485,4591485,1949490,1949490,0,0,12855851,14986969
(주)고영테크놀러지,098460,2010/12,71207683,72956931,29644170,30102283,1572263,1680461,22517726,22827450
(주)고영테크놀러지,098460,2011/12,80200892,86130810,34339828,36970902,2131545,2347829,26842213,31057560
(주)고영테크놀러지,098460,2012/12,100791139,107841666,46250331,46349851,0,0,34182337,40048530
(주)고영테크놀러지,098460,2013/12,103933681,111902729,48746666,49977494,0,0,37408143,45151797
(주)고영테크놀러지,098460,2014/12,135531589,142840131,61382298,60262407,0,0,46420035,54422413
