회사명,거래소코드,회계년도,매출총이익(손실)(IFRS)(천원),매출액(수익)(*)(IFRS)(천원),매출총이익(손실)(IFRS연결)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)경동나비엔,009450,2010/12,65224962,278277379,84921218,307182060
(주)경동나비엔,009450,2011/12,71649884,318269213,89706304,341246917
(주)경동나비엔,009450,2012/12,73196351,341339118,96431191,379014259
(주)경동나비엔,009450,2013/12,87442951,371601179,118009009,414177562
(주)경동나비엔,009450,2014/12,88953762,382392117,115144756,428985365
(주)경동나비엔,009450,2015/12,113472557,448302084,159979931,512031120
(주)경동나비엔,009450,2016/12,137027478,506082201,200919854,583252904
(주)경동나비엔,009450,2017/12,146602964,569819524,238581961,684660958
(주)경동나비엔,009450,2018/12,151676555,618058456,238897237,726741615
(주)경동나비엔,009450,2019/12,176259277,655419303,264654859,774290704
(주)경동도시가스,267290,2017/12,77211661,870828897,78310142,871548284
(주)경동도시가스,267290,2018/12,125167691,1605687067,126012491,1606531867
(주)경동도시가스,267290,2019/12,111074624,1421866212,112518917,1422707835
(주)경동인베스트,012320,2010/12,102059441,1289139847,106080076,1360542926
(주)경동인베스트,012320,2011/12,108704093,1806174764,108197152,1847666903
(주)경동인베스트,012320,2012/12,111077701,2403814656,121063358,2502642394
(주)경동인베스트,012320,2013/12,111123794,2664100017,129066369,2788264380
(주)경동인베스트,012320,2014/12,105551537,2399450987,132101533,2603059058
(주)경동인베스트,012320,2015/12,88755482,1352478311,83732047,1604168482
(주)경동인베스트,012320,2016/12,96584148,1021002691,117098619,1181902637
(주)경동인베스트,012320,2017/12,612436,612436,54345341,195069859
(주)경동인베스트,012320,2018/12,3825323,7460898,57513616,228644016
(주)경동인베스트,012320,2019/12,4711843,8641051,48426793,271765025
(주)경방,000050,2010/12,55651598,277727642,106189282,339355972
(주)경방,000050,2011/12,29335447,275746943,89321926,348136369
(주)경방,000050,2012/12,14809107,265409209,72783763,333620804
(주)경방,000050,2013/12,41363194,264782077,95721334,347189559
(주)경방,000050,2014/12,47911940,256979444,90678217,329036023
(주)경방,000050,2015/12,98277120,307744480,101759493,357628146
(주)경방,000050,2016/12,103781058,313876822,109092333,377445013
(주)경방,000050,2017/12,99731963,288103985,107346582,360788750
(주)경방,000050,2018/12,101269814,279085217,107395818,351438926
(주)경방,000050,2019/12,101989338,253552382,99496064,343892085
(주)경보제약,214390,2015/12,48557245,178032632,,
(주)경보제약,214390,2016/12,44103403,186726170,,
(주)경보제약,214390,2017/12,54622691,191661374,,
(주)경보제약,214390,2018/12,49261178,201343596,,
(주)경보제약,214390,2019/12,40716153,191706189,,
(주)경인양행,012610,2010/12,19293504,149007816,40094930,267600679
(주)경인양행,012610,2011/12,18875798,128707611,34276406,233095049
(주)경인양행,012610,2012/12,20690690,141304459,28436798,218604655
(주)경인양행,012610,2013/12,35222901,183106757,43325018,260808400
