,회사명,총자본증가율,0,1
308,(주)국보디자인,12.31,16.89,12.31
309,(주)국보디자인,3.74,4.96,3.74
310,(주)국보디자인,6.48,2.17,6.48
311,(주)국보디자인,27.12,22.26,27.12
312,(주)국순당,-10.51,-1.98,-10.51
313,(주)국순당,5.32,4.97,5.32
314,(주)국순당,4.0,-0.14,4.0
315,(주)국순당,-0.29,1.27,-0.29
316,(주)국순당,-0.41,-1.1,-0.41
317,(주)국순당,-1.65,-1.7,-1.65
318,(주)국순당,13.71,4.38,13.71
319,(주)국순당,-1.48,5.94,-1.48
320,(주)국순당,5.81,-5.07,5.81
321,(주)국영지앤엠,30.7,-70.94,-95.6
322,(주)국영지앤엠,-1.35,-1.35,11111111.11
323,(주)국영지앤엠,4.83,4.83,11111111.11
324,(주)국영지앤엠,-6.52,-6.52,11111111.11
325,(주)국영지앤엠,8.0,8.0,11111111.11
326,(주)국영지앤엠,3.07,3.07,11111111.11
327,(주)국영지앤엠,0.65,0.65,11111111.11
328,(주)국영지앤엠,-8.72,-8.72,11111111.11
329,(주)국영지앤엠,13.79,13.79,11111111.11
330,(주)국전약품,0.0,-83.82,0.0
331,(주)국전약품,1254789.63,11111111.11,11111111.11
332,(주)그래디언트,44.28,4595.75,6898.88
333,(주)그래디언트,-4.84,-7.58,-4.84
334,(주)그래디언트,116.02,-1.85,116.02
335,(주)그래디언트,20.13,-3.68,20.13
336,(주)그래디언트,9.7,4.37,9.7
337,(주)그래디언트,-1.57,-14.97,-1.57
338,(주)그래디언트,-12.97,-14.97,-12.97
339,(주)그래디언트,0.28,-1.33,0.28
340,(주)그래디언트,-1.64,-0.98,-1.64
341,(주)그리티,30.7,-74.25,-94.62
342,(주)그리티,-3.76,0.28,-3.76
343,(주)그린플러스,13.5,-34.81,-21.52
344,(주)글로벌스탠다드테크놀로지,41.54,11111111.11,11111111.11
345,(주)글로벌스탠다드테크놀로지,2.38,-1.34,2.38
346,(주)글로벌스탠다드테크놀로지,16.35,16.32,16.35
347,(주)글로벌스탠다드테크놀로지,11.73,10.98,11.73
348,(주)글로벌스탠다드테크놀로지,-0.4,-4.02,-0.4
349,(주)글로벌스탠다드테크놀로지,28.29,29.08,28.29
350,(주)글로벌스탠다드테크놀로지,14.53,13.42,14.53
351,(주)글로벌스탠다드테크놀로지,2.57,-1.62,2.57
352,(주)글로벌스탠다드테크놀로지,30.21,38.23,30.21
353,(주)금비,57.31,11.44,57.31
354,(주)금비,0.17,-2.5,0.17
355,(주)금비,-2.62,0.34,-2.62
356,(주)금비,5.26,4.67,5.26
357,(주)금비,4.97,3.05,4.97
358,(주)금비,8.09,9.19,8.09
359,(주)금비,-1.44,-4.6,-1.44
360,(주)금비,2.38,1.12,2.38
361,(주)금비,2.88,1.03,2.88
362,(주)금양,19.88,-18.05,-49.72
363,(주)금양,-2.49,2.51,-2.49
364,(주)금양,15.33,12.02,15.33
365,(주)금양,8.92,1.86,8.92
366,(주)금양,3.22,8.5,3.22
367,(주)금양,8.16,11.1,8.16
368,(주)금양,9.6,-4.48,9.6
369,(주)금양,4.43,-6.95,4.43
370,(주)금양,9.5,10.56,9.5
371,(주)금호에이치티,11.8,-36.39,-44.75
372,(주)금호에이치티,26.42,38.79,26.42
373,(주)금호에이치티,-4.11,-3.54,-4.11
374,(주)금호에이치티,58.75,57.28,58.75
375,(주)금호에이치티,35.11,36.65,35.11
376,(주)금화피에스시,14.14,-70.07,-96.55
377,(주)금화피에스시,12.01,12.01,11111111.11
378,(주)금화피에스시,28.15,28.15,11111111.11
379,(주)금화피에스시,10.58,8.27,10.58
380,(주)금화피에스시,19.58,19.63,19.58
381,(주)금화피에스시,13.77,12.83,13.77
382,(주)금화피에스시,7.72,9.46,7.72
383,(주)금화피에스시,13.33,12.05,13.33
384,(주)금화피에스시,7.3,5.3,7.3
385,(주)기가레인,-56.5,-51.82,-56.5
386,(주)기가레인,7.67,8.39,7.67
387,(주)기가레인,15.03,11.49,15.03
388,(주)기가레인,2.62,2.75,2.62
389,(주)기가레인,16.63,17.76,16.63
390,(주)기가레인,-1.38,-1.92,-1.38
391,(주)기가레인,-34.23,-34.46,-34.23
392,(주)기산텔레콤,-10.87,-48.57,-26.77
393,(주)기산텔레콤,-15.1,-21.59,-15.1
394,(주)기산텔레콤,7.61,22.9,7.61
395,(주)기산텔레콤,-0.96,-5.19,-0.96
396,(주)기산텔레콤,-2.61,-0.71,-2.61
397,(주)기산텔레콤,-2.37,-12.59,-2.37
398,(주)기산텔레콤,-5.49,-5.44,-5.49
399,(주)기산텔레콤,-19.9,-23.2,-19.9
400,(주)기산텔레콤,18.88,16.97,18.88
401,(주)까뮤이앤씨,-29.69,521.81,-83.36
402,(주)까뮤이앤씨,-18.24,-18.24,11111111.11
403,(주)까뮤이앤씨,-17.62,-17.62,11111111.11
404,(주)까뮤이앤씨,-22.66,-22.66,11111111.11
405,(주)까뮤이앤씨,-0.14,-0.14,11111111.11
406,(주)까뮤이앤씨,10.44,10.44,11111111.11
407,(주)까뮤이앤씨,-2.13,-2.13,11111111.11
408,(주)까뮤이앤씨,1.65,1.65,11111111.11
409,(주)까뮤이앤씨,18.73,18.73,11111111.11
410,(주)까스텔바작,12.29,-47.53,701.05
411,(주)나노,1254789.63,11111111.11,11111111.11
412,(주)나노,1254789.63,11111111.11,11111111.11
413,(주)나노,-16.14,-21.0,-16.14
414,(주)나노,9.75,3.14,9.75
415,(주)나노,18.22,12.64,18.22
416,(주)나노,7.28,9.59,7.28
417,(주)나노브릭,35.73,-66.38,-78.86
418,(주)나노신소재,46.84,11111111.11,11111111.11
419,(주)나노신소재,-6.44,-6.28,-6.44
420,(주)나노신소재,-1.21,-1.26,-1.21
421,(주)나노신소재,6.15,6.04,6.15
422,(주)나노신소재,16.42,15.37,16.42
423,(주)나노신소재,0.95,1.94,0.95
424,(주)나노신소재,5.61,5.61,5.61
425,(주)나노신소재,10.7,10.16,10.7
426,(주)나노신소재,3.47,3.79,3.47
427,(주)나노엔텍,-51.27,-50.79,-51.27
428,(주)나노엔텍,-10.5,-11.26,-10.5
