회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원)
(주)STX,011810,2015/12,-16336000,-34170000,0,0,0,0
(주)STX,011810,2016/12,-105780000,-34169000,0,0,0,0
(주)STX,011810,2017/12,30170000,44053000,0,0,0,0
(주)STX,011810,2018/12,-6902000,-14778000,0,0,0,0
(주)STX,011810,2019/12,-13697000,1748000,0,0,0,0
(주)STX,011810,2020/12,-7439000,-493000,0,0,0,0
(주)TCC스틸,002710,2010/12,19558371,19638898,0,0,-4200513,-5183190
(주)TCC스틸,002710,2011/12,12575854,11421367,0,0,-6827999,-7951114
(주)TCC스틸,002710,2012/12,11675644,5933944,0,0,-8051624,-10434137
(주)TCC스틸,002710,2013/12,8348275,-7745721,0,0,-8368362,-13880721
(주)TCC스틸,002710,2014/12,10868549,344471,0,0,-8236284,-14074341
(주)TCC스틸,002710,2015/12,14570434,15855157,0,0,-7007992,-9702091
(주)TCC스틸,002710,2016/12,13291420,15351135,0,0,-4644872,-4889112
(주)TCC스틸,002710,2017/12,6759804,8106455,0,0,-3682660,-4100769
(주)TCC스틸,002710,2018/12,16306122,17080602,0,0,-3614427,-4098016
(주)TCC스틸,002710,2019/12,12657106,12856170,0,0,-5117539,-5394460
(주)TCC스틸,002710,2020/12,2414062,970928,0,0,-5772959,-6062230
(주)가비아,079940,2010/12,3959527,6692482,418500,446894,0,0
(주)가비아,079940,2011/12,3932156,8180883,361451,379189,0,0
(주)가비아,079940,2012/12,2949228,7619962,471786,493791,-470479,-492484
(주)가비아,079940,2013/12,3035051,7033504,405591,444815,-405878,-445102
(주)가비아,079940,2014/12,3451259,8382688,309276,340937,-311291,-350764
(주)가비아,079940,2015/12,4531993,11349094,159930,175055,-168769,-205639
(주)가비아,079940,2016/12,3981746,12549259,119467,155720,-114981,-149851
(주)가비아,079940,2017/12,3176328,12712157,117130,236636,-117096,-230396
(주)가비아,079940,2018/12,4106091,18188449,158738,288409,-162494,-284494
(주)가비아,079940,2019/12,4889113,23736596,405184,887314,-184301,-288981
(주)가비아,079940,2020/12,7129578,28545232,337146,693513,-184834,-405978
(주)강스템바이오텍,217730,2015/12,-5125200,,947886,,-34109,
(주)강스템바이오텍,217730,2016/12,-9117541,,482568,,-23834,
(주)강스템바이오텍,217730,2017/12,-11132505,-11737865,1403456,1439546,-103633,-138940
(주)강스템바이오텍,217730,2018/12,-10525345,-11693969,881052,949916,-143164,-211822
(주)강스템바이오텍,217730,2019/12,-19411148,-23153708,831730,1076801,-141427,-239799
(주)강스템바이오텍,217730,2020/12,-16744948,-18725365,371667,560710,-109137,-248504
(주)강원랜드,035250,2010/12,564053558,555663764,218165,218165,0,0
(주)강원랜드,035250,2011/12,501039825,488541474,427568,427568,0,0
(주)강원랜드,035250,2012/12,416789419,404867665,647592,647592,0,0
