,순이익증가율,순이익증가률개별,순이익증가률연결
2237,0.0,11111111.11,0.0
2238,-217.07,11111111.11,-217.07
2239,1254789.63,11111111.11,11111111.11
2240,-59.35,-22.86,-68.14
2241,-183.43,-155.73,-183.43
2242,1254789.63,11111111.11,11111111.11
2243,-94.38,-88.18,-94.38
2244,-1241.6,-514.58,-1241.6
2245,1254789.63,11111111.11,11111111.11
2246,1254789.63,11111111.11,11111111.11
2247,1254789.63,11111111.11,11111111.11
2248,1254789.63,11111111.11,11111111.11
2249,1254789.63,11111111.11,11111111.11
2250,-87.68,11111111.11,11111111.11
2251,233.86,37.47,233.86
2252,231.55,60.1,231.55
2253,131.33,171.1,131.33
2254,8.71,23.25,8.71
2255,-24.63,-13.13,-24.63
2256,-86.56,-62.74,-86.56
2257,-38.86,-67.89,-38.86
2258,-5.29,20.3,-5.29
2259,21.49,75.46,510.95
2260,-89.09,-89.09,0.0
2261,-90.47,68.49,-90.47
2262,-492.41,-400.92,-492.41
2263,1254789.63,11111111.11,11111111.11
2264,1254789.63,11111111.11,11111111.11
2265,-2.76,-4.49,-2.95
2266,-111.56,-110.96,-111.62
2267,1254789.63,11111111.11,11111111.11
2268,0.0,11111111.11,0.0
2269,-334.77,-334.77,0.0
2270,0.0,11111111.11,0.0
2271,0.0,11111111.11,0.0
2272,0.0,11111111.11,0.0
2273,0.0,11111111.11,0.0
2274,0.0,11111111.11,0.0
2275,-361.05,11111111.11,-361.05
2276,-16.05,11111111.11,11111111.11
2277,-124.07,-60.11,-124.07
2278,-345.01,-345.01,11111111.11
2279,1254789.63,11111111.11,11111111.11
2280,304.06,304.06,11111111.11
2281,-131.93,-119.37,-134.38
2282,1254789.63,11111111.11,11111111.11
2283,1254789.63,11111111.11,11111111.11
2284,1254789.63,11111111.11,11111111.11
2285,25.84,406.19,11111111.11
2286,29.87,-15.69,28.66
2287,-19.12,-13.35,-20.34
2288,-20.27,23.35,-21.96
2289,53.65,38.94,60.86
2290,52.2,35.07,51.83
2291,-29.38,-45.42,-29.51
2292,-86.49,-44.72,-87.11
2293,361.95,108.52,379.26
2294,12.21,-76.47,-0.41
2295,69.07,69.07,0.0
2296,2.34,2.34,0.0
2297,-27.41,24.83,-27.41
2298,-38.23,-38.23,-38.41
2299,-135.01,-131.1,-135.01
2300,0.09,11111111.11,11111111.11
2301,-61.77,-61.77,0.0
