,회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),0,1
108,(주)강스템바이오텍,217730,Dec-15,24982626,11111111.11,-69.89,-94.44
109,(주)강스템바이오텍,217730,Dec-16,47441769,11111111.11,89.9,
110,(주)강스템바이오텍,217730,Dec-17,44508729,47198979,-6.18,
111,(주)강스템바이오텍,217730,Dec-18,66184838,73194018,48.7,55.08
112,(주)강스템바이오텍,217730,Dec-19,98625925,113643697,49.02,55.26
113,(주)강원랜드,35250,Dec-11,2730283806,2711401782,2668.32,2285.88
114,(주)강원랜드,35250,Dec-12,2915385756,2906655321,6.78,7.2
115,(주)강원랜드,35250,Dec-13,3105430200,3102036846,6.52,6.72
116,(주)강원랜드,35250,Dec-14,3380461682,3375127289,8.86,8.8
117,(주)강원랜드,35250,Dec-15,3688060027,3690791830,9.1,9.35
118,(주)강원랜드,35250,Dec-16,3975979890,3978987574,7.81,7.81
119,(주)강원랜드,35250,Dec-17,4182527382,4185657487,5.19,5.19
120,(주)강원랜드,35250,Dec-18,4229630541,4231241354,1.13,1.09
121,(주)강원랜드,35250,Dec-19,4436461953,4438119306,4.89,4.89
122,(주)강원에너지,114190,Nov-11,53719067,11111111.11,-98.79,-99.75
123,(주)강원에너지,114190,Dec-12,89258208,11111111.11,66.16,
124,(주)강원에너지,114190,Dec-13,72441333,11111111.11,-18.84,
125,(주)강원에너지,114190,Dec-14,67037639,11111111.11,-7.46,
126,(주)강원에너지,114190,Dec-15,80939019,85457457,20.74,
127,(주)강원에너지,114190,Dec-16,70850137,77186606,-12.46,-9.68
128,(주)강원에너지,114190,Dec-17,87781416,93179394,23.9,20.72
129,(주)강원에너지,114190,Dec-18,89619750,93845576,2.09,0.71
130,(주)강원에너지,114190,Dec-19,55106032,56602063,-38.51,-39.69
131,(주)갤럭시아에스엠,11420,Dec-11,40711969,45110356,-26.12,-20.3
132,(주)갤럭시아에스엠,11420,Dec-12,40169876,43979072,-1.33,-2.51
133,(주)갤럭시아에스엠,11420,Dec-13,34158874,37636664,-14.96,-14.42
134,(주)갤럭시아에스엠,11420,Dec-14,40528250,45274078,18.65,20.29
135,(주)갤럭시아에스엠,11420,Dec-15,67196553,68686992,65.8,51.71
136,(주)갤럭시아에스엠,11420,Dec-16,55825556,58444606,-16.92,-14.91
137,(주)갤럭시아에스엠,11420,Dec-17,48958128,49831109,-12.3,-14.74
138,(주)갤럭시아에스엠,11420,Dec-18,33337692,33253331,-31.91,-33.27
139,(주)갤럭시아에스엠,11420,Dec-19,28241598,28241598,-15.29,-15.07
140,(주)경농,2100,Dec-11,176741869,173774102,525.82,515.31
141,(주)경농,2100,Dec-12,203467698,269412832,15.12,55.04
142,(주)경농,2100,Dec-13,214988593,255984725,5.66,-4.98
143,(주)경농,2100,Dec-14,230870852,284623063,7.39,11.19
144,(주)경농,2100,Dec-15,265109291,316341853,14.83,11.14
145,(주)경농,2100,Dec-16,266622289,320915151,0.57,1.45
146,(주)경농,2100,Dec-17,268967010,335873898,0.88,4.66
147,(주)경농,2100,Dec-18,285031873,357260541,5.97,6.37
148,(주)경농,2100,Dec-19,297197088,370874091,4.27,3.81
149,(주)경동나비엔,9450,Dec-11,224373470,263211016,-24.5,-29.03
150,(주)경동나비엔,9450,Dec-12,254627468,299729837,13.48,13.87
151,(주)경동나비엔,9450,Dec-13,301475800,354779867,18.4,18.37
152,(주)경동나비엔,9450,Dec-14,331089242,401658957,9.82,13.21
153,(주)경동나비엔,9450,Dec-15,324848990,402084368,-1.88,0.11
154,(주)경동나비엔,9450,Dec-16,347643876,429754702,7.02,6.88
155,(주)경동나비엔,9450,Dec-17,391400492,503697210,12.59,17.21
156,(주)경동나비엔,9450,Dec-18,440513661,583595818,12.55,15.86
157,(주)경동나비엔,9450,Dec-19,461607017,609808343,4.79,4.49
158,(주)경동도시가스,267290,Dec-17,707917077,710280194,53.36,16.48
