총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결),총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
0.02,1.12,1254789.63,4.82,13.5,5.07,129.66,1.73,1254789.63,6.81,0.02,1.12,1.88,2.44,1254789.63,1.51,1.12,4.82,5.07,1.73,6.81,1.12,2.44,1.51
0.02,1.0,1254789.63,5.29,15.16,4.74,215.87,1.67,1254789.63,6.81,0.02,1.0,2.19,2.33,1254789.63,1.31,1.0,5.29,4.74,1.67,6.81,1.0,2.33,1.31
0.02,0.99,1254789.63,5.76,12.29,4.65,267.07,1.69,275.67,6.28,0.02,0.99,24.0,2.31,1254789.63,1.26,0.99,5.76,4.65,1.69,6.28,0.99,2.31,1.26
0.02,0.93,1254789.63,5.6,12.63,4.67,640.14,1.6,271.0,5.96,0.02,0.93,27.47,2.26,1254789.63,1.19,0.93,5.6,4.67,1.6,5.96,0.93,2.26,1.19
0.03,0.97,1254789.63,5.71,18.9,4.99,352.22,1.74,1254789.63,7.13,0.03,0.97,47.38,2.48,1254789.63,1.24,0.97,5.71,4.99,1.74,7.13,0.97,2.48,1.24
3.98,3.37,18.15,14.81,11.88,14.25,89.13,5.26,17.27,13.95,3.98,3.37,2.07,1.53,1254789.63,3.21,3.37,14.81,14.25,5.26,13.95,3.37,1.53,3.21
3.6,3.6,22.91,25.52,9.79,10.85,57.82,6.61,17.33,17.76,3.6,3.6,1.94,1.79,1254789.63,4.23,3.6,25.52,10.85,6.61,17.76,3.6,1.79,4.23
6.3,4.91,23.22,22.71,5.64,5.42,28.77,3.89,11.54,9.16,6.3,4.91,1.02,0.91,1254789.63,2.15,4.91,22.71,5.42,3.89,9.16,4.91,0.91,2.15
-5.53,-7.86,12.57,10.03,5.11,5.94,21.65,10.1,13.19,9.99,-5.53,-7.86,0.98,1.08,1254789.63,1.94,-7.86,10.03,5.94,10.1,9.99,-7.86,1.08,1.94
21.42,19.65,9.26,6.05,6.29,7.62,24.58,15.55,15.9,11.01,21.42,19.65,1.36,1.38,1254789.63,1.82,19.65,6.05,7.62,15.55,11.01,19.65,1.38,1.82
-11.42,-13.32,10.55,6.03,7.02,9.88,34.68,19.61,11.53,13.14,-11.42,-13.32,1.51,1.54,1254789.63,2.48,-13.32,6.03,9.88,19.61,13.14,-13.32,1.54,2.48
-11.23,-12.53,12.68,8.43,8.54,11.97,52.81,24.97,11.59,17.15,-11.23,-12.53,2.23,2.22,1254789.63,3.75,-12.53,8.43,11.97,24.97,17.15,-12.53,2.22,3.75
24.88,28.2,13.71,9.54,9.75,9.44,45.78,20.73,15.48,15.56,24.88,28.2,3.09,2.8,1254789.63,3.34,28.2,9.54,9.44,20.73,15.56,28.2,2.8,3.34
