회사명,거래소코드,회계년도,유형자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),건설중인자산(IFRS연결)(천원),건설중인자산(IFRS)(천원),합계_기말인원(명),기계장치(IFRS연결)(천원),기계장치(IFRS)(천원),자산(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),부가가치(IFRS연결)(백만원),부가가치(IFRS)(백만원),매출액(수익)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),부가가치(IFRS연결)(천원),부가가치(IFRS)(천원)
(주)강원에너지,114190,Nov-11,,3912294,,0,94,,2654796,,53719067,,12844.61,,50222892,0,12844610
(주)강원에너지,114190,Dec-12,,4416402,,203000,101,,2928596,,89258208,,18760.61,,106471214,0,18760610
(주)강원에너지,114190,Dec-13,,4787448,,585000,112,,2938096,,72441333,,12256.79,,50660659,0,12256790
(주)강원에너지,114190,Dec-14,,10004091,,261301,147,,3214210,,67037639,,8510.74,,51481321,0,8510740
(주)강원에너지,114190,Dec-15,12847843,9712091,2774080,6048,133,3189863,3189863,85457457,80939019,7820.6,9171.31,46188664,48852892,7820600,9171310
(주)강원에너지,114190,Dec-16,14792058,9490734,4973974,47700,126,2753100,2753100,77186606,70850137,8145.29,8913.55,42287473,44448760,8145290,8913550
(주)강원에너지,114190,Dec-17,15392067,9242859,6052413,47700,137,2785907,2785907,93179394,87781416,687.17,713.82,82034829,83113029,687170,713820
(주)강원에너지,114190,Dec-18,14771745,8853092,6052413,47700,119,2775452,2775452,93845576,89619750,11600.03,11569.08,85905365,85905365,11600030,11569080
(주)강원에너지,114190,Dec-19,10387938,9089689,7635782,628097,107,4148008,4148008,56602063,55106032,-24497.97,-22522.15,42549622,42549622,-24497970,-22522150
(주)갤럭시아에스엠,11420,Dec-11,746008,263856,0,0,37,327870,0,45110356,40711969,16289.29,14937.6,47331427,31931418,16289290,14937600
(주)갤럭시아에스엠,11420,Dec-12,3386965,244196,0,0,40,2968018,0,43979072,40169876,11304.39,9721.11,55049732,37398255,11304390,9721110
(주)갤럭시아에스엠,11420,Dec-13,3092608,258052,0,0,50,2688615,0,37636664,34158874,4540.45,3928.36,46437304,30903637,4540450,3928360
(주)갤럭시아에스엠,11420,Dec-14,3055021,170073,0,0,63,3945186,0,45274078,40528250,5477.95,3400.02,43885894,33027933,5477950,3400020
(주)갤럭시아에스엠,11420,Dec-15,2905233,428742,0,0,93,3968308,0,68686992,67196553,10705.78,10216.63,62472754,53784932,10705780,10216630
(주)갤럭시아에스엠,11420,Dec-16,2588337,468225,0,0,107,4037582,0,58444606,55825556,5657.39,5013.27,52626331,45665676,5657390,5013270
(주)갤럭시아에스엠,11420,Dec-17,364072,348574,0,0,126,0,0,49831109,48958128,-161.81,-275.92,37281280,36917656,-161810,-275920
(주)갤럭시아에스엠,11420,Dec-18,251603,251603,0,0,111,0,0,33253331,33337692,-9771.55,-9601.87,22060413,22030258,-9771550,-9601870
(주)갤럭시아에스엠,11420,Dec-19,511985,511985,0,0,121,0,0,28241598,28241598,3529.68,3287.96,28732679,28732679,3529680,3287960
(주)경농,2100,Dec-11,49541176,47135730,0,0,308,39295580,38907853,173774102,176741869,26483.85,28809.42,121253605,120728258,26483850,28809420
(주)경농,2100,Dec-12,93105654,51459712,383245,83245,306,54120673,39704718,269412832,203467698,39063.56,32641.59,136970449,131021366,39063560,32641590
(주)경농,2100,Dec-13,101211463,55088070,8137067,6326560,311,54986116,39938460,255984725,214988593,53114.35,42493.74,196358952,139237273,53114350,42493740
(주)경농,2100,Dec-14,118629306,60743502,9686293,5476824,340,55656543,40262627,284623063,230870852,47327.34,38526.79,188483147,134806677,47327340,38526790
(주)경농,2100,Dec-15,122071383,60862714,3166422,2761189,346,3595133,40970395,316341853,265109291,46908.64,36680.28,196418710,137609256,46908640,36680280
(주)경농,2100,Dec-16,133213483,60986166,11266818,1112074,335,55250644,42294345,320915151,266622289,48243.41,37693.81,203984939,143209666,48243410,37693810
(주)경농,2100,Dec-17,140283689,61075339,4576770,3321824,338,65016527,43129019,335873898,268967010,55717.38,45275,206534382,143175105,55717380,45275000
(주)경농,2100,Dec-18,142669413,67819776,213523,0,350,61973976,44384320,357260541,285031873,57945.41,47204.81,212654617,146216658,57945410,47204810
(주)경농,2100,Dec-19,139475078,64128521,461623,458026,362,62738813,44837195,370874091,297197088,55965.47,43823.04,227510941,151342037,55965470,43823040
(주)경동나비엔,9450,Dec-11,103309756,71463183,8018545,7244177,699,30161622,16809973,263211016,224373470,60669.23,50196.09,341246917,318269213,60669230,50196090
(주)경동나비엔,9450,Dec-12,120050563,86003940,18288529,18174812,784,30992578,17558925,299729837,254627468,68423.43,54692.56,379014259,341339118,68423430,54692560
(주)경동나비엔,9450,Dec-13,184422743,148703601,72091473,70075011,722,32023532,17733468,354779867,301475800,79237.85,55874.59,414177562,371601179,79237850,55874590
(주)경동나비엔,9450,Dec-14,190970831,133081097,7605975,2466353,763,50026310,30248630,401658957,331089242,80978.36,56282.59,428985365,382392117,80978360,56282590
(주)경동나비엔,9450,Dec-15,195089500,134166342,4694373,36250,797,56774759,36469813,402084368,324848990,107704.21,76567.87,512031120,448302084,107704210,76567870
(주)경동나비엔,9450,Dec-16,203718091,138398427,8583811,1584336,911,66681622,40598014,429754702,347643876,141866.08,91445.07,583252904,506082201,141866080,91445070
(주)경동나비엔,9450,Dec-17,221945791,143721378,15007431,1229289,975,71352733,41689066,503697210,391400492,148016.16,88344.03,684660958,569819524,148016160,88344030
(주)경동나비엔,9450,Dec-18,248979361,157575992,26585282,2659580,1073,83467059,47188057,583595818,440513661,164621.76,103466.23,726741615,618058456,164621760,103466230
(주)경동나비엔,9450,Dec-19,278770581,165763623,9108279,5426129,1167,99773692,48914617,609808343,461607017,195347,119653.32,774290704,655419303,195347000,119653320
(주)경동도시가스,267290,Dec-17,316816604,316263778,4158117,4158117,270,0,0,710280194,707917077,,,871548284,870828897,0,0
(주)경동도시가스,267290,Dec-18,320713747,320275132,3393277,3393277,277,0,0,778269612,775880913,105468.98,97564.13,1606531867,1605687067,105468980,97564130
(주)경동도시가스,267290,Dec-19,325975219,325567581,8157820,8157820,278,0,0,749999474,747453908,95819.67,86578.45,1422707835,1421866212,95819670,86578450
(주)경동인베스트,12320,Dec-11,302120078,265516704,1877929,1877929,277,0,0,1001490869,941176098,92451.05,95768.55,1847666903,1806174764,92451050,95768550
