회사명,거래소코드,회계년도,유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),유동부채(*)(IFRS)(천원),유동부채(*)(IFRS연결)(천원),재고자산(*)(IFRS)(천원),재고자산(*)(IFRS연결)(천원),현금및현금성자산(*)(IFRS)(천원),현금및현금성자산(*)(IFRS연결)(천원),부채(*)(IFRS)(천원),부채(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),매출채권(IFRS)(천원),매출채권(IFRS연결)(천원),(대손충당금)(IFRS)(천원),(대손충당금)(IFRS연결)(천원),매입채무 및 기타유동채무(*)(IFRS)(천원),매입채무 및 기타유동채무(*)(IFRS연결)(천원),장기차입금(*)(IFRS)(천원),장기차입금(*)(IFRS연결)(천원),단기차입금(*)(IFRS)(천원),단기차입금(*)(IFRS연결)(천원),회사채(IFRS)(천원),회사채(IFRS연결)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)SH에너지화학,2360,11-Dec,47641848,50355479,32842749,34076575,11114123,11114123,3590134,5237442,37884515,39468414,64498684,65242326,102383199,104710740,28469011,29083550,12580,110807,3638874,4872700,181920,181920,28921046,28921046,0,0,6995359,5825197,172752632,173209351
(주)SH에너지화학,2360,12-Dec,48762275,50509179,28724217,29499813,14210523,14210523,460450,2188211,37604198,38808867,64888612,64881202,102492810,103690070,29170923,30307562,2198836,2297062,4011178,4786774,4000000,4000000,24066914,24066914,0,0,363577,-855725,191907628,193950102
(주)SH에너지화학,2360,13-Dec,57773554,59051785,34930123,35131167,11944305,11944305,4805311,5531807,40202877,40889810,69781889,69599141,109984767,110488951,33105701,33797271,2341203,2439429,6363469,6528298,500000,500000,26982012,26982012,0,0,7500585,5949724,229783541,231912218
(주)SH에너지화학,2360,14-Dec,55486941,60325646,20421353,20681148,13898172,13898172,6708820,7793768,25693965,26504210,83404299,84237197,109098264,110741407,32478430,33429222,2563413,2643413,5088648,5348444,0,0,9568698,9568698,0,0,24219262,24749424,226971465,230912587
(주)SH에너지화학,2360,15-Dec,63737267,68213722,16794017,17080931,11416122,11899473,18503610,19647658,23308070,23874505,90740136,91646221,114048206,115520726,31405845,32536497,2327746,2407747,4367729,4574055,0,0,6823233,6881833,0,0,24557427,24630676,213882181,216441364
(주)SH에너지화학,2360,16-Dec,79584275,84222915,12205868,12512423,10801243,11572141,24614094,26449147,19873862,20399837,103083032,104088887,122956894,124488724,44371296,44363775,2271667,2351668,4549203,4771893,0,0,3500000,3560425,0,0,11581159,11685757,214380015,218397677
(주)SH에너지화학,2360,17-Dec,79139030,87597479,8386725,8284440,18561488,19985599,30420519,33117530,17543581,17618682,105717970,107693472,123261552,125312154,29569635,32135522,2250650,2330650,3546004,3857258,0,0,3500000,3553570,0,0,16292838,14208400,184672638,188114822
(주)SH에너지화학,2360,18-Dec,77591484,85758694,6653981,6658546,20857092,22253999,26369412,29395933,16830322,17043794,104065473,105390892,120895795,122434685,26954657,28065346,1419641,1419641,2834564,3142096,0,0,3500000,3500000,0,0,4284684,5202762,180753289,183598766
(주)SH에너지화학,2360,19-Dec,74793897,83558867,7038413,7524603,15888341,16753438,37495593,40801867,23740037,24415856,97386214,98999976,121126250,123415832,18332571,19343406,83925,83925,3208429,3694619,4800000,4800000,3500000,3500000,0,0,14508726,16081690,138161816,140852575
(주)SIMPAC,9160,11-Dec,151220422,152885455,116922857,116979241,26353233,26468261,62612712,63806746,141119807,141938059,155833324,168941269,296953131,310879328,61101857,61396431,575948,575948,43777751,43770923,10000000,10000000,33556016,33556016,0,0,18174973,18427061,213867522,215365697
