회사명,거래소코드,회계년도,자산(*)(IFRS)(천원),자산(*)(IFRS연결)(천원),유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),유동자산(*)(IFRS)(천원),유동자산(*)(IFRS연결)(천원),자본(*)(IFRS)(천원),자본(*)(IFRS연결)(천원),재고자산(*)(IFRS),재고자산(*)(IFRS연결)
(주)TCC스틸,2710,Dec-20,261204640,306758932,46385696,61181028,110332975,136857884,98249953,121130879,50116261,54240200
(주)가비아,79940,Dec-10,34383172,52912228,5447766,19870745,9998798,23312665,21535028,37225655,0,31377
(주)가비아,79940,Dec-11,37295822,64954440,7163470,22149161,9245779,28837190,24298687,48665742,14450,14450
(주)가비아,79940,Dec-12,51795749,85244515,23749485,37833915,9613034,31997486,31165211,58945247,92459,248459
(주)가비아,79940,Dec-13,52151784,91231294,22732962,37047584,10360239,37411881,34822978,68600227,81039,93612
(주)가비아,79940,Dec-14,55984243,98544072,22313113,37099200,14916105,41920706,38147677,75509702,0,0
(주)가비아,79940,Dec-15,57657418,105081568,22210592,36916970,17436488,52239105,42470259,84096148,0,0
(주)가비아,79940,Dec-16,61160981,125796754,22429866,43221838,12237594,60241586,45413712,95951841,0,1363738
(주)가비아,79940,Dec-17,64986436,133382584,22362004,45452326,15116578,66113388,47662984,99896520,0,1675464
(주)가비아,79940,Dec-18,69315988,151440505,24425180,49107084,18388749,78058272,49832912,114187490,0,1982294
(주)가비아,79940,Dec-19,82964911,199916131,39724951,85359914,13602872,86880807,54084066,134959139,0,2643604
(주)가비아,79940,Dec-20,98083331,260025259,46400885,105175837,20369123,123738031,58359903,173203629,0,3060285
(주)강스템바이오텍,217730,Dec-15,24982626,,2980005,,18896590,,21237036,,334913,
(주)강스템바이오텍,217730,Dec-16,47441769,,4039297,,37966496,,22976911,,582808,
(주)강스템바이오텍,217730,Dec-17,44508729,47198979,12480829,13229478,24316617,25246012,24668128,24482163,1725225,1725225
(주)강스템바이오텍,217730,Dec-18,66184838,73194018,14220013,15140205,44071609,48992790,47944961,47581374,501972,1918575
