회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS),매출액(수익)(*)(IFRS연결),매출원가(*)(IFRS),매출원가(*)(IFRS연결),당기순이익(손실)(IFRS),당기순이익(손실)(IFRS연결),자본(*)(IFRS),자본(*)(IFRS연결),자산(*)(IFRS),자산(*)(IFRS연결),영업이익개별,영업이익연결
(주)ES큐브,50120,Dec-14,37188072,44459581,30573957,34936541,-2412385,-615409,41226335,49628091,44914173,56611836,325908,171090
(주)ES큐브,50120,Dec-15,36887119,42152967,30735643,30433006,3610344,-2307159,44872641,49654460,47123684,55620280,2370569,-4060427
(주)ES큐브,50120,Dec-16,34818205,34289385,28468888,24454448,17469014,21541047,69832373,71696122,104459992,105164626,2359528,2161042
(주)ES큐브,50120,Dec-17,37104908,35745794,30497256,26057940,1218923,1737925,71398467,72816880,104850192,105892131,2170102,2248519
(주)ES큐브,50120,Dec-18,31308873,33763508,25693835,26036057,-3836071,-6121462,66518631,70748607,108481764,112430896,691469,-1211129
(주)ES큐브,50120,Dec-19,28527284,43708239,22708418,35510791,-12738710,-13767748,53986331,74038512,136065488,463958680,587699,-2617071
(주)ES큐브,50120,Dec-20,30293088,80672425,24196912,56530374,-29081429,-25292140,72949614,69497819,81995388,714889745,1452731,10315988
(주)HJ중공업,97230,Dec-10,2734440000,3167774000,2436522000,2841789000,-39395000,-72295000,2001312000,1955791000,6323071000,7525363000,101888000,119726000
(주)HJ중공업,97230,Dec-11,2316017000,2891499000,2156842000,2664558000,-116272000,-96920000,1874877000,1866848000,5857119000,7036680000,59453000,107974000
(주)HJ중공업,97230,Dec-12,1980761000,2549319000,1833445000,2358260000,13082000,-53214000,1863529000,1715516000,5938108000,6585093000,28591000,52914000
(주)HJ중공업,97230,Dec-13,1927307000,2529341000,1900927000,2464368000,-212716000,-190193000,1804609000,1638998000,5839633000,6683379000,-109107000,-69574000
(주)HJ중공업,97230,Dec-14,1799016000,2520325000,1798250000,2537259000,-225739000,-299811000,1761886000,1573076000,5469810000,6470284000,-106249000,-144988000
(주)HJ중공업,97230,Dec-15,2041347000,3115473000,1972358000,3004437000,-260118000,-260925000,1377529000,1368589000,4638381000,5914637000,-97810000,-79370000
(주)HJ중공업,97230,Dec-16,1928591000,2813271000,1776465000,2753545000,-334429000,-334446000,904150000,895183000,3921561000,5256464000,49319000,-79319000
(주)HJ중공업,97230,Dec-17,1737428000,2452314000,1545012000,2431066000,-299028000,-277978000,563410000,577198000,3312303000,4206655000,86683000,-116693000
(주)HJ중공업,97230,Dec-18,1750954000,1697869000,1551132000,1557089000,-963474000,-1283647000,-398930000,-708186000,2388369000,2733620000,-66005000,61676000
(주)HJ중공업,97230,Dec-19,1609530000,1628751000,1439132000,1451267000,-73654000,306169000,247272000,244994000,2465650000,2470222000,77055000,83839000
(주)HJ중공업,97230,Dec-20,1694634000,1695815000,1564813000,1565344000,76553000,78346000,320418000,320003000,2189125000,2193855000,51087000,51629000
(주)MH에탄올,23150,Dec-10,43304589,55048463,31860037,46932516,4582073,-1792566,52983762,46625147,127603795,134869380,9209232,3448727
(주)MH에탄올,23150,Dec-11,43206995,44785159,32715976,37258514,3351943,-4357312,56161251,42667338,135927085,134206851,6908187,603259
(주)MH에탄올,23150,Dec-12,45488675,59768175,35478357,49030452,2571700,287369,58712944,39678259,139200817,134385813,6518757,5451733
(주)MH에탄올,23150,Dec-13,46298516,62199887,33247791,54316861,-11627211,7028234,47119925,45885523,122520742,129697936,9650241,3009742
(주)MH에탄올,23150,Dec-14,48983781,48983781,37109977,37109977,4618332,-203193,52507884,52788681,85253876,85534839,8746818,8744851
(주)MH에탄올,23150,Dec-15,50386203,50386203,36425005,36425005,7744832,7778593,57569789,57884347,78691328,78996052,11094172,11092013
(주)MH에탄올,23150,Dec-16,48897025,48897025,33962392,33962392,8134873,8144684,63257513,63581883,72025138,72339673,11876871,11874475
(주)MH에탄올,23150,Dec-17,48270464,51977132,34577247,37225576,5903108,4308068,64698932,106837344,107437079,500180086,10452914,8116710
(주)MH에탄올,23150,Dec-18,46943080,72795863,34331318,53524709,6553371,-12033428,68471529,91585473,109656889,440177523,9028515,1228204
(주)MH에탄올,23150,Dec-19,46992295,80879342,35415661,54219181,-5004935,-7552043,59477642,79389077,101058662,451474451,7828586,7829103
(주)MH에탄올,23150,Dec-20,51277355,94645239,38908939,59823958,1156387,3802823,57609425,80425495,97515830,449679366,8238754,15781923
(주)SH에너지화학,2360,Dec-10,150353519,150630768,137805193,137805193,-6557499,-6500918,61538912,61526743,94473095,95617808,-7397587,-6800536
(주)SH에너지화학,2360,Dec-11,172752632,173209351,160574493,160789710,3164441,1800972,64498684,65242326,102383199,104710740,4987642,4165988
(주)SH에너지화학,2360,Dec-12,191907628,193950102,178516652,178829327,1079738,210854,64888612,64881202,102492810,103690070,2874584,2183184
