회사명,거래소코드,회계년도,당좌자산회전률(IFRS),당좌자산회전률(IFRS연결),순운전자본회전률(IFRS),순운전자본회전률(IFRS연결),당좌자산회전률,순운전자본회전률
(주)경동인베스트,12320,2015/12,2.48,2.45,1.47,1.41,2.45,1.41
(주)경동인베스트,12320,2016/12,2.4,2.23,1.45,1.3,2.23,1.3
(주)경동인베스트,12320,2017/12,0.0,0.54,0.0,0.34,0.54,0.34
(주)경동인베스트,12320,2018/12,0.1,1.2,0.1,0.78,1.2,0.78
(주)경동인베스트,12320,2019/12,0.19,1.5,0.18,0.92,1.5,0.92
(주)경방,50,2011/12,4.91,5.04,0.76,0.84,5.04,0.84
(주)경방,50,2012/12,5.12,4.89,0.75,0.8,4.89,0.8
(주)경방,50,2013/12,5.56,5.18,1.35,1.32,5.18,1.32
(주)경방,50,2014/12,5.53,5.2,0.8,0.88,5.2,0.88
(주)경방,50,2015/12,6.46,6.03,0.88,0.89,6.03,0.89
(주)경방,50,2016/12,6.75,6.54,1.46,1.36,6.54,1.36
(주)경방,50,2017/12,6.01,6.09,1.1,1.08,6.09,1.08
(주)경방,50,2018/12,5.49,5.89,1.09,1.01,5.89,1.01
(주)경방,50,2019/12,1.93,2.34,0.9,0.93,2.34,0.93
(주)경보제약,214390,2015/12,3.24,,1.01,,3.24,1.01
(주)경보제약,214390,2016/12,3.39,,1.08,,3.39,1.08
(주)경보제약,214390,2017/12,3.27,,1.11,,3.27,1.11
(주)경보제약,214390,2018/12,2.92,,1.09,,2.92,1.09
(주)경보제약,214390,2019/12,2.79,,0.94,,2.79,0.94
(주)경인양행,12610,2011/12,2.57,3.11,0.76,0.85,3.11,0.85
(주)경인양행,12610,2012/12,2.73,2.98,0.86,0.85,2.98,0.85
(주)경인양행,12610,2013/12,3.09,3.24,0.97,0.99,3.24,0.99
(주)경인양행,12610,2014/12,3.39,3.46,0.99,1.04,3.46,1.04
(주)경인양행,12610,2015/12,3.48,3.37,0.96,0.98,3.37,0.98
(주)경인양행,12610,2016/12,3.23,3.17,0.86,0.92,3.17,0.92
(주)경인양행,12610,2017/12,3.2,3.19,0.88,0.95,3.19,0.95
(주)경인양행,12610,2018/12,3.18,3.2,0.87,0.93,3.2,0.93
(주)경인양행,12610,2019/12,3.26,3.24,0.79,0.86,3.24,0.86
(주)고려시멘트,198440,2014/12,,,,,,
(주)고려시멘트,198440,2015/12,,,,,,
(주)고려시멘트,198440,2016/12,,,,,,
(주)고려시멘트,198440,2017/12,2.49,,1.42,,2.49,1.42
(주)고려시멘트,198440,2018/12,2.12,,1.21,,2.12,1.21
(주)고려시멘트,198440,2019/12,1.66,,0.92,,1.66,0.92
(주)고영테크놀러지,98460,2011/12,1.82,1.9,1.18,1.21,1.9,1.21
(주)고영테크놀러지,98460,2012/12,1.85,1.98,1.21,1.26,1.98,1.26
(주)고영테크놀러지,98460,2013/12,1.53,1.67,1.04,1.09,1.67,1.09
(주)고영테크놀러지,98460,2014/12,1.6,1.74,1.15,1.18,1.74,1.18
(주)고영테크놀러지,98460,2015/12,1.34,1.51,1.02,1.07,1.51,1.07
(주)고영테크놀러지,98460,2016/12,1.2,1.44,0.94,1.06,1.44,1.06
(주)고영테크놀러지,98460,2017/12,1.3,1.48,1.02,1.08,1.48,1.08
(주)고영테크놀러지,98460,2018/12,1.23,1.42,0.96,1.03,1.42,1.03
(주)고영테크놀러지,98460,2019/12,1.0,1.15,0.78,0.83,1.15,0.83
(주)골드앤에스,35290,2011/12,2.78,2.7,1.22,1.18,2.7,1.18
