회사명,거래소코드,회계년도,매출액(수익)(*)(IFRS)(천원),매출액(수익)(*)(IFRS연결)(천원)
(주)골드앤에스,35290,Dec-18,8680452,8680452
(주)골드앤에스,35290,Dec-19,7642733,7642733
(주)골드퍼시픽,38530,Dec-11,11236925,
(주)골드퍼시픽,38530,Dec-12,10491048,
(주)골드퍼시픽,38530,Dec-13,6488691,7167832
(주)골드퍼시픽,38530,Dec-14,4855121,16486257
(주)골드퍼시픽,38530,Dec-15,6121489,18635305
(주)골드퍼시픽,38530,Dec-16,9588100,
(주)골드퍼시픽,38530,Dec-17,5031439,
(주)골드퍼시픽,38530,Dec-18,5580994,5708281
(주)골드퍼시픽,38530,Dec-19,11323125,
(주)골프존,215000,Dec-15,184085342,201560389
(주)골프존,215000,Dec-16,196864993,216964342
(주)골프존,215000,Dec-17,171859065,200105321
(주)골프존,215000,Dec-18,191571105,198705194
(주)골프존,215000,Dec-19,239051647,247018099
(주)골프존뉴딘홀딩스,121440,Dec-11,209788389,215793737
(주)골프존뉴딘홀딩스,121440,Dec-12,276341690,289629366
(주)골프존뉴딘홀딩스,121440,Dec-13,340005073,365126358
(주)골프존뉴딘홀딩스,121440,Dec-14,387066126,429589619
(주)골프존뉴딘홀딩스,121440,Dec-15,29389093,164536448
(주)골프존뉴딘홀딩스,121440,Dec-16,27652102,243275475
(주)골프존뉴딘홀딩스,121440,Dec-17,23499543,213756902
(주)골프존뉴딘홀딩스,121440,Dec-18,16100354,223036801
(주)골프존뉴딘홀딩스,121440,Dec-19,26897482,228935651
(주)광림,14200,Dec-11,106495363,
(주)광림,14200,Dec-12,85322569,
(주)광림,14200,Dec-13,103442134,
(주)광림,14200,Dec-14,92553612,231446314
(주)광림,14200,Dec-15,237222890,
(주)광림,14200,Dec-16,87302967,87302967
(주)광림,14200,Dec-17,99421336,135191558
(주)광림,14200,Dec-18,75493055,136595300
(주)광림,14200,Dec-19,93241157,145864184
(주)광명전기,17040,Dec-11,57967857,92382628
(주)광명전기,17040,Dec-12,79318302,117216514
(주)광명전기,17040,Dec-13,90344376,117852824
(주)광명전기,17040,Dec-14,115801471,134778387
(주)광명전기,17040,Dec-15,93000177,116316957
(주)광명전기,17040,Dec-16,96931493,96942911
(주)광명전기,17040,Dec-17,105083042,101561159
(주)광명전기,17040,Dec-18,96949804,114110654
(주)광명전기,17040,Dec-19,125009206,131864294
(주)광무,29480,Dec-11,50359203,51755052
(주)광무,29480,Dec-12,40406860,41178683
(주)광무,29480,Dec-13,10105219,20534276
(주)광무,29480,Dec-14,38409667,
(주)광무,29480,Dec-15,17648493,
(주)광무,29480,Dec-16,26429957,
(주)광무,29480,Dec-17,21540953,
(주)광무,29480,Dec-18,20707286,23074941
(주)광무,29480,Dec-19,25244176,36483979
(주)광주신세계,37710,Dec-11,219613514,
(주)광주신세계,37710,Dec-12,213803173,
(주)광주신세계,37710,Dec-13,206606675,
(주)광주신세계,37710,Dec-14,204820461,
(주)광주신세계,37710,Dec-15,205331892,
(주)광주신세계,37710,Dec-16,210423594,
(주)광주신세계,37710,Dec-17,209647360,
(주)광주신세계,37710,Dec-18,135213362,
(주)광주신세계,37710,Dec-19,154879496,
(주)구영테크,53270,Dec-11,62527619,147832315
(주)구영테크,53270,Dec-12,65451015,155788988
(주)구영테크,53270,Dec-13,76282590,172747316
(주)구영테크,53270,Dec-14,77799749,170528694
(주)구영테크,53270,Dec-15,87109177,172083049
(주)구영테크,53270,Dec-16,75320433,148301597
(주)구영테크,53270,Dec-17,74298129,149833357
(주)구영테크,53270,Dec-18,81928926,195238339
(주)구영테크,53270,Dec-19,93132845,230853336
(주)국동,5320,Dec-11,100097439,154293577
(주)국동,5320,Dec-12,91524436,138172746
(주)국동,5320,Dec-13,95716049,147860227
(주)국동,5320,Dec-14,117861978,186086561
(주)국동,5320,Dec-15,102431161,170296068
(주)국동,5320,Dec-16,127275873,197368723
(주)국동,5320,Dec-17,130016453,191602989
(주)국동,5320,Dec-18,136811631,219550054
(주)국동,5320,Dec-19,116180044,223077183
(주)국보,1140,Dec-11,118304924,130636214
(주)국보,1140,Dec-12,109183947,122343037
(주)국보,1140,Dec-13,108994114,117073443
(주)국보,1140,Dec-14,89859741,97520169
(주)국보,1140,Dec-15,85267457,91618545
(주)국보,1140,Dec-16,77773715,87333326
(주)국보,1140,Dec-17,74662255,78255522
(주)국보,1140,Dec-18,66929948,71549828
(주)국보,1140,Dec-19,58296078,89087334
(주)국보디자인,66620,Dec-11,123203000,130689686
(주)국보디자인,66620,Dec-12,118458574,119402993
(주)국보디자인,66620,Dec-13,153216189,163518536
(주)국보디자인,66620,Dec-14,158268803,176373907
(주)국보디자인,66620,Dec-15,157657615,192608497
(주)국보디자인,66620,Dec-16,191620729,201410031
(주)국보디자인,66620,Dec-17,262522024,270658405
(주)국보디자인,66620,Dec-18,231093439,254259835
(주)국보디자인,66620,Dec-19,237054909,269005976
(주)국순당,43650,Dec-11,124279594,127686247
(주)국순당,43650,Dec-12,115146725,118697826
(주)국순당,43650,Dec-13,96140591,99173525
