,자기자본증가율,0,1
406,11.63,11.63,11111111.11
407,15.64,15.64,11111111.11
408,0.77,0.77,11111111.11
409,19.09,19.09,11111111.11
410,22.12,9.0,590.1
411,1254789.63,11111111.11,11111111.11
412,1254789.63,11111111.11,11111111.11
413,-29.72,-15.01,-19.55
414,46.24,36.75,30.84
415,30.88,20.17,32.43
416,8.05,7.89,4.3
417,828.34,-70.52,-77.19
418,124.52,11111111.11,11111111.11
419,-2.75,-2.55,-2.75
420,2.24,2.18,2.24
421,6.42,6.29,6.42
422,19.99,20.07,19.99
423,5.01,5.02,5.01
424,6.86,6.86,6.86
425,7.17,7.03,7.17
426,5.55,5.6,5.55
427,-69.35,-68.85,-69.35
428,-20.08,-21.32,-20.08
429,2.62,9.19,2.62
430,50.57,53.13,50.57
431,8.19,27.59,8.19
432,-33.41,-43.57,-33.41
433,-7.22,-3.19,-7.22
434,48.12,44.53,48.12
435,16.71,16.52,16.71
436,211.19,32.31,46.92
437,18.82,19.4,18.97
438,-57.1,-60.56,-57.34
439,17.3,37.02,15.8
440,22.84,28.91,24.97
441,28.83,13.19,-74.9
442,11.34,11.34,11111111.11
443,11.13,11.13,11111111.11
444,41.27,41.27,11111111.11
445,21.88,17.93,22.36
446,10.46,7.83,11.1
447,7.14,6.12,7.88
448,463.79,-92.23,-92.74
449,-14.03,-14.03,11111111.11
450,-34.26,-34.26,11111111.11
451,-12.77,-12.77,11111111.11
452,113.0,113.0,11111111.11
453,-9.03,-9.03,11111111.11
454,25.61,25.61,11111111.11
455,-14.45,-14.45,11111111.11
456,159.12,159.12,11111111.11
457,79.4,-32.7,0.0
458,11.27,11.27,11111111.11
459,11.21,11.21,11111111.11
460,11.32,11.32,11111111.11
461,12.47,12.47,11111111.11
462,17.64,12.81,12.84
463,14.25,10.49,14.25
464,17.29,15.0,17.29
465,20.62,14.36,32.94
466,6.55,450.33,436.36
467,27.22,22.71,22.46
468,11.24,1.21,44.63
469,5.26,1.44,16.87
470,5.25,-4.24,4.24
471,8.56,4.53,11.2
472,9.27,0.16,13.54
473,15.49,3.3,18.46
474,6.42,-0.48,17.65
475,-99.09,-96.68,-99.09
476,1254789.63,11111111.11,11111111.11
477,1254789.63,11111111.11,11111111.11
478,72.14,293.37,568.1
479,40.33,40.33,-85.03
480,15.48,15.48,11111111.11
481,23.49,23.49,11111111.11
482,17.84,17.84,11111111.11
483,18.92,18.92,11111111.11
484,20.59,20.59,11111111.11
485,14.25,14.25,11111111.11
486,6.15,4.43,6.15
487,-6.45,-54.38,-51.75
