회사명,거래소코드,회계년도,유동자산회전율,총자본투자효율,재고자산_대_유동자산비율,당좌자산구성비율,차입금의존도,총자본영업이익율,자기자본순이익율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부,회생기업2
지씨셀,144510,2018-12,-0.571395649690408,-0.6606135277677939,-1.271194184590768,1.3558488865078488,-0.9880449779644798,-0.0983338303437957,0.1307227063261313,0,1,0,0,0,0,0
지씨셀,144510,2019-12,0.0660447238986707,1.2207387860070091,-1.0948739945796255,-0.3308225434154054,-0.9880449779644798,-0.8733535903355492,0.1459011118750137,0,1,0,0,0,0,0
지어소프트,51160,2011-12,-0.2733715789214879,0.1561241190743338,-1.3832371146981828,1.888780363525616,-0.8340648798485987,-2.4356517708461665,-0.4539621240881073,0,0,0,0,0,0,0
지어소프트,51160,2012-12,-0.2650931325112403,1.6422439492024572,-1.2004302287334532,1.6410239215503353,-0.7873858737268551,-1.2356651125812548,0.1098523986964181,0,1,0,0,0,0,0
지어소프트,51160,2013-12,0.1322722951806531,0.7215578745804222,-1.2576310930514494,0.3489485639721513,-0.7128207081038104,-2.4356517708461665,-0.227867124766214,0,0,0,0,0,0,0
지어소프트,51160,2014-12,0.4799670444110597,1.2498671915936868,-1.0541847199616696,0.5683575869571261,-0.4897314320933998,-0.4156969306567633,-0.0649100763039077,0,0,0,0,0,0,0
지어소프트,51160,2015-12,0.5296377228725465,1.5537164420272616,-0.4261546117280019,0.6335566506348317,-0.4697261437555097,-0.385731316034938,-0.0753452301187643,0,0,0,0,0,1,0
지어소프트,51160,2016-12,2.135656326460616,0.9157472451582708,-0.5659134245461985,1.2282855010514684,-0.643711530209281,-0.833853461970416,-0.6289354102766122,0,0,0,1,0,0,0
지어소프트,51160,2017-12,2.3177821474860667,1.6422439492024572,-0.3424172639635131,0.7492141201152833,-0.5400477633674869,0.3416158752402752,-0.0870452510626944,0,0,0,0,0,0,0
지어소프트,51160,2018-12,2.3177821474860667,1.6422439492024572,-0.3259056742634729,0.5830982448320855,-0.8183031375217761,0.4791852878222912,0.2311742374933874,0,0,0,0,0,1,0
지어소프트,51160,2019-12,2.3177821474860667,1.6422439492024572,-0.3441863628599458,-0.0360093859162148,-0.9880449779644798,-0.147368472452237,-0.0577424959058244,0,0,1,0,0,0,0
지에스,78930,2011-12,2.127377880050368,0.284060645572681,-0.5782971168212285,-1.2067577902158853,-0.2684608186591612,1.202446258921801,0.2419256080905124,0,0,0,0,0,1,0
지에스,78930,2012-12,2.052871862358138,0.0841598229190133,-0.6856224498714891,-1.180678164744803,-0.0156667205712776,0.7066515442697829,0.1952309299088813,0,0,0,0,0,1,0
지에스,78930,2013-12,1.7134555595379786,0.0230472857077493,-0.6714696587000262,-1.2254670867494877,-0.3139273830634568,0.495530168525105,0.1715146712387527,0,0,0,0,0,0,0
지에스,78930,2014-12,2.0777072015888813,-0.2990786113684465,-0.6372670800356574,-1.3059737566819591,-0.0744701438674999,-0.1323856651413244,0.0625252869502502,0,0,0,0,0,1,0
지에스,78930,2015-12,2.3177821474860667,0.1275668586952384,-0.5269932488246755,-1.5457929213399546,0.0334371689853617,1.16567027734047,0.1787876572309254,0,0,0,0,0,1,0
지에스,78930,2016-12,2.3177821474860667,0.2869163716105906,-0.583604413510527,-1.5457929213399546,-0.0102107328427622,1.1152735618401275,0.223058006748499,0,0,0,0,0,0,1
지에스,78930,2017-12,2.3177821474860667,0.3446020375763633,-0.2899339967026713,-1.538989540782281,0.0898157088466882,1.233773946935527,0.2325445102165504,0,0,0,0,0,1,0
지에스,78930,2018-12,2.3177821474860667,0.2457939166646932,-0.4804069778852765,-1.4454430581142683,0.0801161751071052,1.2501188276383413,0.2163120487267734,0,0,0,0,0,0,0
지에스,78930,2019-12,2.3177821474860667,0.2383690289661284,-0.5093022598603467,-1.5338870053640257,-0.1387295548922377,1.0703251399073896,0.1742552166850786,0,0,1,0,0,0,0
지엔코,65060,2011-12,-0.0664104186652934,0.27777804828928,0.5981536493066278,0.0705769094873388,-0.2745230272464006,1.6410338911139708,0.1949147131266129,0,0,0,0,0,0,0
지엔코,65060,2012-12,-0.347877596613718,0.0207627048774216,0.2325398773771685,0.531505942269727,-0.3024091867477019,1.1397908828943482,0.1593930279184646,0,0,0,0,0,1,0
지엔코,65060,2013-12,-0.463775846357187,-0.1739978109080087,0.6936849897140025,-0.4600867740112043,-0.104781186803697,0.577254572039174,0.1201821469171852,0,0,0,0,0,0,0
지엔코,65060,2014-12,-0.4141051678957003,-0.3836081020905688,1.3612249733013375,-0.9079759940580516,0.3759519541643886,0.1550118205498178,0.0360684828337956,0,0,0,0,0,0,0
지엔코,65060,2015-12,-0.3809913822547091,-0.2739482222348426,1.4025039475514378,-1.014562289461605,0.3032054511175156,-0.0996959037356969,0.1091145595377919,0,0,0,0,0,0,0
지엔코,65060,2016-12,-0.3727129358444613,-0.3641891650327839,1.6460498956270289,-1.2084586353553035,0.0146443223649194,-0.0329543075325406,0.0699036785365125,0,0,0,0,0,1,0
지엔코,65060,2017-12,-0.5879525425109036,-0.4898411107008036,0.4076806681240225,-0.0944050690362469,-0.196926757329736,0.4165299117948383,0.0339603709520064,0,0,0,0,0,0,0
지엔코,65060,2018-12,-0.7535214707158592,-1.0706957868116036,0.7449888577105559,-0.4351410452997344,-0.3048340701825977,-1.310579149135818,-0.1508156354868182,0,0,0,0,0,1,0
지엔코,65060,2019-12,-0.5796740961006558,-0.3881772637512241,0.7933442275463871,-0.4311724066410915,-0.0490088678010943,-0.4906109672113264,-0.0352911043647692,0,0,0,0,0,0,0
진도,88790,2011-12,-0.4306620607161958,0.3023372922153021,2.2363392274034624,-0.8223667887073252,1.18828790485447,1.4462573960721066,0.2171552934794891,0,0,0,0,0,0,0
진도,88790,2012-12,-0.5134465248186735,-0.1580057450957153,2.2363392274034624,-1.026468205437534,1.3180191686213936,0.6276512875395164,0.0328009094170223,0,0,0,0,0,0,0
진도,88790,2013-12,-0.5631172032801602,0.0081975103106197,2.2363392274034624,-0.9057082005388272,1.530802690033497,0.357960755943089,0.1119605105782073,0,1,0,0,0,1,0
진도,88790,2014-12,-0.6872938994338769,0.240653609796456,2.2363392274034624,-0.7855151440199264,1.5156471685653985,0.2953053799156361,0.2203174613021729,0,0,0,0,0,0,0
진도,88790,2015-12,-0.571395649690408,0.0750214995977029,2.2363392274034624,-0.9193149616541744,0.7627208620302631,0.357960755943089,0.1504335524208605,0,0,0,0,0,0,0
