회사명,거래소코드,회계년도,유동자산회전율,총자본투자효율,재고자산_대_유동자산비율,당좌자산구성비율,차입금의존도,총자본영업이익율,자기자본순이익율,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
유니슨,18000,2013-12,-1.3412911658434514,-1.289444401315474,0.3722986901953651,0.07908113518443076,1.5538390826650068,-1.2125098649189352,-0.7031409485155925,0,0,0,0,0,0
유니슨,18000,2014-12,-1.2005575768692394,-0.47042217364301875,1.130062717500776,-0.3903521232950498,1.385309683939751,-0.012523206654023393,-0.21848602689225202,0,0,0,0,0,0
유니슨,18000,2015-12,-0.8776981668695758,-0.5252521135708819,0.5167751000707158,-0.5428612374629002,1.6011243096454744,0.061028756508638614,-0.5856137111058438,0,0,0,0,0,0
유니슨,18000,2016-12,-1.175722237638496,-0.6309139769735348,1.3164078012583715,-0.8784946783081327,1.6041554139390939,-0.6567839210232667,-0.8669412417306144,0,0,0,0,0,0
유니슨,18000,2017-12,-0.23197934687024915,-0.10146236954510655,0.6305871290745635,-0.395454658713305,1.5877874507535477,0.7652207001215323,0.1405254265764512,0,0,0,0,0,1
유니슨,18000,2018-12,-0.09952420430628457,-0.45842812428379875,1.799371799984544,-1.510642121791974,1.675083254409795,-0.04521296805965096,-0.15208050261589173,0,0,0,0,0,0
유니슨,18000,2019-12,-0.5382818640494169,-0.18542071505964688,2.2363392274034624,-1.5457929213399546,1.027033156433902,-0.9046812783492757,0.048506342936352004,0,0,0,0,0,1
유니온머티리얼,47400,2011-12,-0.22370090046000138,0.6684413702753048,0.7939339271785317,-0.5740433983522377,-0.18662100273142906,0.8374105898922933,0.1876417271344402,0,0,0,0,0,1
유니온머티리얼,47400,2012-12,-0.2568146861009925,0.7386922308078794,1.0015081976933211,-0.7112449062653227,0.15892488674121763,0.5881511591743831,0.15970924470073306,0,0,0,0,0,1
유니온머티리얼,47400,2013-12,-0.2650931325112403,0.759253458280828,0.8564420881858261,-0.6868661259336587,-0.007785849407866276,0.5064267556603143,0.1719362936151105,0,1,0,0,0,0
유니온머티리얼,47400,2014-12,-0.09952420430628457,0.7426902472609528,0.675994000749674,-0.7350567382171803,-0.13206112544627444,0.4342368658895533,0.14948490207405538,0,0,0,0,0,1
유니온머티리얼,47400,2015-12,-0.05813197225504583,0.9094646478748697,0.6689176051639423,-0.683464435654822,-0.20662629106931915,0.4778232144303901,0.16571736356383232,0,0,0,0,0,0
유니온머티리얼,47400,2016-12,-0.10780265071653236,1.062531563506821,0.4530875397991327,-0.5224510957898794,-0.41031649960056354,0.6535306819856381,0.18100117470680413,0,0,0,0,0,0
유니온머티리얼,47400,2017-12,-0.04985352584479804,0.8243640119451655,0.4401141478919584,-0.5678069661743702,-0.08113857331346325,0.06511497668434206,0.09931183928747207,0,0,0,0,0,1
유니온머티리얼,47400,2018-12,-0.10780265071653236,0.3360348594626346,0.5344660890350448,-0.37334367190086565,0.5426626903134725,-0.052023335019156694,-0.0016667198502313102,0,0,0,0,0,1
유니온머티리얼,47400,2019-12,-0.38099138225470913,0.6358860934431361,0.686018894496127,-0.45895287725159206,0.8366798067945842,0.21221890300966606,0.13778488113012524,0,1,0,0,0,1
유비벨록스,89850,2011-12,0.42201791953932544,1.430920222397151,0.6111270412138021,-0.6562509134241273,0.23470249408171032,1.7922240376149983,0.29789597855201605,0,0,0,0,0,1
유비벨록스,89850,2012-12,0.2398920985138745,0.8392137873422952,-0.18201896402026635,-0.37731231055950865,0.5960101258811793,1.2542050478140445,0.22147692283715706,0,0,0,0,0,0
유비벨록스,89850,2013-12,-0.21542245404975358,0.5696332493636348,-0.42674431136014634,-0.09950760445450195,1.3355995735243877,0.3783918568216062,0.0911956085425836,0,0,0,0,0,0
유비벨록스,89850,2014-12,-0.496889631998178,0.28177606474235345,-0.03754255414491563,-0.5995560754435137,0.47173484984277125,-0.08062687624908081,0.041233356944179206,0,0,0,0,0,1
유비벨록스,89850,2015-12,0.14882918800114867,0.2737800318362067,0.6612515099460667,-0.971474212596339,1.0640126288160623,-0.39662790317014723,-0.005039698861094038,0,0,0,0,0,0
유비벨록스,89850,2016-12,0.32267656261635197,0.5593526356271604,0.4896489169920787,-0.762837208827681,0.6057096596207624,0.2639776919019098,0.06241988135616082,0,0,0,0,0,0
유비벨록스,89850,2017-12,0.09915850953966193,0.4782500161505297,0.9879451061540027,-0.7679397442459363,1.0106651932483552,0.10870132522517882,-0.04509382461508912,0,0,0,0,0,0
유비벨록스,89850,2018-12,-0.7866352563568503,-0.05005930086273486,0.8446480955429405,-0.10971267529101238,0.7093734264625564,0.010632041008296136,0.10331725186287158,0,0,0,0,0,0
유비벨록스,89850,2019-12,-0.2071440076395058,0.8237928667375836,0.8198807109928803,-0.18058122276677938,0.27774417505111,0.26533976529381087,0.15443896499626003,0,0,0,0,0,0
유아이엘,49520,2011-12,-0.02501818661405468,0.7204155841652584,-0.8460207498147357,0.9198655824369301,-0.7607121559430017,-0.5124041414817448,0.07770369249913263,0,0,0,0,0,0
유아이엘,49520,2012-12,0.11571540236015751,0.9637234425951511,-0.7027237392036735,0.6828811596779654,-0.851039063892869,0.7229964249725969,0.1716200768328421,0,0,0,0,0,0
유아이엘,49520,2013-12,1.29953323902559,1.2590055149149972,-0.5800662157176615,0.16242254701593267,-0.6455301927854528,1.5565853408160997,0.26869862898923547,0,0,0,1,0,1
