회사명,거래소코드,회계년도,이자보상배율,이보배2,부실기업,회생기업1,회생기업2
(주)갤럭시아에스엠,11420,15-Dec,5.69,-18.76,0.0,1.0,0.0
(주)갤럭시아에스엠,11420,16-Dec,-18.76,-35.52,1.0,0.0,0.0
(주)갤럭시아에스엠,11420,17-Dec,-35.52,-157.86,1.0,0.0,0.0
(주)갤럭시아에스엠,11420,18-Dec,-157.86,-8.95,1.0,0.0,0.0
(주)갤럭시아에스엠,11420,19-Dec,-8.95,,1.0,0.0,0.0
(주)경동인베스트,12320,11-Dec,11.03,17.71,0.0,0.0,0.0
(주)경동인베스트,12320,12-Dec,17.71,27.91,0.0,0.0,0.0
(주)경동인베스트,12320,13-Dec,27.91,20.25,0.0,0.0,0.0
(주)경동인베스트,12320,14-Dec,20.25,-4.35,0.0,0.0,0.0
(주)경동인베스트,12320,15-Dec,-4.35,7.92,1.0,0.0,0.0
(주)경동인베스트,12320,16-Dec,7.92,9.05,0.0,1.0,0.0
(주)경동인베스트,12320,17-Dec,9.05,10.67,0.0,0.0,1.0
(주)경동인베스트,12320,18-Dec,10.67,5.29,0.0,0.0,0.0
(주)경동인베스트,12320,19-Dec,5.29,,0.0,0.0,0.0
(주)경방,50,11-Dec,1.15,0.36,0.0,0.0,0.0
(주)경방,50,12-Dec,0.36,2.58,1.0,0.0,0.0
(주)경방,50,13-Dec,2.58,2.47,0.0,1.0,0.0
(주)경방,50,14-Dec,2.47,3.9,0.0,0.0,1.0
(주)경방,50,15-Dec,3.9,5.54,0.0,0.0,0.0
(주)경방,50,16-Dec,5.54,6.35,0.0,0.0,0.0
(주)경방,50,17-Dec,6.35,5.13,0.0,0.0,0.0
(주)경방,50,18-Dec,5.13,3.59,0.0,0.0,0.0
(주)경방,50,19-Dec,3.59,,0.0,0.0,0.0
(주)골드앤에스,35290,11-Dec,1.13,-1.91,0.0,0.0,0.0
(주)골드앤에스,35290,12-Dec,-1.91,-3.83,1.0,0.0,0.0
(주)골드앤에스,35290,13-Dec,-3.83,-1.41,1.0,0.0,0.0
