,회사명,거래소코드,회계년도,경상개발비율
361,(주)금양,1570,19-Dec,0
362,(주)금호에이치티,214330,15-Dec,0
363,(주)금호에이치티,214330,16-Dec,0
364,(주)금호에이치티,214330,17-Dec,0
365,(주)금호에이치티,214330,18-Dec,0
366,(주)금호에이치티,214330,19-Dec,0
367,(주)금화피에스시,36190,11-Dec,0.018487919
368,(주)금화피에스시,36190,12-Dec,0.00691209
369,(주)금화피에스시,36190,13-Dec,0.005170827
370,(주)금화피에스시,36190,14-Dec,0.003998065
371,(주)금화피에스시,36190,15-Dec,0.004109367
372,(주)금화피에스시,36190,16-Dec,0.004646397
373,(주)금화피에스시,36190,17-Dec,0.003940143
374,(주)금화피에스시,36190,18-Dec,0.002983065
375,(주)금화피에스시,36190,19-Dec,0.005218726
376,(주)기가레인,49080,13-Dec,0
377,(주)기가레인,49080,14-Dec,0
378,(주)기가레인,49080,15-Dec,0
379,(주)기가레인,49080,16-Dec,0
380,(주)기가레인,49080,17-Dec,0
381,(주)기가레인,49080,18-Dec,0
382,(주)기가레인,49080,19-Dec,0
383,(주)기산텔레콤,35460,11-Dec,0
384,(주)기산텔레콤,35460,12-Dec,0
385,(주)기산텔레콤,35460,13-Dec,0
386,(주)기산텔레콤,35460,14-Dec,0
387,(주)기산텔레콤,35460,15-Dec,0
388,(주)기산텔레콤,35460,16-Dec,0
389,(주)기산텔레콤,35460,17-Dec,0
390,(주)기산텔레콤,35460,18-Dec,0
391,(주)기산텔레콤,35460,19-Dec,0
392,(주)까뮤이앤씨,13700,11-Dec,0
393,(주)까뮤이앤씨,13700,12-Dec,0
394,(주)까뮤이앤씨,13700,13-Dec,0
395,(주)까뮤이앤씨,13700,14-Dec,0
396,(주)까뮤이앤씨,13700,15-Dec,0
397,(주)까뮤이앤씨,13700,16-Dec,0
398,(주)까뮤이앤씨,13700,17-Dec,0
399,(주)까뮤이앤씨,13700,18-Dec,0
400,(주)까뮤이앤씨,13700,19-Dec,0
401,(주)까스텔바작,308100,19-Dec,0
402,(주)나노,187790,14-Dec,
403,(주)나노,187790,15-Dec,0
404,(주)나노,187790,16-Dec,0
405,(주)나노,187790,17-Dec,0
406,(주)나노,187790,18-Dec,0
407,(주)나노,187790,19-Dec,0
408,(주)나노브릭,286750,19-Dec,0
409,(주)나노신소재,121600,11-Dec,0
