총자본회전율(개별),총자본회전율(연결),재고자산회전율(개별),재고자산회전율(연결),매출채권회전율(개별),매출채권회전율(연결),유형자산회전율(개별),유형자산회전율(연결)),매입채무회전율(개별),매입채무회전율(연결),자기자본회전율(개별),자기자본회전율(연결),타인자본회전율(개별),타인자본회전율(연결),유동자산회전율(개별),유동자산회전율(연결)
0.983335506,0.992838635,5.673791349,3.811462712,4.655304185,4.649374789,1.39541218,0.919935799,inf,26321.21494,0.983335506,0.992838635,0.905875652,0.840500713,inf,1.362372613
0.915466354,0.91054169,6.879345272,6.879345272,4.695794436,4.695794436,1.38177504,1.381774586,inf,inf,0.915466354,0.91054169,1.870744812,1.871080698,inf,1.966970212
0.809370468,0.805113075,7.430283536,7.430283536,4.646754824,4.646754824,1.317317079,1.317316653,inf,inf,0.809370468,0.805113075,3.271889772,3.274044415,inf,2.316832471
0.75448273,0.609991407,6.263378463,6.678873431,4.696765865,4.985215641,1.256891213,0.243647064,inf,227.157391,0.75448273,0.609991407,1.874371051,0.258528044,inf,0.994995964
0.705007396,0.73374488,5.754075109,8.813010528,4.501682146,6.797913669,1.173515434,0.186690176,inf,134.2257573,0.705007396,0.73374488,1.118711114,0.196232509,inf,1.27328136
0.734546299,0.946098025,4.880977285,7.371068554,4.846834014,8.076243434,1.150263386,0.203928529,inf,139.975428,0.734546299,0.946098025,1.135540649,0.224453658,inf,2.592666569
2.741287322,2.732675287,18.68710312,18.71214933,6.628021713,6.568112915,5.24444771,5.249936243,315.5062945,312.1294132,2.741287322,2.732675287,4.8787294,4.709368619,inf,3.879172082
2.966406037,2.981015117,14.09825448,14.12294782,6.658842739,6.531283738,5.839855732,5.87680051,121.9668408,122.3352375,2.966406037,2.981015117,5.084405877,4.955463438,inf,3.84574946
3.412529682,3.449012887,16.31798764,16.36044106,7.379447576,7.235405106,7.119256648,7.152264349,95.74956528,96.33414431,3.412529682,3.449012887,5.906494776,5.819725665,inf,4.233482612
2.963341121,3.002055171,15.23305425,15.29743778,6.921536095,6.869690109,7.203731475,7.307614727,94.89874557,95.76553487,2.963341121,3.002055171,6.888690205,6.85261354,inf,3.868613775
2.456376869,2.461191242,14.14863579,13.88770572,6.69592575,6.562237698,6.71264772,6.785696748,130.4960918,130.1116402,2.456376869,2.461191242,8.729522396,8.592571843,inf,3.367705433
2.212119606,2.23156366,16.17891807,15.31714845,5.65817111,5.680023524,6.65290307,6.776548777,166.7467927,167.4528321,2.212119606,2.23156366,9.929153471,9.865654333,inf,2.865422398
1.768886511,1.776491894,11.01475806,10.25575805,4.995139647,4.918079757,5.886071013,5.982096497,117.5748102,114.6817479,1.768886511,1.776491894,9.870938428,9.895957389,inf,2.189668148
1.723236938,1.723249539,8.577602846,8.112297565,6.395596746,6.099538831,5.939018414,6.005865932,138.2962661,133.7650121,1.723236938,1.723249539,10.51689062,10.59351709,inf,2.118168195
1.37166204,1.378266812,7.177021863,6.879939331,6.101579721,5.942049476,4.383361346,4.454699625,140.9815168,140.6921859,1.37166204,1.378266812,6.810973302,6.7946823,inf,1.66376806
1.465084017,1.370593642,7.158401557,7.164630154,3.61530159,3.624664127,3.791296722,3.222985278,5.503202925,5.541346761,1.465084017,1.370593642,1.613019529,1.618894034,inf,1.504158076
1.341798265,1.263183398,7.053471306,7.057724915,3.58143832,3.582530624,3.528467348,3.067273532,5.929792589,5.97172059,1.341798265,1.263183398,1.654164331,1.652498078,inf,1.474616844
1.088691439,1.037334529,6.440609362,6.447661833,3.041291439,3.043963042,3.184449796,2.785845889,5.367691952,5.399799333,1.088691439,1.037334529,1.453271279,1.449158978,inf,1.574267898
1.132347077,1.229809046,6.550759537,6.632855805,3.345866194,3.361169628,3.373344089,2.165033119,5.838631229,6.222065854,1.132347077,1.229809046,1.640426011,1.665684744,inf,2.076270778
1.005453309,1.194893667,4.243300952,4.568768199,3.314112461,3.024753364,2.910882986,1.538601315,5.095959978,5.397250112,1.005453309,1.194893667,1.55199127,1.52430901,inf,1.690164875
0.961322541,1.130653592,3.893011799,4.26187565,3.829517546,3.059357134,2.859224703,1.485118059,5.059363927,5.304301031,0.961322541,1.130653592,1.506482255,1.450407919,inf,1.522375388
0.897423278,0.958497014,4.443144529,4.529976279,3.420775653,2.640151942,2.791806983,1.312835064,6.152295133,6.043681333,0.897423278,0.958497014,1.583960202,1.451532634,inf,1.408671342
