,회사명,거래소코드,회계년도,유형자산(*)(IFRS)(천원),유형자산(*)(IFRS연결)(천원),0,1
134,(주)갤럭시아에스엠,11420,Dec-14,170073,3055021,-34.09,-1.22
135,(주)갤럭시아에스엠,11420,Dec-15,428742,2905233,152.09,-4.9
136,(주)갤럭시아에스엠,11420,Dec-16,468225,2588337,9.21,-10.91
137,(주)갤럭시아에스엠,11420,Dec-17,348574,364072,-25.55,-85.93
138,(주)갤럭시아에스엠,11420,Dec-18,251603,251603,-27.82,-30.89
139,(주)갤럭시아에스엠,11420,Dec-19,511985,511985,103.49,103.49
140,(주)경농,2100,Dec-11,47135730,49541176,9576.29,
141,(주)경농,2100,Dec-12,51459712,93105654,9.17,87.94
142,(주)경농,2100,Dec-13,55088070,101211463,7.05,8.71
143,(주)경농,2100,Dec-14,60743502,118629306,10.27,17.21
144,(주)경농,2100,Dec-15,60862714,122071383,0.2,2.9
145,(주)경농,2100,Dec-16,60986166,133213483,0.2,9.13
146,(주)경농,2100,Dec-17,61075339,140283689,0.15,5.31
147,(주)경농,2100,Dec-18,67819776,142669413,11.04,1.7
148,(주)경농,2100,Dec-19,64128521,139475078,-5.44,-2.24
149,(주)경동나비엔,9450,Dec-11,71463183,103309756,-25.93,
150,(주)경동나비엔,9450,Dec-12,86003940,120050563,20.35,16.2
151,(주)경동나비엔,9450,Dec-13,148703601,184422743,72.9,53.62
152,(주)경동나비엔,9450,Dec-14,133081097,190970831,-10.51,3.55
153,(주)경동나비엔,9450,Dec-15,134166342,195089500,0.82,2.16
154,(주)경동나비엔,9450,Dec-16,138398427,203718091,3.15,4.42
155,(주)경동나비엔,9450,Dec-17,143721378,221945791,3.85,8.95
156,(주)경동나비엔,9450,Dec-18,157575992,248979361,9.64,12.18
157,(주)경동나비엔,9450,Dec-19,165763623,278770581,5.2,11.97
158,(주)경동도시가스,267290,Dec-17,316263778,316816604,13.65,
159,(주)경동도시가스,267290,Dec-18,320275132,320713747,1.27,1.23
160,(주)경동도시가스,267290,Dec-19,325567581,325975219,1.65,1.64
161,(주)경동인베스트,12320,Dec-11,265516704,302120078,-7.32,
162,(주)경동인베스트,12320,Dec-12,279769365,302039515,5.37,-0.03
163,(주)경동인베스트,12320,Dec-13,293643578,322577481,4.96,6.8
164,(주)경동인베스트,12320,Dec-14,299563689,436240540,2.02,35.24
165,(주)경동인베스트,12320,Dec-15,317414775,478535233,5.96,9.7
166,(주)경동인베스트,12320,Dec-16,320740081,490371394,1.05,2.47
167,(주)경동인베스트,12320,Dec-17,9664453,177264156,-96.99,-63.85
168,(주)경동인베스트,12320,Dec-18,12131746,176391871,25.53,-0.49
169,(주)경동인베스트,12320,Dec-19,2798610,170491064,-76.93,-3.35
