,순이익증가율,순이익증가률개별,순이익증가률연결,순이익증가율1
4209,1254789.63,11111111.11,11111111.11,1254789.63
4210,1254789.63,11111111.11,11111111.11,1254789.63
4211,1254789.63,11111111.11,11111111.11,1254789.63
4212,61.33,96.25,61.33,61.33
4213,-9.07,-9.13,-9.07,-9.07
4214,-11.17,-19.12,-11.17,-11.17
4215,27.29,43.71,27.29,27.29
4216,-52.52,-54.94,-52.52,-52.52
4217,-527.27,-529.41,-527.27,-527.27
4218,1254789.63,11111111.11,11111111.11,1254789.63
4219,1254789.63,11111111.11,11111111.11,1254789.63
4220,378.05,82.26,378.05,378.05
4221,2838.2,2525.5,2838.2,2838.2
4222,-19.07,-21.45,-19.07,-19.07
4223,-20.05,-19.44,-20.05,-20.05
4224,33.24,37.79,33.24,33.24
4225,33.63,83.95,33.63,33.63
4226,-9.58,-26.42,-9.58,-9.58
4227,1.98,1.79,1.98,1.98
4228,-28.16,-28.29,-28.16,-28.16
4229,42.41,39.52,42.41,42.41
4230,-91.05,-91.19,-91.05,-91.05
4231,59.85,7.51,59.85,59.85
4232,-8.09,-9.43,-8.09,-8.09
4233,-14.1,-4.26,-14.1,-14.1
4234,-3.67,-37.48,-3.67,-3.67
4235,50.27,-1.28,50.27,50.27
4236,-37.38,107.87,-37.38,-37.38
4237,-62.2,-53.84,-62.2,-62.2
4238,-34.37,-65.17,-34.37,-34.37
4239,103.13,-21.21,103.13,103.13
4240,210.65,365.95,210.65,210.65
4241,-13.5,-74.24,-13.5,-13.5
4242,-18.54,-92.4,-18.54,-18.54
4243,2.13,4457.85,2.13,2.13
4244,46.46,42.41,46.46,46.46
4245,-38.84,-49.07,-38.84,-38.84
4246,27.47,170.19,27.47,27.47
4247,-68.15,-77.38,-68.15,-68.15
4248,51.69,43.36,51.69,51.69
4249,-96.77,-76.06,-96.77,-96.77
4250,-3619.68,-904.41,-3619.68,-3619.68
4251,1254789.63,11111111.11,11111111.11,1254789.63
4252,-164.58,-151.03,-164.58,-164.58
4253,1254789.63,11111111.11,11111111.11,1254789.63
4254,1254789.63,11111111.11,11111111.11,1254789.63
4255,41.89,41.89,11111111.11,41.89
4256,828.96,-37.13,828.96,828.96
4257,-76.83,148.54,-76.83,-76.83
4258,165.32,-30.77,165.32,165.32
4259,-61.82,0.39,-61.82,-61.82
4260,-613.45,-212.71,-613.45,-613.45
4261,1254789.63,11111111.11,11111111.11,1254789.63
4262,1254789.63,11111111.11,11111111.11,1254789.63
4263,-357.71,-247.87,-357.71,-357.71
4264,1254789.63,11111111.11,11111111.11,1254789.63
4265,1254789.63,11111111.11,11111111.11,1254789.63
4266,44.73,173.72,44.73,44.73
4267,226.76,-86.04,226.76,226.76
4268,-47.11,78.75,-47.11,-47.11
4269,113.81,-17.75,113.81,113.81
4270,-25.18,2.3,-25.18,-25.18
4271,-57.74,23.7,-57.74,-57.74
4272,127.8,-51.61,127.8,127.8
4273,-105.52,36.18,-105.52,-105.52
4274,-227.58,-227.58,11111111.11,-227.58
4275,1254789.63,11111111.11,11111111.11,1254789.63
4276,-55.94,279.46,-55.94,-55.94
4277,130.5,106.82,130.5,130.5
4278,209.45,329.46,209.45,209.45
4279,-39.82,-56.45,-39.82,-39.82
4280,-18.44,31.08,-18.44,-18.44
4281,112.26,-1.48,112.26,112.26
4282,27.49,2.35,27.49,27.49
4283,4.75,-47.83,4.75,4.75
4284,-182.89,-366.71,-182.89,-182.89
4285,1254789.63,11111111.11,11111111.11,1254789.63
4286,0.0,17.95,0.0,0.0
4287,-66.67,-62.9,-66.67,-66.67
4288,130.6,130.4,130.6,130.6
4289,-110.19,-106.05,-110.19,-110.19
4290,1254789.63,11111111.11,11111111.11,1254789.63
4291,-63.49,-45.39,-63.49,-63.49
4292,335.13,299.0,335.13,335.13
4293,131.09,129.15,131.09,131.09
4294,-44.47,-45.59,-44.47,-44.47
4295,-52.26,-50.62,-52.26,-52.26
4296,14.44,25.59,14.44,14.44
4297,17.26,1.23,17.26,17.26
4298,87.43,83.76,87.43,87.43
4299,68.73,64.39,68.73,68.73
4300,47.33,48.47,47.33,47.33
4301,-21.74,-10.95,-21.74,-21.74
4302,16.37,3.89,16.37,16.37
4303,-90.73,-81.57,-90.73,-90.73
4304,-22.05,-11.25,-22.05,-22.05
4305,-412.34,-127.13,-412.34,-412.34
4306,1254789.63,11111111.11,11111111.11,1254789.63
4307,1254789.63,11111111.11,11111111.11,1254789.63
4308,-27.85,-26.17,-27.85,-27.85
4309,-104.23,-104.23,-104.23,-104.23
4310,1254789.63,11111111.11,11111111.11,1254789.63
4311,1254789.63,11111111.11,11111111.11,1254789.63
4312,-241.73,-227.04,-241.73,-241.73
4313,1254789.63,11111111.11,11111111.11,1254789.63
4314,-3896.04,-3896.04,11111111.11,-3896.04
4315,1254789.63,11111111.11,11111111.11,1254789.63
4316,1254789.63,11111111.11,11111111.11,1254789.63
4317,1254789.63,11111111.11,11111111.11,1254789.63
4318,1254789.63,11111111.11,11111111.11,1254789.63
4319,1254789.63,11111111.11,11111111.11,1254789.63
4320,1254789.63,11111111.11,11111111.11,1254789.63
4321,1254789.63,11111111.11,11111111.11,1254789.63
4322,-57.61,7.88,-57.61,-57.61
4323,-10.22,-34.2,-10.22,-10.22
4324,-393.8,-87.2,-393.8,-393.8
4325,399.83,399.83,11111111.11,399.83
4326,136.26,136.26,11111111.11,136.26
4327,-177.44,-178.77,-177.44,-177.44
4328,1254789.63,11111111.11,11111111.11,1254789.63
4329,615.36,547.82,615.36,615.36
4330,-87.69,-86.21,-87.69,-87.69
4331,366.0,246.5,366.0,366.0
4332,71.72,69.28,71.72,71.72
4333,108.69,38.97,108.69,108.69
4334,51.17,13.65,51.17,51.17
4335,12.75,-4.77,12.75,12.75
4336,31.67,38.29,31.67,31.67
4337,-22.88,39.16,-22.88,-22.88
4338,10.4,-7.78,10.4,10.4
4339,-52.01,14.73,-52.01,-52.01
4340,-82.99,-90.76,-82.99,-82.99
4341,-54.32,-45.32,-54.32,-54.32
4342,159.7,13.46,159.7,159.7
4343,11.37,61.01,11.37,11.37
4344,8.45,8.62,8.45,8.45
4345,214.91,367.01,214.91,214.91
4346,-126.56,-160.48,-126.56,-126.56
4347,1254789.63,11111111.11,11111111.11,1254789.63
4348,-15.24,-184.07,-15.24,-15.24
4349,63.34,11111111.11,63.34,63.34
4350,0.0,11111111.11,0.0,0.0
4351,0.0,11111111.11,0.0,0.0
4352,0.0,-9.9,0.0,0.0
4353,0.0,79.77,0.0,0.0
4354,0.0,-4.86,0.0,0.0
4355,0.0,-65.67,0.0,0.0
4356,0.0,224.92,0.0,0.0
4357,0.0,-124.5,0.0,0.0
4358,-92.94,11111111.11,-92.94,-92.94
4359,-382.3,-459.96,-382.3,-382.3
4360,1254789.63,11111111.11,11111111.11,1254789.63
4361,1254789.63,11111111.11,11111111.11,1254789.63
4362,1254789.63,11111111.11,11111111.11,1254789.63
4363,1254789.63,11111111.11,11111111.11,1254789.63
4364,484.46,-68.34,484.46,484.46
4365,0.0,-1569.76,0.0,0.0
4366,0.0,11111111.11,0.0,0.0
4367,-4.83,11111111.11,-4.83,-4.83
4368,-74.88,-74.94,-74.88,-74.88
4369,-252.93,-251.84,-252.93,-252.93
4370,1254789.63,11111111.11,11111111.11,1254789.63
4371,-23.83,4857.61,-23.83,-23.83
