,매출액증가율,2,3
540,3.72,3.72,11111111.11
541,4.27,3.79,4.27
542,-5.12,-5.12,-5.12
543,12.4,12.4,12.4
544,8.24,8.24,8.24
545,3.96,3.96,3.96
546,-6.16,-5.82,-6.16
547,15.57,-60.19,-73.8
548,10.8,10.8,11111111.11
549,7.26,7.26,11111111.11
550,27.14,27.14,11111111.11
551,40.47,40.47,11111111.11
552,17.5,17.5,11111111.11
553,26.59,26.73,26.59
554,23.57,23.87,23.57
555,25.6,26.0,25.6
556,-93.21,-94.55,-93.21
557,117.78,15.0,117.78
558,-9.75,112.04,-9.75
559,1254789.63,11111111.11,11111111.11
560,37.19,156.45,0.0
561,-23.02,-23.02,11111111.11
562,8.58,8.58,11111111.11
563,-4.02,-4.02,-53.11
564,-5.54,-5.54,11111111.11
565,-37.6,-37.6,11111111.11
566,17.52,17.52,11111111.11
567,-21.93,-21.93,11111111.11
568,-22.9,84.41,0.0
569,19.35,19.35,11111111.11
570,7.36,7.36,11111111.11
571,-13.19,-13.19,11111111.11
572,20.5,20.5,11111111.11
573,-12.33,-12.33,11111111.11
574,1.6,1.6,11111111.11
575,-1.84,-1.84,11111111.11
576,-13.64,-13.64,11111111.11
577,1.21,835.3,2384.81
578,5.23,19.22,5.23
579,25.33,-10.78,25.33
580,-9.7,-16.57,-9.7
581,-15.08,14.55,-15.08
582,-8.84,1.96,-8.84
583,11.98,17.03,11.98
584,-4.11,2.21,-4.11
585,30.37,28.44,30.37
586,12.82,-30.18,-21.13
587,1.46,-8.79,1.46
588,33.21,2.26,33.21
589,-6.72,-3.99,-6.72
590,-13.6,-9.74,-13.6
591,4.99,-0.61,4.99
592,-2.3,10.01,-2.3
593,333.09,61.17,333.09
594,68.48,3.07,68.48
595,9.12,-92.22,-99.52
596,-22.12,-22.12,11111111.11
597,3.17,3.17,11111111.11
598,-6.84,-6.84,11111111.11
599,-21.11,-21.11,11111111.11
600,359.61,359.61,11111111.11
601,-41.23,-41.23,11111111.11
602,-39.03,-39.03,11111111.11
603,21.75,21.75,11111111.11
604,1.45,-45.24,0.0
605,29.47,29.47,11111111.11
606,8.58,4.02,8.58
607,4.5,12.12,4.5
608,-8.9,-14.25,-8.9
609,48.46,-0.98,48.46
610,50.82,15.87,50.82
611,46.63,-0.01,46.63
612,0.88,-6.86,0.88
613,-29.56,121.29,-29.56
614,33.24,40.78,33.24
615,52.23,35.75,52.23
616,-24.8,-45.16,-24.8
617,70.54,53.72,70.54
618,-7.47,-25.29,-7.47
619,-92.55,-83.03,-92.55
620,1254789.63,11111111.11,11111111.11
621,1254789.63,11111111.11,11111111.11
622,5.25,5.25,11111111.11
623,20.84,20.84,11111111.11
624,0.0,-61.01,0.0
625,1254789.63,11111111.11,11111111.11
626,11.96,-3.17,11.96
627,-11.47,-7.48,-11.47
628,-0.75,19.42,-0.75
629,-17.24,865.37,325.68
630,19.61,11111111.11,11111111.11
631,8.16,7.82,8.16
632,3.54,2.39,3.54
633,5.69,4.48,5.69
634,0.76,0.97,0.76
635,3.75,2.95,3.75
636,15.13,11.06,15.13
637,11.48,11.96,11.48
638,5.32,5.08,5.32
639,16.97,-95.64,-15.36
640,6.87,4.75,6.87
641,4.71,54.41,4.71
642,9.26,-9.65,9.26
643,2.01,-3.59,2.01
644,0.97,134.22,0.97
645,11.76,-47.96,11.76
646,8.39,-23.06,8.39
647,5.78,-8.39,5.78
648,32.72,260.2,-87.86
649,48.26,48.26,48.26
650,-83.73,-83.74,-83.73
651,0.97,-3.99,0.97
652,46.65,236.71,227.6
653,79.6,82.63,79.6
654,-49.82,-49.47,-49.82
655,-8.35,-15.94,-8.35
656,-9.97,-19.43,-9.97
657,-5.26,6.19,-5.26
658,6.69,5.88,6.69
659,17.08,9.96,17.08
660,23.64,-49.76,-38.89
661,1254789.63,11111111.11,11111111.11
662,5.71,2.39,5.71
663,9.41,10.92,9.41
664,9.81,7.62,9.81
665,7.43,6.87,7.43
666,14.32,13.17,14.32
667,7.51,6.33,7.51
668,3.65,3.91,3.65
669,2.61,0.41,2.61
670,31.21,-92.9,-99.19
671,9.8,9.8,11111111.11
672,-3.51,-3.51,-3.51
673,14.19,13.86,14.19
674,-12.26,-12.01,-12.26
675,8.99,8.99,8.99
676,24.23,-28.85,-88.19
677,-2.95,11111111.11,11111111.11
678,4.72,-9.32,4.72
679,9.54,11.75,9.54
680,11.35,6.7,11.35
681,8.43,29.96,8.43
682,19.56,105.76,19.56
683,8.2,17.32,8.2
684,5.68,21.43,5.68
685,-1.54,-54.63,-1.54
686,5.04,-56.72,-97.96
687,-10.9,-33.42,-10.9
688,-45.53,-29.34,-45.53
689,-66.41,-74.87,-66.41
690,44.61,130.33,44.61
691,-47.12,-48.25,-47.12
692,469.56,12.16,469.56
693,245.89,629.04,245.89
694,-18.44,-4.99,-18.44
695,4.23,6444.28,3385.97
696,0.22,-0.6,0.22
697,-4.09,-4.5,-4.09
698,-2.15,-3.71,-2.15
699,6.85,4.29,6.85
700,1.62,-0.88,1.62
701,-0.39,-0.37,-0.39
702,1.28,0.13,1.28
703,4.81,2.58,4.81
704,7.46,-98.96,-86.18
705,-2.99,0.93,-2.99
706,13.63,0.0,13.63
707,8.5,0.7,8.5
708,15.94,-15.4,15.94
709,10.85,12.06,10.85
710,-0.24,0.0,-0.24
711,9.39,-5.08,9.39
712,-1.21,0.0,-1.21
713,7.91,229.17,-88.92
714,-24.16,-24.84,-24.16
715,-12.68,-12.17,-12.68
716,-22.26,-22.26,-71.78
717,5.01,5.01,11111111.11
718,7.06,7.06,11111111.11
719,0.48,0.48,11111111.11
720,33.81,-8.02,33.81
721,91.51,3.52,91.51
722,-12.54,12.95,-30.66
723,-23.84,-28.88,-23.84
724,-22.32,21.63,-22.32
725,3.74,7.21,3.74
726,50.37,54.41,50.37
727,-12.15,-10.62,-12.15
728,129.05,102.02,129.05
729,61.95,52.04,61.95
730,-22.29,-31.53,-22.29
731,-92.49,-88.9,-92.49
732,-11.81,11111111.11,11111111.11
733,14.98,8.81,14.98
734,-5.3,-9.73,-5.3
735,20.95,14.47,20.95
736,4.28,17.49,4.28
737,1.53,-1.62,1.53
738,14.64,6.25,14.64
739,15.59,13.99,15.59
740,11.03,-28.41,-81.27
741,-4.89,-4.89,11111111.11
742,0.58,0.58,11111111.11
743,-11.87,-11.87,11111111.11
744,14.03,14.03,11111111.11
745,2.39,2.39,11111111.11
746,14.27,14.27,11111111.11
747,-2.55,-2.55,11111111.11
748,4.49,4.49,11111111.11
749,2.65,30.31,425.08
750,-10.85,-16.15,-10.85
751,7.43,10.96,7.43
752,2.81,3.29,2.81
753,-12.8,-11.02,-12.8
754,-4.38,-6.39,-4.38
755,5.01,0.55,5.01
756,-0.44,2.53,-0.44
757,8.67,6.05,8.67
758,60.29,82.04,60.29
759,43.49,38.75,43.49
760,33.41,-43.98,-46.14
761,55.02,55.04,55.02
762,-29.75,-29.71,-29.75
763,-18.04,-18.01,-18.04
764,-2.81,10.56,14.95
765,66.57,70.89,66.57
766,17.44,19.74,17.44
767,1.86,1.12,1.86
768,-12.46,-13.52,-12.46
769,20.39,21.41,20.39
770,5.16,4.65,5.16
771,28.02,29.23,28.02
772,-34.4,-29.76,-34.4
773,2.29,-84.64,-83.5
774,20.11,17.57,20.11
775,4.51,0.71,4.51
776,32.43,3.92,32.43
777,29.24,4.57,29.24
778,41.62,19.35,41.62
779,67.07,30.89,67.07
780,12.78,60.4,12.78
781,67.09,39.01,67.09
782,-53.89,-3.22,-53.89
783,8.82,-7.19,8.82
784,16.08,20.93,16.08
785,-16.58,-10.06,-16.58
786,14.64,15.39,14.64
787,18.18,24.14,18.18
788,29.52,18.15,29.52
789,21.39,-5.76,21.39
790,-8.91,10.92,-8.91
791,-94.19,-93.2,-94.19
792,-30.54,11111111.11,11111111.11
793,-5.6,-6.09,-5.6
794,4.88,6.61,4.88
795,14.93,18.38,14.93
796,63.56,-61.53,63.56
797,-16.91,-52.49,-16.91
798,37.81,5.11,37.81
799,16.23,24.02,16.23
800,25.12,89.44,25.12
801,2.61,139.71,70.33
802,-0.2,19.61,-0.2
803,-0.91,6.31,-0.91
804,4.09,12.12,4.09
805,34.07,5.18,34.07
806,9.88,-14.58,9.88
807,17.15,-15.26,17.15
808,63.56,5.7,63.56
809,31.3,15.1,31.3
810,2.11,-47.03,-69.09
811,2.0,-38.17,2.0
812,6.48,27.85,6.48
813,6.45,38.63,6.45
814,26.09,3.85,26.09
815,5.41,-19.43,5.41
816,17.12,40.62,17.12
817,56.42,11.24,56.42
818,29.17,14.92,29.17
819,30.16,-79.52,-99.66
820,20.39,20.39,11111111.11
821,7.82,7.82,11111111.11
822,1.24,1.24,11111111.11
823,26.4,25.9,26.4
824,10.74,10.87,10.74
825,50.23,59.15,50.23
826,15.51,10.26,15.51
827,35.98,33.08,35.98
828,-7.8,-22.0,30.12
829,-10.33,-4.85,-10.33
830,-19.06,-20.22,-19.06
831,-26.94,-24.63,-26.94
832,-17.72,-21.99,-17.72
833,3.16,1286.83,838.42
834,-6.79,-5.74,-6.79
835,-3.44,-1.91,-3.44
836,-3.46,-1.58,-3.46
837,0.33,0.74,0.33
838,0.92,1.27,0.92
839,-1.04,-0.4,-1.04
840,-6.04,-6.78,-6.04
841,-0.16,-0.74,-0.16
842,9.28,-74.42,-98.54
843,-2.94,-2.94,11111111.11
844,-6.83,-6.83,11111111.11
845,-0.24,-0.24,11111111.11
846,-7.55,-7.57,-7.55
847,0.09,0.2,0.09
848,-13.27,-13.0,-13.27
849,26.65,-18.44,-12.62
850,-15.4,-9.96,-15.4
851,23.65,585.57,546.85
852,14.42,14.53,14.42
853,-1.85,-1.84,-1.85
854,-6.27,-6.27,-98.49
855,-25.81,-25.81,11111111.11
856,-4.24,-4.24,11111111.11
857,4.34,4.34,11111111.11
858,15.34,15.34,11111111.11
859,81.1,79.53,81.1
860,19.14,-52.56,-42.26
861,-8.99,-5.83,-8.99
862,9.07,7.51,9.07
863,-1.84,-0.83,-1.84
864,-3.28,-8.5,-3.28
865,0.33,0.33,0.33
866,4.22,-2.22,4.22
867,7.32,4.93,7.32
868,27.21,30.38,27.21
869,32.63,-74.95,-98.67
870,21.34,21.34,11111111.11
871,-30.74,-30.74,11111111.11
872,-16.06,-16.06,11111111.11
873,-15.77,-15.77,11111111.11
874,-26.17,-26.17,11111111.11
875,32.75,32.75,11111111.11
876,12.19,12.19,11111111.11
877,11.57,11.57,11111111.11
878,15.86,56.12,0.0
879,6.26,6.26,11111111.11
880,7.02,7.02,11111111.11
881,2.09,2.09,11111111.11
882,-0.11,-0.11,11111111.11
883,-9.2,-9.2,11111111.11
884,5.85,5.85,11111111.11
885,-0.39,-0.39,11111111.11
886,0.48,0.48,11111111.11
887,11.7,-60.19,0.0
888,-2.14,-2.14,11111111.11
889,-20.18,-20.18,11111111.11
890,-6.47,-6.47,11111111.11
891,-4.6,-4.6,11111111.11
