회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치
하이트론씨스템즈,19490,Dec-18,-2.35,10.79,-1.34,14.88,5.07,8.52,19.34,1.76,2.14,-1.6,-2.4,1.18,0.67,1.74,3.17,1.94,4.86,1.22,1.48,1.11,5.8,155.58,67.03,4.91,86.76,19.65,-31.83,-23.26,-75.23,53.55,26.45,61.38,159.88,73.68,46.45,56.92,159.31,21.93,148377.04,11811.77,458.05,62.00222734,20.08,31.59,91997.07
하이트론씨스템즈,19490,Dec-19,-15.47,-13.33,-0.84,-14.05,-50.21,-14.9,-10.09,-51.38,-69.31,-25.54,-44.05,-29.78,0.58,1.87,2.91,1.67,4.67,1.35,1.02,0.95,9.8,126.45,57.7,4.74,225.08,27.54,-21.85,-24.23,-54.94,30.76,27.77,60.87,159.3,156.49,69.24,54.37,259.94,12.73,134109.35,10911.1,360.92,-25.63250381,-9.52,-15.26,-34375.58
하츠,66130,Dec-11,57.03,-7.82,9.06,-13.39,1.66,-29.22,22.37,3.39,3.33,0,0,2.71,0.8,16.11,2.37,2.94,11.78,0.98,4.28,1.34,3.5,570.52,527.97,130.82,16.97,0,57.95,10.1,0,85.49,53.44,57.75,817.87,11.84,14.51,7.46,9.04,47.63,113617.1,3623,396.69,0,0,0,0
하츠,66130,Dec-12,-79.33,0.83,-3.59,-7.22,1.47,7.07,22.74,-4.29,-4.44,0,0,-3.81,0.89,13.11,3.67,3.07,21.46,1.04,6.24,1.6,4.04,569.13,503.26,143.64,16.23,0,24.76,3.91,0,86.04,46.99,53.14,389.86,10.85,13.96,11.57,14.04,43.8,150124.49,3626.99,531.57,0,0,0,0
하츠,66130,Dec-13,-9.26,-0.62,-1.27,3.42,-1.92,-7.48,22.1,-1.63,-1.57,0,0,-1.34,0.82,10.32,4.65,2.91,15,0.96,5.65,1.51,3.74,492,436.45,171.63,17.77,0,29.02,5.32,0,84.91,49.06,55.3,272.97,13.24,15.09,11.29,14.17,44.06,124424.69,2124.76,443.64,0,0,0,0
하츠,66130,Dec-14,932.74,2.53,-0.37,7.09,4.19,15.06,25.27,4.48,4.9,0,0,4.19,0.94,12.25,5.08,3.38,15.84,1.09,6.5,1.65,3.81,620.64,564.92,217.69,15.9,0,30.16,4.48,0,86.28,52.57,57.76,353.97,10.79,13.72,8.98,10.7,48.45,132267.99,31090.44,484.29,0,0,0,0
하츠,66130,Dec-15,1154.31,6.03,-3.21,16.11,4.59,7.29,24.47,4.86,5.46,0,0,4.67,0.96,13.34,5.18,3.69,17.43,1.12,6.72,1.59,3.56,587.36,534.51,168.78,17.5,0,40.65,6.48,0,85.11,57.56,63.25,316.97,12.65,14.89,9,10.84,52.48,111614.71,27609.26,447.68,0,0,0,0
하츠,66130,Dec-16,14686.64,6.46,2.69,8.31,4.28,8.13,23.5,4.64,5.4,0,0,4.54,0.98,12.34,4.61,4,17.4,1.16,6.2,1.53,3.68,507.28,456.61,111.62,19.95,0,19.34,3.39,0,83.37,57.92,64.35,430.63,15.22,16.63,9.99,12.44,51.66,115802.6,31720.25,481.53,0,0,0,0
하츠,66130,Dec-17,14686.64,3.43,6.83,5.13,5.58,15.5,21.92,4.44,5.69,0,0,4.79,1.08,11.33,4.55,4.41,20.75,1.28,6.84,1.66,3.92,581.25,506.66,181.28,17.51,0,5.55,0.78,0,85.1,57.01,65.41,479.53,13.22,14.9,12.83,15.5,54.15,106384.02,28518.94,459.9,0,0,0,0
하츠,66130,Dec-18,395.95,-1.72,-1.4,-0.84,-1.35,1.59,20.59,1.46,1.86,0,0,1.59,1.09,9.54,4.76,4.37,17.89,1.27,7.37,1.65,3.97,608.75,519.2,151.27,17.08,0,19.24,2.56,0,85.42,56.28,65.99,303.31,12.69,14.58,14.71,17.6,55.15,112984.46,31513.83,458.58,0,0,0,0
하츠,66130,Dec-19,148.76,3.16,-4.92,4.82,2.65,8.47,21.95,2.11,2.9,0,0,2.47,1.17,9.47,5.66,4.89,16.22,1.37,7.91,1.76,4.14,590.88,506.39,163.2,17.65,0,36.5,4.75,0,85,57.46,67.05,265.63,13.35,15,14.3,17.21,55.7,108323.05,33447.33,473.07,0,0,0,0
한국가구,4590,Dec-11,4.97,21.65,57.24,6.72,24.13,10.23,33.56,4.78,3.52,4.8,9.11,2.52,0.53,2.21,5.24,1.51,inf,0.74,1.85,1.38,4.23,270.47,157.09,42.1,38.66,10.43,5.17,3.01,13.83,72.12,20.88,35.96,inf,18.43,27.88,41.92,66.51,22.66,924706.68,31.29,2390.64,26.86731153,10.39,21.67,248443.82
한국가구,4590,Dec-12,5.67,5.61,11.38,6.3,11.44,0.22,34.27,8.67,5.46,4.7,10.06,4.05,0.47,2.07,4.75,1.17,inf,0.63,1.81,1.3,4.19,249.93,149.07,36.69,31.4,5.8,8.67,4.55,35.73,76.1,21.59,36.19,inf,19.03,23.9,40.36,67.27,21.71,920241.87,6374.63,2259.01,28.51838923,11.62,25.52,262438.16
한국가구,4590,Dec-13,8.27,-3.59,-1.24,-11.2,3.04,3.56,33.61,6.79,4.14,4.12,8.58,3.26,0.48,2.12,4.52,1.16,30.67,0.61,2.25,1.38,4.33,310.72,166.51,29.44,22.94,4.78,10.83,4.13,42.31,81.34,17.86,33.34,338.69,13.19,18.66,46.41,68.44,22.61,961254.17,21.92,2298.85,26.1979792,10.95,22.4,251829.17
한국가구,4590,Dec-14,38.53,5.31,-0.79,16.97,7.07,14.05,35.12,11.23,7.44,7.15,13.16,6.1,0.54,2.25,5.37,1.34,16.44,0.66,3.02,1.54,4.14,323.76,184.85,71.52,20.92,4.33,22.48,7.35,89.92,82.7,21.14,37.03,265.24,13.83,17.3,42.9,62.08,25.59,763344.58,14.49,1936.71,0,13.81,26.08,267437.78
한국가구,4590,Dec-15,50.43,6.12,-0.96,8.93,7.45,4.36,37.58,12.5,8.05,7.74,14.43,6.7,0.54,2.18,5.75,1.41,14.84,0.64,3.2,1.43,3.83,350.51,213.68,110.32,19.43,4.56,35.49,11.09,126.6,83.73,23.17,38.01,245.49,12.95,16.27,39.04,54.62,27.17,708799.15,5046.58,1926.83,0,15.08,28.95,290499.17
한국가구,4590,Dec-16,60.92,7.83,1.93,18.28,5.77,19.36,33.35,9.99,7.21,7.78,13.01,5.98,0.6,2.71,5.43,1.67,15.44,0.72,3.5,1.5,3.95,334.12,217.52,110.65,21.76,4.51,26.52,8.22,105.05,82.13,27.14,41.69,314.12,15.19,17.87,34.9,49.8,29.22,737646.74,5153.96,2122,40.56116119,14.1,24.46,299198.09
한국가구,4590,Dec-17,53.43,11.12,25.73,5.87,13.6,-4.74,34.72,10.01,6.27,6.67,12.83,5.21,0.52,2.35,4.7,1.4,14.05,0.63,3.08,1.28,3.32,399.37,255.26,146.15,19.11,4.17,23.08,7.49,88.83,83.96,25.39,39.73,278.7,11.85,16.04,36.08,48.14,29.78,947638.17,5266,2409.26,32.83435367,12.91,26.13,311150.87
한국가구,4590,Dec-18,44.98,21.37,-0.55,-16.28,6.8,10,34.71,12.29,7.69,6.94,14.14,6.03,0.49,2.49,5.15,1.39,31.19,0.63,2.28,1.49,4.47,372.57,213.43,40.31,35.36,14.73,14.78,8.62,26.21,73.88,15.7,27.4,inf,9.96,26.12,42.72,58.39,20.05,918459.34,5153.96,2861.89,38.58137641,12.38,27.65,354354.26
한국가구,4590,Dec-19,15.46,2.94,14.04,8.36,4.44,8.98,33.7,9.24,5.97,6.37,13.24,4.45,0.48,2.75,4.91,1.41,35.43,0.65,1.88,1.71,5.06,285.6,171.59,45.1,33.41,14.87,14.54,7.68,24.49,74.96,17.33,28.84,376.43,13.47,25.04,39.92,61.43,18.75,1157403.38,39.17,3296.72,32.48655416,11.41,24.05,376000.48
한국경제티브이,39340,Dec-11,365.55,3.66,-5.8,24.44,3.18,10.34,100,8.87,10.03,10.47,11.12,8.35,0.94,0,6.12,10.53,inf,1.13,5.63,2.33,6.16,313.94,313.94,44.29,20.36,2.39,69.88,12.78,494.79,83.09,44.07,44.07,inf,16.89,16.91,0,0,30.03,28877.16,0,339.12,127.4296121,10.85,11.73,36798.06
