,Unnamed: 0,회사명,거래소코드,회계년도,당기순이익(손실)(IFRS)(천원),당기순이익(손실)(IFRS연결)(천원),순이익증가률개별,순이익증가률연결,순이익증가율
86,86,(주)STX,11810,Dec-16,-456150000.0,-457446000.0,,,
87,87,(주)STX,11810,Dec-17,336179000.0,334386000.0,,,
88,88,(주)STX,11810,Dec-18,5024000.0,9107000.0,-98.51,-97.28,-97.28
89,89,(주)STX,11810,Dec-19,-37142000.0,-33218000.0,-839.29,-464.75,-464.75
90,90,(주)TCC스틸,2710,Dec-11,6828699.0,4557868.0,,,
91,91,(주)TCC스틸,2710,Dec-12,4206491.0,124581.0,-38.4,-97.27,-97.27
92,92,(주)TCC스틸,2710,Dec-13,391783.0,-19955830.0,-90.69,-16118.36,-16118.36
93,93,(주)TCC스틸,2710,Dec-14,1022624.0,-15813610.0,161.02,,
94,94,(주)TCC스틸,2710,Dec-15,-140083396.0,-110218983.0,-13798.43,,
95,95,(주)TCC스틸,2710,Dec-16,15468493.0,16948843.0,,,
96,96,(주)TCC스틸,2710,Dec-17,-2328706.0,1503708.0,-115.05,-91.13,-91.13
97,97,(주)TCC스틸,2710,Dec-18,7565000.0,9755131.0,,548.74,548.74
98,98,(주)TCC스틸,2710,Dec-19,1996130.0,5037267.0,-73.61,-48.36,-48.36
99,99,(주)가비아,79940,Dec-11,3262397.0,7014899.0,63.44,39.26,39.26
100,100,(주)가비아,79940,Dec-12,5737877.0,9419144.0,75.88,34.27,34.27
101,101,(주)가비아,79940,Dec-13,3786937.0,9505713.0,-34.0,0.92,0.92
102,102,(주)가비아,79940,Dec-14,3076978.0,6752737.0,-18.75,-28.96,-28.96
103,103,(주)가비아,79940,Dec-15,4288423.0,8530281.0,39.37,26.32,26.32
104,104,(주)가비아,79940,Dec-16,3544032.0,10177685.0,-17.36,19.31,19.31
105,105,(주)가비아,79940,Dec-17,2493743.0,9669613.0,-29.64,-4.99,-4.99
106,106,(주)가비아,79940,Dec-18,2762732.0,15340647.0,10.79,58.65,58.65
107,107,(주)가비아,79940,Dec-19,4654769.0,21102390.0,68.48,37.56,37.56
108,108,(주)강스템바이오텍,217730,Dec-15,-5754141.0,,-223.62,-47.35,-47.35
109,109,(주)강스템바이오텍,217730,Dec-16,-8300375.0,,,0.0,
110,110,(주)강스템바이오텍,217730,Dec-17,-10855842.0,-11531949.0,,-203.79,-203.79
111,111,(주)강스템바이오텍,217730,Dec-18,-13500909.0,-14294032.0,,,
112,112,(주)강스템바이오텍,217730,Dec-19,-25001590.0,-26394472.0,,,
113,113,(주)강원랜드,35250,Dec-11,393401121.0,381175313.0,,,
114,114,(주)강원랜드,35250,Dec-12,296503993.0,306228988.0,-24.63,-19.66,-19.66
115,115,(주)강원랜드,35250,Dec-13,293129468.0,297596347.0,-1.14,-2.82,-2.82
116,116,(주)강원랜드,35250,Dec-14,363815729.0,359348568.0,24.11,20.75,20.75
117,117,(주)강원랜드,35250,Dec-15,430459518.0,441629101.0,18.32,22.9,22.9
118,118,(주)강원랜드,35250,Dec-16,454998593.0,454533659.0,5.7,2.92,2.92
119,119,(주)강원랜드,35250,Dec-17,437096330.0,437540507.0,-3.93,-3.74,-3.74
120,120,(주)강원랜드,35250,Dec-18,297320114.0,297236881.0,-31.98,-32.07,-32.07
121,121,(주)강원랜드,35250,Dec-19,335609508.0,334653892.0,12.88,12.59,12.59
122,122,(주)강원에너지,114190,Nov-11,5754715.0,,-98.29,-96.68,-96.68
123,123,(주)강원에너지,114190,Dec-12,8974549.0,,55.95,0.0,55.95
124,124,(주)강원에너지,114190,Dec-13,3922208.0,,-56.3,0.0,-56.3
125,125,(주)강원에너지,114190,Dec-14,1123194.0,,-71.36,0.0,-71.36
126,126,(주)강원에너지,114190,Dec-15,885783.0,102482.0,-21.14,-99.08,-99.08
127,127,(주)강원에너지,114190,Dec-16,-762058.0,-1125371.0,-186.03,-1198.12,-1198.12
128,128,(주)강원에너지,114190,Dec-17,-6291307.0,-6451819.0,,,
129,129,(주)강원에너지,114190,Dec-18,1977524.0,1708887.0,,,
130,130,(주)강원에너지,114190,Dec-19,-33460765.0,-35647438.0,-1792.05,-2186.0,-2186.0
131,131,(주)갤럭시아에스엠,11420,Dec-11,3000743.0,2909464.0,,,
132,132,(주)갤럭시아에스엠,11420,Dec-12,223810.0,389023.0,-92.54,-86.63,-86.63
133,133,(주)갤럭시아에스엠,11420,Dec-13,-1420345.0,-1736750.0,-734.62,-546.44,-546.44
134,134,(주)갤럭시아에스엠,11420,Dec-14,-931106.0,-255270.0,,,
135,135,(주)갤럭시아에스엠,11420,Dec-15,2575902.0,1863773.0,,,
136,136,(주)갤럭시아에스엠,11420,Dec-16,-1562620.0,-1562620.0,-160.66,-183.84,-183.84
137,137,(주)갤럭시아에스엠,11420,Dec-17,-5899738.0,-5899738.0,,,
138,138,(주)갤럭시아에스엠,11420,Dec-18,-15678085.0,-16003255.0,,,
139,139,(주)갤럭시아에스엠,11420,Dec-19,-1375316.0,-1375316.0,,,
140,140,(주)경농,2100,Dec-11,3154155.0,509664.0,,,
141,141,(주)경농,2100,Dec-12,6590012.0,10310339.0,108.93,1922.97,1922.97
142,142,(주)경농,2100,Dec-13,13751960.0,13950249.0,108.68,35.3,35.3
143,143,(주)경농,2100,Dec-14,9271741.0,7099305.0,-32.58,-49.11,-49.11
144,144,(주)경농,2100,Dec-15,6488880.0,6980392.0,-30.01,-1.67,-1.67
145,145,(주)경농,2100,Dec-16,5770891.0,6365805.0,-11.06,-8.8,-8.8
146,146,(주)경농,2100,Dec-17,11539079.0,10079442.0,99.95,58.34,58.34
147,147,(주)경농,2100,Dec-18,9613575.0,4878426.0,-16.69,-51.6,-51.6
148,148,(주)경농,2100,Dec-19,7061857.0,4014664.0,-26.54,-17.71,-17.71
149,149,(주)경동나비엔,9450,Dec-11,9445090.0,9467023.0,33.75,135.81,135.81
150,150,(주)경동나비엔,9450,Dec-12,9214927.0,9169965.0,-2.44,-3.14,-3.14
151,151,(주)경동나비엔,9450,Dec-13,9251575.0,11129597.0,0.4,21.37,21.37
152,152,(주)경동나비엔,9450,Dec-14,9082312.0,9380054.0,-1.83,-15.72,-15.72
153,153,(주)경동나비엔,9450,Dec-15,19320742.0,16752000.0,112.73,78.59,78.59
154,154,(주)경동나비엔,9450,Dec-16,28636194.0,37469924.0,48.21,123.67,123.67
155,155,(주)경동나비엔,9450,Dec-17,16291264.0,27019124.0,-43.11,-27.89,-27.89
156,156,(주)경동나비엔,9450,Dec-18,22818064.0,24748538.0,40.06,-8.4,-8.4
157,157,(주)경동나비엔,9450,Dec-19,20474157.0,27852090.0,-10.27,12.54,12.54
158,158,(주)경동도시가스,267290,Dec-17,17678888.0,17798556.0,-13.65,-36.1,-36.1
159,159,(주)경동도시가스,267290,Dec-18,33981432.0,34164798.0,92.21,91.95,91.95
160,160,(주)경동도시가스,267290,Dec-19,24355132.0,24638348.0,-28.33,-27.88,-27.88
161,161,(주)경동인베스트,12320,Dec-11,50053289.0,30327559.0,105.51,23.09,23.09
162,162,(주)경동인베스트,12320,Dec-12,56917580.0,42879202.0,13.71,41.39,41.39
163,163,(주)경동인베스트,12320,Dec-13,46253877.0,49841905.0,-18.74,16.24,16.24
164,164,(주)경동인베스트,12320,Dec-14,44839494.0,75930406.0,-3.06,52.34,52.34
165,165,(주)경동인베스트,12320,Dec-15,-6095609.0,-21251390.0,-113.59,-127.99,-127.99
166,166,(주)경동인베스트,12320,Dec-16,16356641.0,19132415.0,,,
167,167,(주)경동인베스트,12320,Dec-17,7248447.0,51930860.0,-55.68,171.43,171.43
168,168,(주)경동인베스트,12320,Dec-18,1574966.0,29827973.0,-78.27,-42.56,-42.56
169,169,(주)경동인베스트,12320,Dec-19,-917643.0,8856009.0,-158.26,-70.31,-70.31
170,170,(주)경방,50,Dec-11,-1822388.0,-1131177.0,,-112.77,-112.77
171,171,(주)경방,50,Dec-12,-7074187.0,-7910168.0,,,
172,172,(주)경방,50,Dec-13,15103835.0,14574395.0,,,
173,173,(주)경방,50,Dec-14,14235818.0,11488471.0,-5.75,-21.17,-21.17
174,174,(주)경방,50,Dec-15,21604723.0,16692163.0,51.76,45.29,45.29
175,175,(주)경방,50,Dec-16,30977743.0,29474988.0,43.38,76.58,76.58
176,176,(주)경방,50,Dec-17,25679379.0,25315361.0,-17.1,-14.11,-14.11
