,회사명,거래소코드,회계년도,부실징후기업,한계기업
1990,(주)대양금속,9190,2009/12,1.0,1.0
2097,(주)대유에이텍,2880,2001/12,1.0,1.0
2119,(주)대유플러스,300,2001/12,1.0,1.0
2146,(주)대창,12800,2008/12,1.0,1.0
2171,(주)대창솔루션,96350,2013/12,1.0,1.0
2197,(주)대창스틸,140520,2019/12,1.0,1.0
2212,(주)대한항공,3490,2001/12,1.0,1.0
2262,(주)대호에이엘,69460,2013/12,1.0,1.0
2276,(주)대호특수강,21040,2007/12,1.0,1.0
2294,(주)더 미동,161570,2017/12,1.0,1.0
2317,(주)더블유아이,73570,2010/12,1.0,1.0
2330,(주)더존비즈온,12510,2001/12,1.0,1.0
2375,(주)덕성,4830,2019/12,1.0,1.0
2497,(주)동국에스엔씨,100130,2011/12,1.0,1.0
2528,(주)동방,4140,2002/12,1.0,1.0
2554,(주)동방선기,99410,2013/12,1.0,1.0
2631,(주)동성화인텍,33500,2018/12,1.0,1.0
2671,(주)동양,1520,2001/12,1.0,1.0
2728,(주)동우팜투테이블,88910,2003/12,1.0,1.0
2756,(주)동운아나텍,94170,2018/12,1.0,1.0
2825,(주)동진쎄미켐,5290,2007/12,1.0,1.0
2839,(주)두산,150,2001/12,1.0,1.0
2868,(주)두산테스나,131970,2016/12,1.0,1.0
2880,(주)두올,16740,2008/12,1.0,1.0
2906,(주)듀오백,73190,2015/12,1.0,1.0
2911,(주)드래곤플라이,30350,2000/12,1.0,1.0
2943,(주)드림씨아이에스,223250,2017/12,1.0,1.0
2951,(주)드림어스컴퍼니,60570,2006/12,1.0,1.0
2989,(주)디모아,16670,2001/12,1.0,1.0
3031,(주)디비아이엔씨,12030,2010/12,1.0,1.0
3070,(주)디아이,3160,2009/12,1.0,1.0
3108,(주)디아크,78590,2009/12,1.0,1.0
3127,(주)디알비동일,4840,2008/12,1.0,1.0
3161,(주)디에스앤엘,141020,2014/12,1.0,1.0
3202,(주)디에이피,66900,2007/12,1.0,1.0
3222,(주)디엔에이링크,127120,2014/12,1.0,1.0
3234,(주)디엔에프,92070,2010/12,1.0,1.0
3275,(주)디엠에스,68790,2012/12,1.0,1.0
3297,(주)디오,39840,2014/12,1.0,1.0
3318,(주)디이엔티,79810,2014/12,1.0,1.0
3336,(주)디지아이,43360,2012/12,1.0,1.0
3375,(주)디지틀조선일보,33130,2001/09,1.0,1.0
3437,(주)딥노이드,315640,2019/12,1.0,1.0
3442,(주)라온테크,232680,2013/12,1.0,1.0
3455,(주)라이온켐텍,171120,2006/12,1.0,1.0
3476,(주)라이트론,69540,2007/12,1.0,1.0
3495,(주)라파스,214260,2017/12,1.0,1.0
3518,(주)래몽래인,200350,2018/12,1.0,1.0
3532,(주)랩지노믹스,84650,2018/12,1.0,1.0
3541,(주)레고켐바이오사이언스,141080,2011/12,1.0,1.0
3553,(주)레드로버,60300,2003/12,1.0,1.0
3573,(주)레드캡투어,38390,2003/12,1.0,1.0
3592,(주)레몬,294140,2016/12,1.0,1.0
3616,(주)레인보우로보틱스,277810,2019/12,1.0,1.0
3680,(주)루멘스,38060,2018/12,1.0,1.0
3690,(주)루트로닉,85370,2012/12,1.0,1.0
3702,(주)룽투코리아,60240,2004/12,1.0,1.0
3746,(주)리더스코스메틱,16100,2008/12,1.0,1.0
3758,(주)리드,197210,2007/12,1.0,1.0
3768,(주)리드코프,12700,2000/12,1.0,1.0
3829,(주)마니커,27740,2007/12,1.0,1.0
3856,(주)마이크로디지탈,305090,2019/12,1.0,1.0
3869,(주)마이크로컨텍솔루션,98120,2017/12,1.0,1.0
3884,(주)마이크로프랜드,147760,2019/12,1.0,1.0
3930,(주)매직마이크로,127160,2016/12,1.0,1.0
3951,(주)머큐리,100590,2003/12,1.0,1.0
4006,(주)메디콕스,54180,2003/12,1.0,1.0
4042,(주)메디프론디비티,65650,2005/12,1.0,1.0
4064,(주)메지온,140410,2016/12,1.0,1.0
4087,(주)메타랩스,90370,2010/12,1.0,1.0
4125,(주)멕아이씨에스,58110,2016/12,1.0,1.0
4137,(주)멜파스,96640,2014/12,1.0,1.0
4143,(주)모나리자,12690,2000/12,1.0,1.0
4249,(주)모베이스전자,12860,2001/12,1.0,1.0
4274,(주)모비스,250060,2018/12,1.0,1.0
4291,(주)모아텍,33200,2013/12,1.0,1.0
4318,(주)모헨즈,6920,2001/12,1.0,1.0
4356,(주)무학,33920,2019/12,1.0,1.0
4366,(주)미래아이앤지,7120,2004/12,1.0,1.0
4388,(주)미래컴퍼니,49950,2007/12,1.0,1.0
4410,(주)미코,59090,2009/12,1.0,1.0
4423,(주)미코바이오메드,214610,2015/12,1.0,1.0
4435,(주)바른손,18700,2001/03,1.0,1.0
4454,(주)바른손이앤에이,35620,2000/12,1.0,1.0
4478,(주)바른전자,64520,2004/12,1.0,1.0
4504,(주)바이넥스,53030,2010/12,1.0,1.0
4519,(주)바이브컴퍼니,301300,2016/12,1.0,1.0
4525,(주)바이오니아,64550,2003/12,1.0,1.0
4559,(주)바이오솔루션,86820,2015/12,1.0,1.0
4568,(주)바이오스마트,38460,2004/12,1.0,1.0
4588,(주)바이오톡스텍,86040,2004/12,1.0,1.0
4625,(주)방림,3610,2001/09,1.0,1.0
