회사명,거래소코드,회계년도,총자산증가율(개별),총자산증가율(연결),유형자산증가율(연결),유형자산증가율(개별),유동자산증가율(연결),유동자산증가율(개별),재고자산증가율(개별),재고자산증가율(연결),자기자본증가율(연결),자기자본증가율(개별),순이익증가률(개별),순이익증가률(연결),매출액총이익률(IFRS),매출액총이익률(IFRS연결),매출액순이익률(IFRS),매출액순이익률(IFRS연결),자기자본순이익률(IFRS),자기자본순이익률(IFRS연결),총자본정상영업이익률(IFRS),총자본정상영업이익률(IFRS연결),매출액정상영업이익률(IFRS),매출액정상영업이익률(IFRS연결),총자본순이익률(IFRS),총자본순이익률(IFRS연결)
(주)파워로직스,47310,18-Dec,10.31091885,24.42707287,32.36447012,-10.427929,25.78596033,18.76630662,-9.088734265,27.65804526,14.71040346,15.239899,,160.96,7.34,9.67,3.17,3.17,14.46,13.95,5.38,8.42,2.42,3.48,7.05,7.68
(주)파워로직스,47310,19-Dec,5.18505252,19.13904304,28.53085946,21.95228221,9.743764529,2.603447436,-17.29462028,34.95078235,31.20596016,21.48458397,61.38,129.83,7.49,9.76,3.33,4.96,19.68,26.19,10.49,13.37,3.31,4.56,10.58,14.54
(주)파이오링크,170790,13-Dec,-87.98311199,-89.78371691,-98.62846896,-95.43833924,-82.96896282,-83.7922691,-65.17875699,-96.95630678,-86.76365955,-83.99867488,-86.14,-92.19,64.47,64.5,21.84,18.61,21.1,13.84,15.3,10.15,21.67,18.47,15.42,10.22
(주)파이오링크,170790,14-Dec,-8.305132923,-7.646252836,26.50878804,25.93451965,-19.1900146,-22.02680286,176.9744043,176.4424615,-10.82011184,-8.553545066,-38.27,-46.25,61.72,61.08,13.98,9.75,10.02,7.84,6.17,4.23,11.25,7.22,7.67,5.71
(주)파이오링크,170790,15-Dec,32.53940149,35.96559903,9.223322046,5.104296413,25.92873254,28.45576165,-21.22982151,-15.26196663,42.06604951,37.65376216,-207.53,-224.67,60.03,59.28,-15.77,-12.67,-9.5,-7.8,-3.6,-5.09,-7.67,-10.26,-7.41,-6.29
(주)파이오링크,170790,16-Dec,-9.956181621,-8.96104753,-7.844970579,-9.358637015,-3.641237967,-3.955673645,-41.78076193,-46.14562172,-9.777758516,-11.10551634,,,52.89,46.99,-10.03,-6.22,-7.45,-4.63,3.14,1.38,5.37,1.95,-5.87,-4.42
(주)파이오링크,170790,17-Dec,-7.707717471,-6.896954929,32.05724434,35.92931902,-6.164586507,-6.937669335,-2.575654771,-3.216020712,-10.6480196,-11.05983248,,,56.91,41.09,-16.11,-10.08,-8.74,-6.99,-3.75,-6.54,-8.97,-10.31,-6.73,-6.4
(주)파이오링크,170790,18-Dec,8.086669625,-100,-100,-5.921071084,-100,9.206305569,9.726512818,-100,-100,3.467806097,,,51.37,,1.33,,1.1,,2.52,,4.11,,0.81,
(주)파이오링크,170790,19-Dec,15.20879425,,,42.71976743,,14.8180809,-12.51202397,,,15.59950727,1449.18,0,47.67,,16.01,,15.59,,8.33,,11.82,,11.28,
(주)파인디앤씨,49120,11-Dec,91.13445222,,,557.7028359,,-6.880501533,92.55685999,,,39.83775336,-146.55,-98.3,0.01,2.38,-2.24,0.1,-4.74,0.28,-2.85,-2.4,-2.6,-1.84,-2.45,0.13
(주)파인디앤씨,49120,12-Dec,-12.36029965,-13.06930609,-4.34323931,-7.625370369,-35.50391135,-24.92478061,2.740386714,-3.762380713,-6.333926348,-12.93410296,,-1060.88,1.95,3.89,-11.18,-1.23,-12.82,-2.84,-5.02,-1.47,-8.28,-1.31,-6.77,-1.38
(주)파인디앤씨,49120,13-Dec,-22.68079912,-5.272249444,-24.7516827,-38.51063893,47.0446061,7.491283144,-26.91923809,16.62173146,-15.92620242,-29.41000047,,,3,3.08,-42.9,-9.34,-45.42,-25.49,-4.98,-1.87,-9.29,-1.49,-23.02,-11.75
(주)파인디앤씨,49120,14-Dec,-3.70895676,-15.29594202,-8.165581334,-3.326022391,-29.36630044,-14.73717202,26.79448729,8.863180839,9.024826692,8.806911738,,,15.87,8.58,2.47,1.04,3.55,3.82,4.02,7.87,5.45,4.35,1.82,1.87
(주)파인디앤씨,49120,15-Dec,-16.28656589,-3.550699115,7.58264037,2.262400797,-5.356067443,-33.79366369,-35.85675533,-18.19052672,-1.537321328,5.135191816,101.16,-84.01,30.62,8.76,4.47,0.2,6.68,0.59,8.98,1.58,9.9,0.97,4.05,0.33
(주)파인디앤씨,49120,16-Dec,49.71710382,25.4442457,45.97859761,42.70922206,47.92688018,109.4077751,69.03880093,35.40808332,-4.730407642,15.71449275,49.66,-1573.24,22.3,7.33,6.49,-2.85,9.04,-8.98,5.5,1.02,6.69,0.66,5.33,-4.42
(주)파인디앤씨,49120,17-Dec,3.712783534,-15.47365673,-12.83490682,15.34933983,-15.06575693,-3.529987788,20.47662436,-24.76253928,-24.6543512,-3.596137949,-418.7,,18.55,4.31,-19.6,-12.47,-27.36,-41.23,2,-5.02,2.82,-3.7,-13.91,-16.92
