회사명,거래소코드,회계년도,매출액수익,매출액수익연결,매출원가,매출원가연결,당기순이익손실,당기순이익손실연결,자본,자본연결,자산,자산연결,영업이익개별,영업이익연결,자본개별,자본연결_,자산개별,자산연결_,매출액영업이익률1,매출액영업이익률2,매출액영업이익률
(주)HJ중공업,97230,2013-12,1927307000.0,2529341000.0,1900927000.0,2464368000.0,-212716000.0,-190193000.0,1804609000.0,1638998000.0,5839633000.0,6683379000.0,-109107000,-69574000,1863529000.0,1715516000.0,5938108000.0,6585093000.0,-5.661111592496681,-2.7506769549855083,-2.7506769549855083
(주)HJ중공업,97230,2014-12,1799016000.0,2520325000.0,1798250000.0,2537259000.0,-225739000.0,-299811000.0,1761886000.0,1573076000.0,5469810000.0,6470284000.0,-106249000,-144988000,1804609000.0,1638998000.0,5839633000.0,6683379000.0,-5.905950808664292,-5.752750141350818,-5.752750141350818
(주)HJ중공업,97230,2015-12,2041347000.0,3115473000.0,1972358000.0,3004437000.0,-260118000.0,-260925000.0,1377529000.0,1368589000.0,4638381000.0,5914637000.0,-97810000,-79370000,1761886000.0,1573076000.0,5469810000.0,6470284000.0,-4.791444080795671,-2.547606735799026,-2.547606735799026
(주)HJ중공업,97230,2016-12,1928591000.0,2813271000.0,1776465000.0,2753545000.0,-334429000.0,-334446000.0,904150000.0,895183000.0,3921561000.0,5256464000.0,49319000,-79319000,1377529000.0,1368589000.0,4638381000.0,5914637000.0,2.5572555300735096,-2.8194582036355547,-2.8194582036355547
(주)HJ중공업,97230,2017-12,1737428000.0,2452314000.0,1545012000.0,2431066000.0,-299028000.0,-277978000.0,563410000.0,577198000.0,3312303000.0,4206655000.0,86683000,-116693000,904150000.0,895183000.0,3921561000.0,5256464000.0,4.989156385185458,-4.758485251073068,-4.758485251073068
(주)HJ중공업,97230,2018-12,1750954000.0,1697869000.0,1551132000.0,1557089000.0,-963474000.0,-1283647000.0,-398930000.0,-708186000.0,2388369000.0,2733620000.0,-66005000,61676000,563410000.0,577198000.0,3312303000.0,4206655000.0,-3.76965928288236,3.632553512667938,3.632553512667938
(주)HJ중공업,97230,2019-12,1609530000.0,1628751000.0,1439132000.0,1451267000.0,-73654000.0,306169000.0,247272000.0,244994000.0,2465650000.0,2470222000.0,77055000,83839000,-398930000.0,-708186000.0,2388369000.0,2733620000.0,4.787422415239232,5.147441198808166,5.147441198808166
(주)MH에탄올,23150,2011-12,43206995.0,44785159.0,32715976.0,37258514.0,3351943.0,-4357312.0,56161251.0,42667338.0,135927085.0,134206851.0,6908187,603259,52983762.0,46625147.0,127603795.0,134869380.0,15.988584718747509,1.3470064938253317,1.3470064938253317
(주)MH에탄올,23150,2012-12,45488675.0,59768175.0,35478357.0,49030452.0,2571700.0,287369.0,58712944.0,39678259.0,139200817.0,134385813.0,6518757,5451733,56161251.0,42667338.0,135927085.0,134206851.0,14.330505340065411,9.121464726001756,9.121464726001756
(주)MH에탄올,23150,2013-12,46298516.0,62199887.0,33247791.0,54316861.0,-11627211.0,7028234.0,47119925.0,45885523.0,122520742.0,129697936.0,9650241,3009742,58712944.0,39678259.0,139200817.0,134385813.0,20.84352120486972,4.838822295609637,4.838822295609637
(주)MH에탄올,23150,2014-12,48983781.0,48983781.0,37109977.0,37109977.0,4618332.0,-203193.0,52507884.0,52788681.0,85253876.0,85534839.0,8746818,8744851,47119925.0,45885523.0,122520742.0,129697936.0,17.8565595007866,17.852543885903785,17.852543885903785
(주)MH에탄올,23150,2015-12,50386203.0,50386203.0,36425005.0,36425005.0,7744832.0,7778593.0,57569789.0,57884347.0,78691328.0,78996052.0,11094172,11092013,52507884.0,52788681.0,85253876.0,85534839.0,22.018273534126,22.01398863097503,22.01398863097503
(주)MH에탄올,23150,2016-12,48897025.0,48897025.0,33962392.0,33962392.0,8134873.0,8144684.0,63257513.0,63581883.0,72025138.0,72339673.0,11876871,11874475,57569789.0,57884347.0,78691328.0,78996052.0,24.28955749352849,24.28465739991339,24.28465739991339
(주)MH에탄올,23150,2017-12,48270464.0,51977132.0,34577247.0,37225576.0,5903108.0,4308068.0,64698932.0,106837344.0,107437079.0,500180086.0,10452914,8116710,63257513.0,63581883.0,72025138.0,72339673.0,21.654886101778512,15.615925095674768,15.615925095674768
(주)MH에탄올,23150,2018-12,46943080.0,72795863.0,34331318.0,53524709.0,6553371.0,-12033428.0,68471529.0,91585473.0,109656889.0,440177523.0,9028515,1228204,64698932.0,106837344.0,107437079.0,500180086.0,19.232898650876766,1.6871892843690857,1.6871892843690857
(주)MH에탄올,23150,2019-12,46992295.0,80879342.0,35415661.0,54219181.0,-5004935.0,-7552043.0,59477642.0,79389077.0,101058662.0,451474451.0,7828586,7829103,68471529.0,91585473.0,109656889.0,440177523.0,16.659297018798508,9.679978603188932,9.679978603188932
(주)SH에너지화학,2360,2011-12,172752632.0,173209351.0,160574493.0,160789710.0,3164441.0,1800972.0,64498684.0,65242326.0,102383199.0,104710740.0,4987642,4165988,61538912.0,61526743.0,94473095.0,95617808.0,2.887158327058079,2.4051749954308184,2.4051749954308184
(주)SH에너지화학,2360,2012-12,191907628.0,193950102.0,178516652.0,178829327.0,1079738.0,210854.0,64888612.0,64881202.0,102492810.0,103690070.0,2874584,2183184,64498684.0,65242326.0,102383199.0,104710740.0,1.4978998125077132,1.1256420994302958,1.1256420994302958
(주)SH에너지화학,2360,2013-12,229783541.0,231912218.0,213397080.0,213952261.0,4841817.0,4606872.0,69781889.0,69599141.0,109984767.0,110488951.0,7203174,6424227,64888612.0,64881202.0,102492810.0,103690070.0,3.13476499171888,2.7701114910642612,2.7701114910642612
(주)SH에너지화학,2360,2014-12,226971465.0,230912587.0,196829927.0,197661842.0,15569914.0,16733050.0,83404299.0,84237197.0,109098264.0,110741407.0,20274503,21271908,69781889.0,69599141.0,109984767.0,110488951.0,8.932621992813061,9.21210414571294,9.21210414571294
(주)SH에너지화학,2360,2015-12,213882181.0,216441364.0,179081363.0,179135051.0,12639344.0,12590617.0,90740136.0,91646221.0,114048206.0,115520726.0,22899622,22950176,83404299.0,84237197.0,109098264.0,110741407.0,10.706652556530644,10.603414973858694,10.603414973858694
(주)SH에너지화학,2360,2016-12,214380015.0,218397677.0,179726464.0,179759098.0,17574101.0,18028878.0,103083032.0,104088887.0,122956894.0,124488724.0,23600206,24101160,90740136.0,91646221.0,114048206.0,115520726.0,11.008584918701493,11.035447048276067,11.035447048276067
(주)SH에너지화학,2360,2017-12,184672638.0,188114822.0,161711689.0,161824273.0,8905104.0,9879057.0,105717970.0,107693472.0,123261552.0,125312154.0,13189274,14181936,103083032.0,104088887.0,122956894.0,124488724.0,7.141975196130572,7.538978507499,7.538978507499
(주)SH에너지화학,2360,2018-12,180753289.0,183598766.0,169058462.0,171330094.0,2766802.0,2033570.0,104065473.0,105390892.0,120895795.0,122434685.0,2811557,2100670,105717970.0,107693472.0,123261552.0,125312154.0,1.5554665785362278,1.144163463495174,1.144163463495174
(주)SH에너지화학,2360,2019-12,138161816.0,140852575.0,131861388.0,134184400.0,-3151629.0,-3090151.0,97386214.0,98999976.0,121126250.0,123415832.0,-2363194,-3131128,104065473.0,105390892.0,120895795.0,122434685.0,-1.710453776895926,-2.222982433938464,-2.222982433938464
(주)SIMPAC,9160,2011-12,213867522.0,215365697.0,169699426.0,170409718.0,21196377.0,24976613.0,155833324.0,168941269.0,296953131.0,310879328.0,27382839,27346333,136119246.0,145325032.0,260176045.0,269452191.0,12.803645333301239,12.697627050606858,12.697627050606858
