,회사명,거래소코드,회계년도,노동장비율(개별),노동장비율(연결),기계장비율(개별),기계장비율(연결),자본집약도(개별),자본집약도(연결),노동소득분배율(개별),노동소득분배율(연결),설비투자효율(개별),설비투자효율(연결),총자본투자효율(개별),총자본투자효율(연결),기계투자효율(개별),기계투자효율(연결),부가가치율(개별),부가가치율(연결)
8573,(주)한국큐빅,21650,16-Dec,75085.71631,296992.2979,87159.19149,61103.65957,380310.2766,747208.2837,0.000862537,0.000645536,68.88722733,56.31850806,0.13600597,0.223848738,0.593448232,2.737342286,0.369629366,0.191847157
8574,(주)한국큐빅,21650,17-Dec,68369.94521,343418.7055,5808.773973,50839.38356,516332.3493,985745.1507,0.000676909,0.000653009,101.6686816,49.19897794,0.134624185,0.1714018,11.96652207,3.323378084,0.397979191,0.160428819
8575,(주)한국큐빅,21650,18-Dec,65615.80137,430283.4178,5312.109589,89420.06849,532154.7329,964298.1301,0.000716292,0.000645693,104.829097,39.98721518,0.129256488,0.17842859,12.94861315,1.924158179,0.388045731,0.152863631
8576,(주)한국큐빅,21650,19-Dec,32622.22297,370142.3784,11177.58108,80950.99324,516271,885855.277,0.000584405,0.000575672,283.5844575,55.99477863,0.179191847,0.23396644,8.276527218,2.560319486,0.453908633,0.195626906
8577,(주)한국테크놀로지,53590,11-Dec,17199.73684,17199.73684,412.7631579,412.7631579,492735.0658,495483.5921,-0.0003207,-0.000375746,-738.7222877,-650.3258924,-0.257863299,-0.225747823,-307.8237169,-270.9891616,-1.879441603,-1.654545366
8578,(주)한국테크놀로지,53590,12-Dec,16662.12048,,377.9518072,,573853.2169,,-0.000839022,,-342.376764,,-0.099410838,,-150.9378387,,-0.837204253,
8579,(주)한국테크놀로지,53590,13-Dec,33275.41026,,804.3589744,,864315.1795,,-0.000538846,,-454.3641605,,-0.174926395,,-187.9652534,,-0.946819816,
8580,(주)한국테크놀로지,53590,14-Dec,10700.02564,,804.3589744,,943826.7436,,0.000612912,,1081.475961,,0.122605347,,143.8638827,,0.21556706,
8581,(주)한국테크놀로지,53590,15-Dec,63929.57895,,550.3508772,,658034.2105,,-0.000178654,,-544.1763497,,-0.528680186,,-632.1233663,,-2.751022319,
8582,(주)한국테크놀로지,53590,16-Dec,37507.68421,,412.7631579,,512683.6842,,-0.001712549,,-107.2257474,,-0.078445825,,-97.43576666,,-0.68250902,
8583,(주)한국테크놀로지,53590,17-Dec,12077.23077,,0,,1254347.538,,-0.000748305,,-1035.171078,,-0.099669347,,,,-0.675104399,
8584,(주)한국테크놀로지,53590,18-Dec,9722.961538,,0,,668502,,-7.37E-05,,-6438.142067,,-0.936389236,,,,-2.816483477,
8585,(주)한국테크놀로지,53590,19-Dec,46763.64865,90282.81081,0,202.7027027,1733913.432,4518384.757,-0.00063107,0.00173052,-339.0610055,397.3079788,-0.09144476,0.079386956,,1769.590667,-1.266613094,0.061373676
8586,(주)한국특강,7280,11-Dec,792956.0652,,483778.3261,,1404439.186,,0.000406639,,20.54689502,,0.116009188,,0.336782037,,0.097059648,
8587,(주)한국특강,7280,12-Dec,740981.3957,,481364.4739,,1312367.915,,0.000418697,,22.38034841,,0.126362597,,0.344508635,,0.108061616,
8588,(주)한국특강,7280,13-Dec,697035.1906,,484040.2118,,1253910.96,,0.000620407,,19.22090145,,0.106846859,,0.276787845,,0.10108002,
8589,(주)한국특강,7280,14-Dec,688528.4005,,523270.6667,,1200773.516,,0.000597741,,18.8449809,,0.108057884,,0.247965449,,0.124889209,
8590,(주)한국특강,7280,15-Dec,651145.343,,576484.8127,,1003333.633,,0.008352222,,1.466520825,,0.009517454,,0.016564499,,0.012911517,
8591,(주)한국특강,7280,16-Dec,590862.1611,,607598.3722,,987827.9083,,0.000476372,,24.58454566,,0.147050692,,0.239073678,,0.211550676,
8592,(주)한국특강,7280,17-Dec,525854.5884,,577321.058,,907948.6016,,0.000438994,,30.58775706,,0.177154438,,0.278609487,,0.176052392,
8593,(주)한국특강,7280,18-Dec,540568.5108,,594370.664,,918583.5376,,0.000587565,,24.04109739,,0.141477173,,0.218649086,,0.132463769,
8594,(주)한국특강,7280,19-Dec,490875.7016,,583639.8927,,820767.9817,,0.000929235,,16.74783389,,0.100163565,,0.140859198,,0.080325529,
8595,(주)한국팩키지,37230,11-Dec,137074.7909,,212784.5636,,511109.8727,,0.000502181,,89.96720901,,0.24128347,,0.579564427,,0.227094519,
