회사명,거래소코드,회계년도,총자산증가율,유형자산증가율,유동자산증가율,재고자산증가율,자기자본증가율,순이익증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본정상영업이익율,매출액정상영업이익율,총자본순이익율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율
(주)메카로,241770,18-Dec,9.74,68.83,-4.32,7.99,15.15,159.15,52.73,28.65,20.82,21.98,33.66,18.71,926.04,780.05,681,10.74,0.32,165.51,24.58,4940.62,90.3,0.78,2.82,13.37,3.28,44.03,0.78,5.82,
(주)메카로,241770,19-Dec,4.06,91.08,-30.51,-31.26,3.52,-72.74,41.78,10.83,5.89,5.45,11.81,5,660.66,557.63,471.31,11.31,0.91,121.58,27.3,1356.36,89.84,0.51,2.86,10.36,1.29,37.97,0.51,4.65,0.77
(주)메타랩스,90370,11-Dec,7.55,-52.88,60.67,483.13,-50.76,-93.9,63.94,0.32,0.68,3.14,3.34,0.3,129.3,56.12,1.72,143.14,30.69,-1.43,-0.96,-2.74,41.13,2.14,0.84,6.49,4.35,5.7,2.14,1.68,1.35
(주)메타랩스,90370,12-Dec,-9.79,-10.71,-7.35,-7.35,-19.45,-5621.08,61.67,-18.14,-41.31,-5.02,-5.65,-16.13,142.53,61.86,16.61,172.3,38.03,-6.56,-4.43,-10.91,36.72,2.28,0.83,5.44,4.44,5.55,2.28,1.46,1.22
(주)메타랩스,90370,13-Dec,-9.05,-3.81,-12.53,0.26,-7.36,,64.22,-7.84,-20.16,2.16,2.27,-7.47,116.22,40.82,3.14,167.34,30.54,-3.56,-2.23,-7.3,37.41,2.57,0.78,5.79,4.65,5.62,2.57,1.51,1.31
(주)메타랩스,90370,14-Dec,2.47,-19.78,10.83,13.97,3.88,,65.31,-3.16,-7.49,1.53,1.71,-2.82,178.17,59.31,10.12,163.71,35.49,-4.6,-3.23,-8.05,37.92,2.37,0.64,5.77,4.76,5.09,2.37,1.43,1.21
(주)메타랩스,90370,15-Dec,-21.25,-5.85,-21.44,-23.95,-64.28,,48.31,-31.65,-98.51,-18.97,-21.16,-28.36,107.54,38.09,7.35,481.33,47.12,-9.91,-8.07,-17.42,17.2,3.11,0.92,5.84,5,5.33,3.11,1.26,1.17
(주)메타랩스,90370,16-Dec,-32.75,-10.53,-39.22,-53.88,19.18,,36.48,-42.6,-182.44,-34.08,-35.3,-41.13,111.76,57,32.33,228.03,35.19,-16.79,-9.72,-33.16,30.48,4.28,1.42,6.53,4.32,6.01,4.28,1.25,1.31
(주)메타랩스,90370,17-Dec,-35.53,-31.33,-47.35,-69.18,29.78,,31,-141.39,-141.25,-25.27,-59.4,-60.16,157.78,112.52,53.69,62.95,12.44,-48.38,-34.44,-150.2,61.37,1,1.09,4.45,1.58,3.51,1,0.74,0.66
(주)메타랩스,90370,18-Dec,116.63,-74.71,48.93,-60.02,141.41,,40.2,-29.58,-27.64,-11.19,-18.48,-17.91,143.08,132.06,56.66,46.23,19.41,-22.69,-16.22,-36.96,68.39,0.91,5.04,8.88,5.47,14.5,0.91,1.79,1.36
(주)메타랩스,90370,19-Dec,-8.23,-34.58,-14.84,48.71,-19.99,,33.48,-29.19,-40.07,-1.96,-2.32,-24.7,144.47,125.04,25.01,67.71,28.74,-13.76,-6.28,-19.33,59.63,1.32,14.46,8.79,30.06,158.3,1.32,2.36,2.25
(주)메타바이오메드,59210,11-Dec,-45.17,1142.92,-46.04,18.85,-33.38,,48.07,4.06,3.41,5.61,11.08,2.06,146.64,103.21,16.2,38.01,22.35,22.45,12.3,27.67,72.46,0.76,2.7,3.31,0.99,52.21,0.76,1.52,1.35
(주)메타바이오메드,59210,12-Dec,91.93,81.93,21.95,26.53,4.71,101.61,35.54,4.95,5.99,5.73,10.07,2.82,54.36,37.65,4.16,152.97,48.18,6.34,8.86,7.96,39.53,1.12,4.49,4.09,1.12,13.81,1.12,1.16,2.1
(주)메타바이오메드,59210,13-Dec,12.91,-0.21,49.72,10.43,8.93,-1.3,29.84,3.45,5.21,4.09,7.09,1.99,65.68,50.79,4.75,162.22,49.28,5.22,5.94,6.55,38.14,1.49,5.89,4.61,1.23,10.79,1.49,0.94,2.18
(주)메타바이오메드,59210,14-Dec,-1.48,1.5,6.95,16.43,-0.75,-318.08,27.85,-7.78,-11.46,-0.13,-0.25,-4.12,82.73,62.32,1.15,160.29,49.16,2.41,2.78,3.02,38.42,1.38,5.16,3.99,1.18,9.51,1.38,0.86,1.69
(주)메타바이오메드,59210,15-Dec,-1.11,1.08,-6.95,69.87,17.64,-30.9,37.62,1.41,1.72,6.25,10.42,0.85,66.74,36.67,2.72,118.81,43.22,3.75,3.38,4.71,45.7,1.43,3.43,4.52,1.3,10.48,1.43,1.03,1.9
(주)메타바이오메드,59210,16-Dec,5.53,-12.33,34.08,-0.5,1.59,-22.79,36.12,1.14,1.25,3.44,6.11,0.64,82.12,54.66,6.19,127.3,43.73,7.41,7.58,9.49,43.99,1.26,2.68,4.58,1.32,10.37,1.26,1.02,1.61
(주)메타바이오메드,59210,17-Dec,-0.34,3.5,-6.67,-6.32,-10.51,-630.55,31.69,-6.08,-8.41,1.95,3.57,-3.31,78.53,52.18,9.85,153.12,50.12,3.3,3.66,3.99,39.51,1.31,2.95,4.63,1.38,11.9,1.31,0.94,1.45
(주)메타바이오메드,59210,18-Dec,-18.36,-15.57,-7.64,-10.07,8.53,,28.4,-1.74,-2.39,-2.12,-3.6,-1.02,98.84,66.55,13.47,90.41,37.2,-5.96,-4.33,-7.61,52.52,1.29,3.29,4.41,1.44,18.13,1.29,1.07,1.52
(주)메타바이오메드,59210,19-Dec,5.73,7.83,2.62,15.3,6.93,547.31,44.01,6.02,6.48,5.72,9.69,3.56,105.05,66.49,5.97,88.28,37.24,-2.5,-2.04,-3.14,53.11,1.12,2.35,3.55,1.41,18.83,1.12,1.25,1.46
(주)멕아이씨에스,58110,15-Dec,-100,-100,-100,-100,-100,210.98,46.09,28.85,25.33,-1.99,-4.8,11.97,216.73,150.84,102.51,111.58,48.44,0.84,1.07,0.91,47.26,,,,,,,,
(주)멕아이씨에스,58110,16-Dec,17.29,-1.76,60.54,35.85,0.38,-116.31,42.54,-22.88,-18.13,-5.91,-18.67,-7.24,671.9,495.24,360.8,153.83,54.99,-14.67,-28.1,-16.17,39.4,0.77,2.09,5.65,0.66,21.12,0.77,0.6,
(주)멕아이씨에스,58110,17-Dec,-9.15,0.04,-17.62,0.98,-19.93,,41.38,-22.77,-21.98,-4.28,-11.89,-8.2,794.99,538.75,341.89,188,60.4,-10.68,-18.43,-11.54,34.72,0.97,1.9,5.04,0.71,22.81,0.97,0.57,0.94
(주)멕아이씨에스,58110,18-Dec,7.46,9.95,-0.25,46.33,-30.59,,38.92,-31.58,-41.83,-7.74,-20.93,-11.68,106.16,55.96,13.32,345.85,62.43,-6.75,-14.66,-8.39,22.43,1.3,1.63,3.78,0.69,11.61,1.3,0.52,1.06
(주)멕아이씨에스,58110,19-Dec,1.68,2.15,-0.59,-3.7,-23.57,,43.01,-13.13,-31.4,-0.86,-1.64,-6.85,74.92,40.6,5.54,493.19,67.5,-5.78,-9.29,-7.12,16.86,2.66,1.92,3.98,0.96,10.14,2.66,0.65,1.57
(주)멜파스,96640,11-Dec,-100,-100,-100,-100,-100,,14.33,5.82,10.89,7.67,5.69,7.85,132.07,68.61,11.62,46.75,12,31.47,8.07,83.59,68.14,1.87,7.62,7.71,3.26,8.21,1.87,4.83,
(주)멜파스,96640,12-Dec,63.64,16.8,138.83,106.83,13.87,0,13.44,3.63,9.24,8.77,6.22,5.11,116.55,68.06,20.25,110.9,22.87,1.38,0.64,3.17,47.42,2.55,5.2,8.18,3.77,6.38,2.55,3.15,
(주)멜파스,96640,13-Dec,-4.29,1.52,-13.07,-2.43,-8.67,0,4.34,-2.02,-10.5,0.97,0.4,-4.87,115.74,61.68,26.13,121.03,30.33,4.47,1,8.06,45.24,5.19,8.94,15.54,7.2,10.09,5.19,4.48,
(주)멜파스,96640,14-Dec,-32.48,-31.86,-45.36,-51.57,-18.88,0,1.64,-10.13,-20.81,-7.93,-7.89,-10.18,99.11,58.08,32.85,83.97,36.83,14.44,5.29,17.9,54.36,2.05,4.29,10.48,2.91,6.25,2.05,1.97,
(주)멜파스,96640,15-Dec,-29.36,-24.92,-41.72,-29.22,-35.72,0,6.37,-27.7,-40.91,-6.6,-8.54,-21.41,98.86,49.15,13.07,102.17,43.45,6.15,3.33,7.15,49.46,1.48,3.88,12.85,2.17,12.06,1.48,1.62,
(주)멜파스,96640,16-Dec,-1.13,-11.96,-9.13,-15.36,24.41,0,23.58,1.61,1.57,0.62,1.15,0.88,138.54,73.66,7.88,60.67,31.55,0.57,0.39,0.68,62.24,0.97,2.4,7.97,1.56,10.56,0.97,1.23,
(주)멜파스,96640,17-Dec,-21,-47.67,-20.08,-80.23,-27.11,0,-19.73,-56.48,-38.47,-20.31,-49.6,-23.13,81.27,71.86,2.62,74.14,36.55,-2.95,-2.7,-3.43,57.43,0.68,4.58,7.06,1.46,8.53,0.68,1.03,
(주)멜파스,96640,18-Dec,-29.11,-17.08,-65.23,-47.32,-45.35,0,-2.28,-60.84,-57.8,-12.64,-25.6,-30.04,30.44,25.1,9.86,125.88,38.77,-15.52,-14.54,-22.31,44.27,0.95,14.13,10.67,2.12,8.18,0.95,1.03,
(주)멜파스,96640,19-Dec,-6.54,-17.73,21.82,198.1,-20.34,-205.91,16.15,-15.48,-39.09,5.03,5.28,-14.75,35.64,20.33,5.69,165,38.78,-0.17,-0.11,-0.27,37.74,2.24,12.62,15.92,3.84,8.85,2.24,1.56,
(주)모나리자,12690,11-Dec,-100,-100,-100,-100,-100,,23.06,4.37,13.58,11.71,5.84,8.77,127.93,84.44,9.6,45.41,9.53,48.59,7.38,159.27,68.77,3.11,11.84,7.77,4.03,16.59,3.11,5.66,
(주)모나리자,12690,12-Dec,7.8,2.74,20.78,24.04,19.68,0,25.18,7.07,20.94,18.5,8.59,15.22,196.72,128.04,17.55,30.97,3.85,58.3,6.64,357.89,76.36,2.96,11.02,8.69,3.91,20.35,2.96,7.89,
