회사명,거래소코드,회계년도,이자보상배율
골프존뉴딘홀딩스,121440,Dec-12,31.08
골프존뉴딘홀딩스,121440,Dec-13,25.98
골프존뉴딘홀딩스,121440,Dec-14,22.05
골프존뉴딘홀딩스,121440,Dec-15,-1.54
골프존뉴딘홀딩스,121440,Dec-16,5.22
골프존뉴딘홀딩스,121440,Dec-17,2.81
골프존뉴딘홀딩스,121440,Dec-18,0.15
골프존뉴딘홀딩스,121440,Dec-19,-0.36
광림,14200,Dec-11,4.55
광림,14200,Dec-12,1.71
광림,14200,Dec-13,6.18
광림,14200,Dec-14,0.7
광림,14200,Dec-15,0.43
광림,14200,Dec-16,0.16
광림,14200,Dec-17,-3.19
광림,14200,Dec-18,-0.23
광림,14200,Dec-19,-2.3
광명전기,17040,Dec-11,0.38
광명전기,17040,Dec-12,3.63
광명전기,17040,Dec-13,11.84
광명전기,17040,Dec-14,19.42
광명전기,17040,Dec-15,20.92
광명전기,17040,Dec-16,10.52
광명전기,17040,Dec-17,5.78
광명전기,17040,Dec-18,3.61
광명전기,17040,Dec-19,21.67
광무,29480,Dec-11,-3.01
광무,29480,Dec-12,-2.69
광무,29480,Dec-13,-8.2
광무,29480,Dec-14,1.12
광무,29480,Dec-15,-0.8
광무,29480,Dec-16,1.93
광무,29480,Dec-17,0.32
광무,29480,Dec-18,-3.19
광무,29480,Dec-19,-2.9
광신세계,37710,Dec-11,715.98
광신세계,37710,Dec-12,715.98
광신세계,37710,Dec-13,13.07
광신세계,37710,Dec-14,10.46
광신세계,37710,Dec-15,15.34
광신세계,37710,Dec-16,30.68
광신세계,37710,Dec-17,86.86
광신세계,37710,Dec-18,715.98
광신세계,37710,Dec-19,193.26
구영테크,53270,Dec-11,0.96
구영테크,53270,Dec-12,1.29
구영테크,53270,Dec-13,1.39
구영테크,53270,Dec-14,1.38
구영테크,53270,Dec-15,1.97
구영테크,53270,Dec-16,1.65
구영테크,53270,Dec-17,2.37
구영테크,53270,Dec-18,1.47
구영테크,53270,Dec-19,1.33
국동,5320,Dec-11,0.5
국동,5320,Dec-12,3.42
국동,5320,Dec-13,3.64
국동,5320,Dec-14,5.32
국동,5320,Dec-15,4.08
국동,5320,Dec-16,5.25
국동,5320,Dec-17,-2.28
국동,5320,Dec-18,2.53
국동,5320,Dec-19,-1.78
국보,1140,Dec-11,0.75
국보,1140,Dec-12,0.64
국보,1140,Dec-13,0.36
국보,1140,Dec-14,-1.31
국보,1140,Dec-15,-1.55
국보,1140,Dec-16,0.14
국보,1140,Dec-17,-2.66
국보,1140,Dec-18,-4.03
국보,1140,Dec-19,-0.35
국보디자인,66620,Dec-11,238.18
국보디자인,66620,Dec-12,2003.29
