,회사명,거래소코드,회계년도,* (정상)영업손익(보고서기재)(IFRS)(천원),* (정상)영업손익(보고서기재)(IFRS연결)(천원),이자비용(*)(IFRS)(천원),이자비용(*)(IFRS연결)(천원),이자지급(-)(IFRS)(천원),이자지급(-)(IFRS연결)(천원),이보배개별,이보배연결,이보배개별지급,이보배연결지급,이보배그냥,이보배지급,이자보상배율
14880,에스엔케이폴리텍(주),91340,2019-12,1785171.0,25689189.0,726898.0,5353798.0,-728081.0,-3324190.0,2.455875514859031,4.798311217569284,2.4518851611290504,0.5370243578134823,4.798311217569284,0.5370243578134823,4.798311217569284
14881,에스엔케이폴리텍(주),91340,2020-12,-2648067.0,3500286.0,686026.0,2942376.0,-699166.0,-3175937.0,-3.8600096789334515,1.1896120686139364,-3.7874653515760204,-0.8337907836333025,1.1896120686139364,-0.8337907836333025,1.1896120686139364
14882,에스엘(주),5850,2010-03,17188529.0,78214851.0,0.0,0.0,0.0,0.0,27384.825651830393,14.123270278183293,1704593.1639344261,13.21782939419914,14.123270278183293,13.21782939419914,14.123270278183293
14883,에스엘(주),5850,2011-03,33843436.0,66440317.0,0.0,0.0,-4134271.0,-6949778.0,27384.825651830393,14.123270278183293,8.186071014696424,4.869714687289292,14.123270278183293,4.869714687289292,14.123270278183293
14884,에스엘(주),5850,2012-12,10597783.0,37144570.0,0.0,0.0,-2311381.0,-7583205.0,27384.825651830393,14.123270278183293,4.5850437465740175,1.3975334967207138,14.123270278183293,1.3975334967207138,14.123270278183293
14885,에스엘(주),5850,2013-12,8627243.0,35300478.0,0.0,0.0,-554019.0,-7059903.0,27384.825651830393,14.123270278183293,15.572106732801583,1.2220058830836629,14.123270278183293,1.2220058830836629,14.123270278183293
14886,에스엘(주),5850,2014-12,19173286.0,59710128.0,33414.0,4895146.0,-36173.0,-4897905.0,573.8099598970491,12.197823721703092,530.0441213059464,3.9145891968096564,12.197823721703092,3.9145891968096564,12.197823721703092
14887,에스엘(주),5850,2015-12,25808280.0,63278306.0,7553.0,5521984.0,-7553.0,-5521984.0,3416.957500330994,11.459342511676962,3416.957500330994,4.673733208933601,11.459342511676962,4.673733208933601,11.459342511676962
14888,에스엘(주),5850,2016-12,32585237.0,111478489.0,5891.0,7893249.0,-5891.0,-7893249.0,5531.359191987778,14.123270278183293,5531.359191987778,4.1282413617003595,14.123270278183293,4.1282413617003595,14.123270278183293
14889,에스엘(주),5850,2017-12,32846469.0,63359409.0,2519.0,7266640.0,-2519.0,-7266640.0,13039.487495037713,8.719216721896228,13039.487495037713,4.520172872194026,8.719216721896228,4.520172872194026,8.719216721896228
14890,에스엘(주),5850,2018-12,5529595.0,4577368.0,1996.0,8661854.0,-1996.0,-8661854.0,2770.3381763527054,0.528451299225316,2770.3381763527054,0.6383846922379435,0.528451299225316,0.6383846922379435,0.528451299225316
14891,에스엘(주),5850,2019-12,44312454.0,43601604.0,11527.0,10503913.0,-1044.0,-10289596.0,3844.231283074521,4.150986779879079,42444.879310344826,4.306530013423267,4.150986779879079,4.306530013423267,4.150986779879079
14892,에스엘(주),5850,2020-12,103980183.0,93164164.0,3797.0,8082672.0,-61.0,-7866661.0,27384.825651830393,11.526406614050403,1704593.1639344261,13.21782939419914,11.526406614050403,13.21782939419914,11.526406614050403
14893,에스와이(주),109610,2015-12,9984702.0,14956104.0,1823947.0,4279038.0,-1857511.0,-4464938.0,5.474228143690579,3.495202426339752,5.375312447678641,2.236246505550581,3.495202426339752,2.236246505550581,3.495202426339752
14894,에스와이(주),109610,2016-12,6488821.0,9241387.0,1795259.0,4839975.0,-1811145.0,-4753982.0,3.6144205376494423,1.909387341876766,3.5827175626468337,1.364923342158216,1.909387341876766,1.364923342158216,1.909387341876766
14895,에스와이(주),109610,2017-12,7152831.0,9516191.0,2672285.0,4798934.0,-2550665.0,-4593622.0,2.6766722112349544,1.982980178514645,2.8043004471382953,1.5571222447123425,1.982980178514645,1.5571222447123425,1.982980178514645
14896,에스와이(주),109610,2018-12,6658983.0,9131032.0,3447681.0,4882803.0,-3466932.0,-4788397.0,1.931438262414649,1.8700389919478628,1.9207134723150037,1.390649731006013,1.8700389919478628,1.390649731006013,1.8700389919478628
14897,에스와이(주),109610,2019-12,-11539632.0,-8412199.0,6812795.0,8672933.0,-6653351.0,-8781730.0,-1.6938175888163376,-0.969937044365499,-1.7344090218598116,-1.3140499650979933,-0.969937044365499,-1.3140499650979933,-0.969937044365499
14898,에스와이(주),109610,2020-12,-788149.0,-12463843.0,6318080.0,8693369.0,-4124334.0,-6669722.0,-0.12474501747366289,-1.4337183892688783,-0.19109727776654364,-0.1181681935169112,-1.4337183892688783,-0.1181681935169112,-1.4337183892688783
14899,에스지씨에너지(주),5090,2010-12,22382781.0,,0.0,,-4508261.0,,1.5392790613010512,,4.96483699590596,,1.5392790613010512,4.96483699590596,1.5392790613010512
14900,에스지씨에너지(주),5090,2011-12,13188541.0,,0.0,,-7925463.0,,1.5392790613010512,,1.6640719917561915,,1.5392790613010512,1.6640719917561915,1.5392790613010512
14901,에스지씨에너지(주),5090,2012-12,11606989.0,,0.0,,-10959942.0,,1.5392790613010512,,1.0590374474609445,,1.5392790613010512,1.0590374474609445,1.5392790613010512
14902,에스지씨에너지(주),5090,2013-12,14845181.0,14671708.0,12126023.0,12486434.0,-12062005.0,-12737069.0,1.2242415340957213,1.1750118568680217,1.2307390852515814,1.1655099772168935,1.1750118568680217,1.1655099772168935,1.1750118568680217
14903,에스지씨에너지(주),5090,2014-12,8531682.0,8944814.0,11871258.0,16180915.0,-11723091.0,-16628531.0,0.7186839002235483,0.5528002588234349,0.7277672757125233,0.5130749072182023,0.5528002588234349,0.5130749072182023,0.5528002588234349
14904,에스지씨에너지(주),5090,2015-12,16202279.0,14971835.0,10525888.0,14525215.0,-10530759.0,-14700268.0,1.5392790613010512,1.0307479097555527,1.5385670681476995,1.1021757562515186,1.0307479097555527,1.1021757562515186,1.0307479097555527
