,Unnamed: 0,회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),이자보상배율(이자비용)(IFRS연결),이자보상배율,한계기업
14143,14143,포스코스틸리온(주),58430,11-Dec,-5.73,-5.73,-5.73,1.0
14368,14368,한국전력공사(주),15760,13-Dec,0.17,0.64,0.64,1.0
14405,14405,한국정밀기계(주),101680,14-Dec,-18.03,-18.03,-18.03,1.0
14411,14411,한국정보공학(주),39740,11-Dec,2.25,-1.85,-1.85,1.0
14452,14452,한국주강(주),25890,19-Dec,-13.08,-13.08,-13.08,1.0
14453,14453,한국주철관공업(주),970,11-Mar,1.9,0.23,0.23,1.0
14471,14471,한국철강(주),104700,11-Dec,-26.91,-26.91,-26.91,1.0
14533,14533,한국화장품(주),123690,13-Dec,-1.04,-5.31,-5.31,1.0
14644,14644,한솔테크닉스(주),4710,13-Dec,-0.61,-0.77,-0.77,1.0
14725,14725,한올바이오파마(주),9420,13-Dec,-9.34,-9.45,-9.45,1.0
14758,14758,한일사료(주),5860,19-Dec,0.55,0.55,0.55,1.0
14763,14763,한일철강(주),2220,13-Dec,0.68,0.53,0.53,1.0
14770,14770,한일현대시멘트(주),6390,11-Dec,0.93,0.28,0.28,1.0
14827,14827,한화솔루션(주),9830,14-Dec,0.48,0.66,0.66,1.0
14862,14862,해성옵틱스(주),76610,19-Dec,0.87,0.31,0.31,1.0
14912,14912,현대로템(주),64350,19-Dec,-8.33,-5.73,-5.73,1.0
14925,14925,현대바이오사이언스(주),48410,13-Dec,-18.28,-16.73,-16.73,1.0
15017,15017,현우산업(주),92300,14-Dec,-2.26,-2.26,-2.26,1.0
15115,15115,휴림로봇(주),90710,14-Dec,-6.89,-6.51,-6.51,1.0
15121,15121,휴마시스(주),205470,14-Dec,77777777.77,-0.76,-0.76,1.0
15148,15148,흥아해운(주),3280,18-Dec,-1.26,-1.16,-1.16,1.0
