,정상영업이익증가율,영업이익증가률개별,영업이익증가률연결
7493,29.38,35.39,35.39
7494,-40.77,11111111.11,-22.41
7495,32.04,42.38,0.0
7496,-18.79,3.69,0.0
7497,0.27,-3.11,0.0
7498,-63.54,-73.51,0.0
7499,266.26,378.7,0.0
7500,62.83,11.35,0.0
7501,-42.49,14.23,0.0
7502,61.43,26.85,0.0
7503,1254789.63,11111111.11,11111111.11
7504,0.0,0.0,0.0
7505,-7.27,-6.05,0.0
7506,52.99,44.5,0.0
7507,31.32,31.32,0.0
7508,20.99,22.7,11.94
7509,21.74,18.67,20.54
7510,17.34,-3.25,12.8
7511,-54.61,-40.79,-40.98
7512,-13.34,-26.2,-24.21
7513,85.06,11111111.11,44.41
7514,-93.91,1254789.63,1254789.63
7515,-19.07,82.8,48.85
7516,96.21,-76.92,-79.64
7517,-66.34,-193.7,-233.73
7518,1254789.63,11111111.11,11111111.11
7519,1254789.63,11111111.11,11111111.11
7520,132.45,119.91,117.0
7521,-78.73,33.93,39.73
7522,569.66,45.22,0.0
7523,-84.0,11111111.11,0.0
7524,-221.35,-238.28,-221.35
7525,1254789.63,11111111.11,11111111.11
7526,39.93,-25.64,-17.99
7527,-97.15,-82.99,-69.57
7528,-612.2,-612.2,0.0
7529,0.0,11111111.11,0.0
7530,0.0,11111111.11,0.0
7531,-329.25,-329.25,0.0
7532,1254789.63,11111111.11,11111111.11
7533,-91.85,-91.85,11111111.11
7534,-57.11,-57.11,11111111.11
7535,576.46,576.46,11111111.11
7536,-68.14,-68.14,11111111.11
7537,183.89,183.89,11111111.11
7538,-170.36,-257.15,11111111.11
7539,1254789.63,11111111.11,11111111.11
7540,-338.72,-338.72,11111111.11
7541,1254789.63,11111111.11,11111111.11
7542,-5.54,-5.54,11111111.11
7543,-61.93,-61.93,11111111.11
7544,-68.3,-68.3,11111111.11
7545,-121.03,339.63,-121.03
7546,-28.53,-28.53,11111111.11
7547,-1242.96,-707.86,11111111.11
7548,1254789.63,11111111.11,11111111.11
7549,1254789.63,11111111.11,11111111.11
7550,1254789.63,11111111.11,11111111.11
7551,1254789.63,1254789.63,0.0
7552,0.0,11111111.11,0.0
7553,0.0,11111111.11,0.0
7554,0.0,11111111.11,0.0
7555,0.0,0.0,0.0
7556,0.0,0.0,0.0
7557,0.0,11111111.11,0.0
7558,-902.28,-660.25,-902.28
7559,1254789.63,11111111.11,11111111.11
7560,814.56,164.74,814.56
7561,-10.45,11111111.11,-50.24
7562,-7.43,-23.29,0.0
7563,-42.72,-42.72,0.0
7564,42.59,27.71,42.59
7565,-14.38,-11.09,-6.24
7566,-56.52,-22.45,-59.7
7567,2.43,-69.66,-36.24
7568,-47.03,96.53,19.33
7569,-147.03,-124.84,-198.72
7570,1254789.63,11111111.11,11111111.11
7571,0.0,1254789.63,0.0
7572,-4.16,-4.16,0.0
7573,38.42,11111111.11,0.0
7574,-18.82,-3.53,-19.91
7575,61.11,-21.95,-6.79
7576,-45.95,10.58,-7.84
7577,27.73,2.11,-9.94
7578,79.28,6.59,39.3
7579,-12.96,-25.55,-24.6
7580,369.57,-91.93,-48.13
7581,-97.23,235.31,21.49
7582,-540.95,11111111.11,-5.08
7583,230.37,161.16,428.62
7584,-23.55,14.69,-10.5
7585,0.32,-12.54,-4.21
7586,-51.79,-52.36,-28.65
7587,-132.09,-123.15,-39.23
7588,-75.72,11111111.11,-75.72
7589,735.98,11111111.11,735.98
7590,88.43,52.71,12.86
7591,10.17,11111111.11,43.53
7592,0.65,1254789.63,1254789.63
7593,-26.53,11111111.11,-13.51
7594,1254789.63,11111111.11,11111111.11
7595,77.83,55.79,108.01
7596,6.26,6.06,13.54
7597,63.63,40.72,37.17
7598,64.01,51.65,55.98
7599,0.45,7.09,3.03
7600,31.17,41.72,44.53
7601,45.4,19.9,28.97
7602,18.46,11111111.11,34.07
7603,44.13,-22.96,0.0
7604,-63.29,-63.29,0.0
7605,105.65,98.26,105.65
7606,-157.27,-132.14,-157.27
7607,1254789.63,11111111.11,11111111.11
7608,-22.31,39.4,-22.31
7609,-241.9,11.12,34.96
7610,-51.55,-54.64,-51.55
7611,-101.33,11111111.11,-101.33
7612,0.0,0.0,0.0
7613,0.0,0.0,0.0
7614,0.0,11111111.11,0.0
7615,61.78,61.95,61.78
7616,124.69,11111111.11,138.66
7617,17.62,1254789.63,1254789.63
7618,-61.88,-56.06,-57.68
7619,-87.45,-67.58,-114.49
7620,195.48,11111111.11,11111111.11
7621,-2087.4,-2087.4,0.0
7622,0.0,11111111.11,0.0
7623,0.0,11111111.11,0.0
7624,94.88,94.88,0.0
7625,-75.79,-49.61,-75.79
7626,-76.76,-76.76,0.0
7627,-139.68,-139.68,0.0
7628,0.0,11111111.11,0.0
7629,1254789.63,11111111.11,11111111.11
7630,0.0,11111111.11,0.0
7631,55.03,55.03,0.0
7632,-284.73,-67.32,-284.73
7633,475.17,475.17,11111111.11
7634,-36.23,-43.36,-3.66
7635,-278.78,-77.47,-104.13
7636,-134.71,-134.71,11111111.11
7637,-345.29,11111111.11,-345.29
7638,1254789.63,11111111.11,11111111.11
7639,-17.26,1254789.63,1254789.63
7640,-63.09,-63.63,0.0
7641,316.48,311.44,0.0
7642,-42.37,-49.63,0.0
7643,-25.74,11111111.11,0.0
7644,-10.25,-11.16,-8.99
7645,-26.79,-55.07,-79.86
7646,4.01,-35.23,45.06
7647,-23.38,-27.32,27.77
7648,304.29,536.77,253.5
7649,-4.9,13.74,8.77
7650,30.76,-49.65,-15.93
7651,22.84,84.56,124.21
7652,115.3,11111111.11,108.26
7653,-39.33,1254789.63,1254789.63
7654,-20.5,-19.87,-17.47
7655,38.34,9.61,6.19
7656,-222.28,-239.2,-257.74
7657,1254789.63,11111111.11,11111111.11
7658,1254789.63,11111111.11,11111111.11
7659,0.0,11111111.11,0.0
7660,16.67,29.14,0.0
7661,-20.47,-44.58,0.0
7662,-26.77,43.31,0.0
7663,-28.42,-23.05,0.0
7664,-39.51,-21.0,0.0
7665,12.28,12.28,0.0
7666,38.57,-4.36,-13.3
7667,-31.0,1.47,19.66
7668,3.81,11111111.11,-56.01
7669,3430.28,1874.06,0.0
7670,20.42,24.77,0.0
7671,-14.04,-24.35,0.0
7672,-69.02,-65.26,0.0
7673,79.44,47.82,0.0
7674,-50.06,-79.51,0.0
7675,22.7,22.7,0.0
7676,-5.11,-5.11,0.0
7677,-26.08,11111111.11,-28.67
7678,0.0,0.0,0.0
7679,-32.32,-27.69,-27.34
7680,0.98,-16.16,-16.06
7681,2.57,20.34,20.5
7682,-5.53,-4.19,-4.8
7683,-56.5,-81.74,-81.78
7684,288.06,1042.79,1045.35
7685,-45.95,-24.52,-24.23
7686,-73.47,-110.26,-110.18
7687,299.84,11111111.11,11111111.11
7688,52.49,82.74,35.76
7689,82.54,-1.99,-15.06
7690,-80.41,-50.28,-15.29
7691,-79.67,-205.18,-79.67
7692,211.19,11111111.11,211.19
7693,-90.14,2208.98,70.76
7694,59514.41,265.55,220.53
7695,109.79,29.29,48.98
7696,-51.98,11111111.11,-15.6
7697,-43.3,-43.22,0.0
7698,-46.11,-47.04,0.0
7699,-28.67,-1.16,0.0
7700,17.99,-18.28,0.0
7701,11.52,-26.7,0.0
7702,79.21,112.46,0.0
7703,-133.69,-133.69,0.0
7704,0.0,11111111.11,0.0
7705,0.0,11111111.11,0.0
7706,30.35,1254789.63,1254789.63
7707,-235.08,-417.26,-235.08
7708,1254789.63,11111111.11,11111111.11
7709,1254789.63,11111111.11,11111111.11
7710,20.45,-50.16,-32.43
7711,54.4,164.33,54.4
7712,-47.28,-72.41,-47.28
7713,-42.85,-126.88,-84.29
7714,-902.18,11111111.11,-2006.18
7715,1254789.63,11111111.11,11111111.11
7716,-20.1,-28.06,0.0
7717,-70.81,-76.1,0.0
7718,396.07,396.07,0.0
7719,195.66,172.39,162.53
7720,-14.77,-38.22,-41.98
7721,149.4,250.44,283.66
7722,73.51,72.94,74.1
7723,-21.94,-8.53,-8.68
7724,-77.0,11111111.11,-79.68
7725,1456.56,1254789.63,1254789.63
7726,-33.32,-32.73,-37.02
7727,49.57,11111111.11,9.94
7728,-13.87,1254789.63,0.0
7729,-14.59,-33.96,0.0
7730,-23.84,-23.84,0.0
7731,-11.5,42.04,25.62
7732,112.25,97.49,95.1
7733,-11.77,-9.59,-0.8
7734,157.18,56.42,79.78
7735,-47.18,-20.97,-39.56
7736,-45.92,11111111.11,-2.76
7737,-1173.62,-1173.62,0.0
7738,0.0,11111111.11,0.0
7739,0.0,11111111.11,0.0
7740,0.0,11111111.11,0.0
7741,41.36,167.71,0.0
7742,46.34,46.34,0.0
7743,-85.34,-7.25,-4.61
7744,498.08,33.98,28.75
7745,-9.79,11111111.11,-6.24
7746,-57.36,-49.37,0.0
7747,13.4,82.94,0.0
7748,-64.24,-63.61,0.0
7749,580.04,380.41,0.0
7750,-64.88,-69.19,0.0
7751,-289.57,-289.57,0.0
7752,1254789.63,11111111.11,11111111.11
7753,-2463.5,-2536.91,-1313.92
7754,1254789.63,11111111.11,11111111.11
7755,-14.55,1254789.63,1254789.63
7756,-94.83,-97.04,-103.55
7757,-1317.31,-1849.05,11111111.11
7758,1254789.63,11111111.11,11111111.11
7759,1254789.63,11111111.11,11111111.11
7760,1254789.63,11111111.11,11111111.11
7761,1254789.63,1254789.63,1254789.63
7762,-4.0,33.37,1.15
7763,-142.68,-52.24,-110.84
7764,-14.17,-14.17,11111111.11
7765,1254789.63,11111111.11,11111111.11
7766,0.0,0.0,0.0
7767,0.0,0.0,0.0
7768,0.0,11111111.11,0.0
7769,-153.25,-153.25,0.0
7770,0.0,11111111.11,0.0
7771,169.3,339.4,354.83
7772,-35.01,-44.44,-45.0
7773,50.92,81.93,83.69
7774,264.82,216.66,229.27
7775,-36.04,-38.57,-41.44
7776,-33.41,-30.04,-24.83
7777,-20.59,-17.19,-12.11
7778,51.92,32.1,38.25
7779,12.34,11111111.11,7.54
7780,-431.75,-431.75,0.0
7781,0.0,11111111.11,0.0
7782,0.0,11111111.11,0.0
7783,0.0,11111111.11,0.0
7784,-371.5,-371.5,0.0
7785,0.0,11111111.11,0.0
7786,-68.52,-49.32,0.0
7787,756.43,372.02,0.0
7788,-8.03,11111111.11,0.0
7789,56.89,107.08,0.0
7790,-57.82,-57.82,0.0
7791,92.34,120.47,92.34
7792,-39.16,-13.5,-26.98
7793,87.44,23.42,36.78
7794,104.3,86.18,115.77
7795,477.79,342.63,403.89
7796,-86.79,-95.61,-96.11
7797,-81.48,11111111.11,-179.79
7798,25.6,5.03,0.0
7799,46.16,46.16,0.0
7800,-3.28,15.13,15.19
7801,-21.01,-51.45,-35.38
7802,-23.1,-3.63,-52.74
7803,-126.44,57.55,136.52
