회사명,거래소코드,회계년도,이자보상배율,총자산증가율,유형자산증가율,유동자산증가율,자기자본증가율,매출액증가율,매출액총이익율,매출액순이익율,자기자본순이익율,총자본영업이익율,매출액영업이익률,총자본순이익률,총자본회전율,재고자산회전율,매출채권회전율,유형자산회전율,매입채무회전율,자기자본회전율,타인자본회전율,유동자산회전율,순운전자본회전율,유동비율,당좌비율,현금비율,부채비율,차입금의존도,CASH_FLOW_대_부채비율,CASH_FLOW_대_매출액비율,CASH_FLOW_대_차입금비율,자기자본구성비율,당좌자산구성비율,유동자산구성비율,매출채권_대_매입채무비율,유동부채비율,타인자본구성비율,재고자산_대_유동자산비율,재고자산_대_순운전자본비율,순운전자본비율,노동장비율,기계장비율,자본집약도,설비투자효율,총자본투자효율,부가가치율,종업원1인당부가가치,R & D 투자효율,통계청 한국표준산업분류 10차(소분류),매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
세종텔레콤,36630,2017-12,1.26,81.86,0.63,234.25,120.65,-12.48,100.0,1.78,1.19,0.72,1.45,0.89,0.5,0.0,6.13,1.49,75.45,0.67,1.94,0.98,1.74,373.33,371.44,79.74,26.19,0.0,26.2,14.11,0.0,79.25,60.31,60.62,947.92,20.49,20.75,0.51,0.69,44.38,391990.18,255927.91,1509.71,45.42771135,11.8,30.61,178072.17,0.0,  전기 통신업,0.0,0.0,0.0,0.0,0.0,1.0
세종텔레콤,36630,2018-12,-0.12,-4.19,2.85,-10.38,0.12,31.08,86.7,-0.32,-0.2,-0.02,-0.05,-0.16,0.52,12.42,5.79,1.92,60.78,0.64,2.71,0.88,2.42,430.44,424.31,13.66,20.76,0.52,18.37,5.99,602.44,82.81,55.89,56.7,611.59,15.91,17.19,1.43,1.86,43.53,391953.79,246993.62,1420.87,41.32140596,11.4,21.62,161960.82,0.0,  전기 통신업,0.0,0.0,0.0,0.0,0.0,0.0
세종텔레콤,36630,2019-12,-6.29,11.88,15.63,4.55,1.49,27.66,61.31,0.81,0.65,-2.3,-3.62,0.51,0.64,24.16,4.76,2.24,51.64,0.81,2.99,1.16,3.42,297.01,290.26,24.25,33.12,0.76,-1.28,-0.53,-41.84,75.12,51.78,52.99,728.83,23.75,24.88,2.27,3.43,35.15,241672.92,146980.2,989.57,1.549236013,0.38,0.63,3744.08,0.0,  전기 통신업,0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2011-12,-7777.0,0.55,2.07,0.71,1.96,7.57,11.62,-3.56,-19.69,0.0,0.0,-3.51,0.99,9.78,4.59,1.79,10.46,5.54,1.2,2.59,-7.73,59.92,45.49,2.71,457.02,0.0,2.02,1.68,0.0,17.95,28.91,38.09,186.86,354.06,82.05,24.08,-36.0,-25.48,381039.31,339330.86,687.7,0,0.0,0.0,0.0,0.11,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2012-12,-7777.0,26.29,0.83,-16.43,147.06,-8.83,10.62,25.45,73.33,0.0,0.0,20.19,0.79,10.07,4.05,1.61,9.32,2.88,1.09,2.57,-5.73,50.4,39.69,1.19,184.74,0.0,-0.6,-0.55,0.0,35.12,19.84,25.2,193.17,142.37,64.88,21.26,-21.61,-24.8,388879.97,368121.01,881.26,0,0.0,0.0,0.0,0.1,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2013-12,-7777.0,-13.21,-1.85,3.91,-73.17,1.6,11.4,-36.15,-117.24,0.0,0.0,-27.96,0.77,11.75,4.4,1.64,9.92,3.24,1.02,2.81,-3.83,40.95,32.3,2.34,821.08,0.0,-3.84,-4.11,0.0,10.86,23.8,30.17,184.97,678.67,89.14,21.12,-14.65,-43.51,388165.89,387467.21,779.11,0,0.0,0.0,0.0,0.1,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2014-12,-7777.0,-15.25,-2.18,-13.57,-57.01,-13.06,10.91,-14.57,-135.83,0.0,0.0,-11.41,0.78,9.77,4.37,1.46,9.69,9.32,0.86,2.57,-3.54,38.96,28.77,4.3,1715.73,0.0,-5.04,-5.57,0.0,5.51,22.72,30.77,232.07,1434.03,94.49,26.17,-16.7,-48.21,395191.41,414969.65,685.86,0,0.0,0.0,0.0,0.1,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2015-12,-7777.0,-3.85,12.8,-4.87,-65.7,-2.05,7.97,-23.41,-529.31,0.0,0.0,-19.96,0.85,9.76,5.1,1.36,11.17,22.61,0.89,2.78,-3.74,39.57,29.14,4.43,4990.1,0.0,-4.63,-5.22,0.0,1.96,22.42,30.45,199.87,3916.23,98.04,26.35,-17.26,-46.49,527937.9,518837.86,787.68,0,0.0,0.0,0.0,0.1,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2016-12,7777.0,1.26,-0.44,5.08,279.74,7.71,16.3,3.43,68.26,0.0,0.0,3.2,0.93,10.18,5.4,1.38,11.95,19.87,0.98,3.0,-4.27,42.18,32.45,4.2,1257.29,0.0,-2.4,-2.4,0.0,7.37,24.3,31.59,237.98,1016.5,92.63,23.08,-16.84,-43.3,526648.23,540471.83,793.93,0,0.0,0.0,0.0,0.08,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
세하,27970,2017-12,7777.0,0.81,0.68,2.39,46.55,3.22,10.05,-1.51,-15.84,0.0,0.0,-1.43,0.95,10.28,5.21,1.43,13.09,10.51,1.05,2.99,-4.75,44.58,31.6,4.82,833.66,0.0,0.84,0.8,0.0,10.71,22.74,32.09,259.45,671.98,89.29,29.12,-23.43,-39.89,521347.83,556002.59,782.34,0,0.0,0.0,0.0,0.06,"  펄프, 종이 및 판지 제조업",0.0,0.0,0.0,0.0,0.0,0.0
소니드,60230,2013-12,1.26,60.43,33.12,80.37,95.68,29.75,17.22,6.3,36.43,4.99,4.85,6.49,1.03,12.83,6.16,1.73,7.92,5.78,1.25,3.4,-5.31,50.11,37.83,0.74,422.78,47.28,2.57,2.49,4.4,19.13,23.85,31.59,106.57,329.53,80.87,24.5,-24.61,-31.45,285074.14,179645.15,516.88,21.26040033,11.73,14.03,60607.9,2.77,  기타 화학제품 제조업,0.0,0.0,0.0,1.0,0.0,0.0
