0,회사명,거래소코드,회계년도,매출원가감소율여부,배당금감소율여부,변화율여부,직원감소율여부,자본증가율여부,투자활동감소율여부
150,광림,14200,13-Dec,0,1,0,0,0,0
151,광림,14200,14-Dec,0,0,0,0,0,0
152,광림,14200,15-Dec,0,0,0,0,0,0
153,광림,14200,16-Dec,0,0,0,0,0,0
154,광림,14200,17-Dec,0,0,0,0,0,0
155,광림,14200,18-Dec,0,0,0,0,0,0
156,광림,14200,19-Dec,0,0,0,0,0,1
157,광명전기,17040,11-Dec,0,0,0,0,0,0
158,광명전기,17040,12-Dec,0,0,0,0,0,0
159,광명전기,17040,13-Dec,0,0,0,0,0,0
160,광명전기,17040,14-Dec,0,0,0,0,0,0
161,광명전기,17040,15-Dec,0,0,0,0,0,0
162,광명전기,17040,16-Dec,0,0,0,0,0,0
163,광명전기,17040,17-Dec,0,0,0,0,0,0
164,광명전기,17040,18-Dec,0,0,0,0,0,0
165,광명전기,17040,19-Dec,0,0,0,0,0,1
166,광무,29480,11-Dec,0,0,0,0,0,0
167,광무,29480,12-Dec,0,0,0,0,0,0
168,광무,29480,13-Dec,0,0,0,0,0,0
169,광무,29480,14-Dec,0,0,0,1,0,0
170,광무,29480,15-Dec,0,0,0,0,0,0
171,광무,29480,16-Dec,0,0,0,0,0,0
172,광무,29480,17-Dec,0,0,0,0,0,0
173,광무,29480,18-Dec,0,0,0,0,0,0
174,광무,29480,19-Dec,1,0,0,0,0,1
175,구영테크,53270,11-Dec,0,0,0,0,0,0
176,구영테크,53270,12-Dec,0,0,0,0,0,1
177,구영테크,53270,13-Dec,0,0,0,1,0,0
178,구영테크,53270,14-Dec,0,0,0,0,0,0
179,구영테크,53270,15-Dec,0,0,0,0,0,1
180,구영테크,53270,16-Dec,0,0,0,0,0,1
181,구영테크,53270,17-Dec,0,1,0,0,0,1
182,구영테크,53270,18-Dec,0,0,0,0,0,0
183,구영테크,53270,19-Dec,0,1,0,0,0,0
184,국동,5320,11-Dec,0,0,0,0,0,0
185,국동,5320,12-Dec,0,0,0,0,0,1
186,국동,5320,13-Dec,0,0,0,0,0,1
187,국동,5320,14-Dec,0,0,0,0,0,1
188,국동,5320,15-Dec,0,0,0,0,0,0
189,국동,5320,16-Dec,0,0,0,0,0,1
190,국동,5320,17-Dec,0,0,0,0,0,0
191,국동,5320,18-Dec,0,0,0,0,0,0
192,국동,5320,19-Dec,0,0,0,0,0,0
193,국보,1140,11-Dec,0,0,0,0,0,0
194,국보,1140,12-Dec,0,1,0,0,0,0
195,국보,1140,13-Dec,0,0,0,0,0,1
196,국보,1140,14-Dec,0,0,0,0,0,0
197,국보,1140,15-Dec,0,0,0,0,0,1
198,국보,1140,16-Dec,0,0,0,0,0,0
199,국보,1140,17-Dec,0,1,0,0,0,0
200,국보,1140,18-Dec,0,0,0,0,0,0
201,국보,1140,19-Dec,0,0,0,0,0,0
202,국순당,43650,11-Dec,0,0,0,0,0,0
203,국순당,43650,12-Dec,0,1,0,0,0,0
204,국순당,43650,13-Dec,0,0,0,0,0,0
205,국순당,43650,14-Dec,0,1,0,0,0,0
206,국순당,43650,15-Dec,0,0,0,0,0,0
207,국순당,43650,16-Dec,0,0,0,0,0,0
208,국순당,43650,17-Dec,0,0,0,0,0,0
209,국순당,43650,18-Dec,0,0,0,0,0,0
210,국순당,43650,19-Dec,0,0,0,0,0,0
211,국영지앤엠,6050,11-Dec,0,0,0,0,0,0
212,국영지앤엠,6050,12-Dec,0,1,0,0,0,0
213,국영지앤엠,6050,13-Dec,0,0,0,0,0,0
214,국영지앤엠,6050,14-Dec,0,1,0,0,0,0
215,국영지앤엠,6050,15-Dec,0,0,0,0,0,0
216,국영지앤엠,6050,16-Dec,0,1,0,0,0,0
217,국영지앤엠,6050,17-Dec,0,0,0,0,0,0
